,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,2014670000.0,2002633056.0,1988382000.0,1974831000.0,
Share Issued,2014670000.0,2002633056.0,1988382000.0,1974831000.0,
Net Debt,696826000.0,673659000.0,688042000.0,935945000.0,
Total Debt,716487000.0,736752000.0,737816000.0,947639000.0,
Tangible Book Value,1851803000.0,1866710000.0,1799795000.0,1648392000.0,
Invested Capital,2568290000.0,2603462000.0,2537611000.0,2596031000.0,
Working Capital,57850000.0,102603000.0,88754000.0,83459000.0,
Net Tangible Assets,1851803000.0,1866710000.0,1799795000.0,1648392000.0,
Common Stock Equity,1851803000.0,1866710000.0,1799795000.0,1648392000.0,
Total Capitalization,2568290000.0,2603462000.0,2537611000.0,2414727000.0,
Total Equity Gross Minority Interest,1851803000.0,1866710000.0,1799795000.0,1648392000.0,
Stockholders Equity,1851803000.0,1866710000.0,1799795000.0,1648392000.0,
Other Equity Interest,-10000.0,,,,
Retained Earnings,41214000.0,77440000.0,19976000.0,-122940000.0,
Capital Stock,1810599000.0,1789270000.0,1779819000.0,1771332000.0,
Common Stock,1810599000.0,1789270000.0,1779819000.0,1771332000.0,
Total Liabilities Net Minority Interest,734718000.0,755745000.0,755298000.0,1016416000.0,
Total Non Current Liabilities Net Minority Interest,724716000.0,746394000.0,744691000.0,774017000.0,
Other Non Current Liabilities,7036000.0,6721000.0,6094000.0,5657000.0,
Derivative Product Liabilities,593000.0,2231000.0,0.0,1154000.0,
Non Current Deferred Revenue,600000.0,690000.0,781000.0,871000.0,
Long Term Debt And Capital Lease Obligation,716487000.0,736752000.0,737816000.0,766335000.0,
Long Term Debt,716487000.0,736752000.0,737816000.0,766335000.0,
Current Liabilities,10002000.0,9351000.0,10607000.0,242399000.0,
Other Current Liabilities,1637000.0,1534000.0,1775000.0,2567000.0,
Current Debt And Capital Lease Obligation,,,0.0,181304000.0,237818000.0
Current Debt,,,0.0,181304000.0,237818000.0
Payables,4002000.0,3626000.0,2850000.0,53152000.0,
Other Payable,1898000.0,1538000.0,1042000.0,51360000.0,
Total Tax Payable,268000.0,278000.0,146000.0,67000.0,
Accounts Payable,1836000.0,1810000.0,1662000.0,1725000.0,
Total Assets,2586521000.0,2622455000.0,2555093000.0,2664808000.0,
Total Non Current Assets,2518669000.0,2510501000.0,2455732000.0,2338950000.0,
Financial Assets,3169000.0,951000.0,8982000.0,2450000.0,
Long Term Equity Investment,0.0,0.0,0.0,0.0,
Investmentsin Joint Venturesat Cost,0.0,0.0,0.0,0.0,
Investment Properties,2515500000.0,2509550000.0,2446750000.0,2336500000.0,
Current Assets,67852000.0,111954000.0,99361000.0,325858000.0,
Hedging Assets Current,145000.0,1276000.0,4017000.0,0.0,
Prepaid Assets,103000.0,85000.0,81000.0,81000.0,
Inventory,,,0.0,271400000.0,
Finished Goods,,,0.0,271400000.0,
Other Receivables,38413000.0,39063000.0,38002000.0,34584000.0,
Accounts Receivable,9530000.0,8437000.0,7487000.0,8099000.0,
Cash Cash Equivalents And Short Term Investments,19661000.0,63093000.0,49774000.0,11694000.0,
Cash And Cash Equivalents,19661000.0,63093000.0,49774000.0,11694000.0,
Cash Equivalents,16500000.0,58200000.0,43050000.0,0.0,
Cash Financial,3161000.0,4893000.0,6724000.0,11694000.0,
