,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,90177000.0,92875000.0,64637000.0,68333000.0,
Repayment Of Debt,-183030000.0,-225000000.0,-359971000.0,-322260000.0,
Issuance Of Debt,159430000.0,225000000.0,149971000.0,280760000.0,
Capital Expenditure,-3454000.0,-4382000.0,-7237000.0,-943000.0,
End Cash Position,19661000.0,63093000.0,49774000.0,11694000.0,
Beginning Cash Position,63093000.0,49774000.0,11694000.0,10919000.0,
Changes In Cash,-43432000.0,13319000.0,38080000.0,775000.0,
Financing Cash Flow,-136714000.0,-99522000.0,-289295000.0,-111478000.0,
Interest Paid Cff,-30150000.0,-26678000.0,,,
Cash Dividends Paid,-82964000.0,-72844000.0,-60839000.0,-48799000.0,
Common Stock Dividend Paid,-82964000.0,-72844000.0,,,-38656000.0
Net Issuance Payments Of Debt,-23600000.0,0.0,-210000000.0,-41500000.0,
Net Long Term Debt Issuance,-23600000.0,0.0,-210000000.0,-41500000.0,
Long Term Debt Payments,-183030000.0,-225000000.0,-359971000.0,-322260000.0,
Long Term Debt Issuance,159430000.0,225000000.0,149971000.0,280760000.0,
Investing Cash Flow,-349000.0,15584000.0,255501000.0,42977000.0,
Interest Received Cfi,3105000.0,2054000.0,528000.0,0.0,
Net Investment Properties Purchase And Sale,0.0,17912000.0,263710000.0,46980000.0,
Sale Of Investment Properties,0.0,17912000.0,263710000.0,46980000.0,
Capital Expenditure Reported,-3454000.0,-4382000.0,-7237000.0,-943000.0,
Operating Cash Flow,93631000.0,97257000.0,71874000.0,69276000.0,
Taxes Refund Paid,-278000.0,-146000.0,-67000.0,-90000.0,
Change In Working Capital,-156000.0,927000.0,-3070000.0,-3849000.0,
Change In Payable,857000.0,1467000.0,-2367000.0,-1966000.0,
Change In Prepaid Assets,316000.0,288000.0,-452000.0,-265000.0,
Change In Receivables,-1329000.0,-828000.0,-251000.0,-1618000.0,
Other Non Cash Items,27430000.0,21276000.0,16792000.0,19374000.0,
Stock Based Compensation,6357000.0,9451000.0,8487000.0,8497000.0,
Gain Loss On Investment Securities,10066000.0,-64153000.0,-154145000.0,-89795000.0,
Net Foreign Currency Exchange Gain Loss,3120000.0,-726000.0,0.0,,
Net Income From Continuing Operations,46969000.0,130588000.0,203901000.0,131077000.0,
