Date,Dividends
2013-02-14 00:00:00+08:00,0.0209
2013-05-14 00:00:00+08:00,0.0138
2013-07-18 00:00:00+08:00,0.019
2013-11-15 00:00:00+08:00,0.0094
2014-02-18 00:00:00+08:00,0.0142
2014-05-06 00:00:00+08:00,0.013
2014-08-11 00:00:00+08:00,0.0124
2014-11-13 00:00:00+08:00,0.0132
2015-02-17 00:00:00+08:00,0.0128
2015-05-06 00:00:00+08:00,0.0107
2015-08-14 00:00:00+08:00,0.0116
2015-11-09 00:00:00+08:00,0.012
2016-03-01 00:00:00+08:00,0.0117
2016-05-04 00:00:00+08:00,0.0108
2016-08-04 00:00:00+08:00,0.0101
2016-11-16 00:00:00+08:00,0.0112
2017-02-28 00:00:00+08:00,0.0112
2017-05-18 00:00:00+08:00,0.0093
2017-08-11 00:00:00+08:00,0.0097
2017-11-08 00:00:00+08:00,0.0103
2018-02-22 00:00:00+08:00,0.0097
2018-05-03 00:00:00+08:00,0.0094
2018-08-06 00:00:00+08:00,0.0101
2018-11-05 00:00:00+08:00,0.0105
2019-02-20 00:00:00+08:00,0.01
2019-05-03 00:00:00+08:00,0.0091
2019-08-06 00:00:00+08:00,0.0091
2019-11-06 00:00:00+08:00,0.0104
2020-02-21 00:00:00+08:00,0.0095
2020-08-07 00:00:00+08:00,0.0103
2021-02-19 00:00:00+08:00,0.0138
2021-08-06 00:00:00+08:00,0.011
2022-02-22 00:00:00+08:00,0.0153
2022-08-05 00:00:00+08:00,0.0154
2023-02-21 00:00:00+08:00,0.0173
2023-08-04 00:00:00+08:00,0.0192
2024-02-21 00:00:00+08:00,0.0217
2024-08-06 00:00:00+08:00,0.0196
2025-02-19 00:00:00+08:00,0.0208
2025-08-06 00:00:00+08:00,0.0225
