,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,13437.659683,-27681.635091,9074.295859,5907.870946,
Tax Rate For Calcs,0.005706,0.002129,0.000716,0.000511,
Normalized EBITDA,74390000.0,168255000.0,209001000.0,138725000.0,
Total Unusual Items,2355000.0,-13003000.0,12673000.0,11558000.0,
Total Unusual Items Excluding Goodwill,2355000.0,-13003000.0,12673000.0,11558000.0,
Net Income From Continuing Operation Net Minority Interest,46700000.0,130308000.0,203755000.0,131010000.0,
Reconciled Cost Of Revenue,20280000.0,18882000.0,15989000.0,17837000.0,
EBITDA,76745000.0,155252000.0,221674000.0,150283000.0,
EBIT,76745000.0,155252000.0,221674000.0,150283000.0,
Net Interest Income,-27430000.0,-21276000.0,-16792000.0,-19374000.0,
Interest Expense,29777000.0,24666000.0,17773000.0,19206000.0,
Interest Income,2832000.0,3803000.0,1558000.0,410000.0,
Normalized Income,44358437.659683,143283318.364909,191091074.295859,119457907.870946,
Net Income From Continuing And Discontinued Operation,46700000.0,130308000.0,203755000.0,131010000.0,
Total Expenses,21122000.0,19822000.0,17031000.0,18532000.0,
Diluted Average Shares,2040105000.0,2003604000.0,1989102000.0,1975408000.0,
Basic Average Shares,2010144000.0,1996773000.0,1982854000.0,1969201000.0,
Diluted EPS,0.0229,0.065,0.1024,0.0663,
Basic EPS,0.0232,0.0653,0.1028,0.0665,
Diluted NI Availto Com Stockholders,46700000.0,130308000.0,203755000.0,131010000.0,
Net Income Common Stockholders,46700000.0,130308000.0,203755000.0,131010000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,46700000.0,130308000.0,203755000.0,131010000.0,
Net Income Including Noncontrolling Interests,46700000.0,130308000.0,203755000.0,131010000.0,
Net Income Continuous Operations,46700000.0,130308000.0,203755000.0,131010000.0,
Tax Provision,268000.0,278000.0,146000.0,67000.0,
Pretax Income,46968000.0,130586000.0,203901000.0,131077000.0,
Other Non Operating Income Expenses,,,,,91000.0
Special Income Charges,,-40000.0,24000.0,,
Write Off,,40000.0,-24000.0,,
Net Non Operating Interest Income Expense,-27430000.0,-21276000.0,-16792000.0,-19374000.0,
Total Other Finance Cost,485000.0,413000.0,577000.0,578000.0,
Interest Expense Non Operating,29777000.0,24666000.0,17773000.0,19206000.0,
Interest Income Non Operating,2832000.0,3803000.0,1558000.0,410000.0,
Operating Income,87584000.0,86983000.0,66548000.0,64716000.0,
Operating Expense,842000.0,940000.0,1042000.0,695000.0,
Other Operating Expenses,627000.0,727000.0,843000.0,492000.0,
Selling General And Administration,215000.0,213000.0,199000.0,203000.0,
General And Administrative Expense,215000.0,213000.0,199000.0,203000.0,
Gross Profit,88426000.0,87923000.0,67590000.0,65411000.0,
Cost Of Revenue,20280000.0,18882000.0,15989000.0,17837000.0,
Total Revenue,108706000.0,106805000.0,83579000.0,83248000.0,
Operating Revenue,108706000.0,106805000.0,83579000.0,83248000.0,
