Date,Open,High,Low,Close,Adj,Volume
31 Dec 2024,0.6150,0.6200,0.6100,0.6100,0.5887,"953,700"
30 Dec 2024,0.6050,0.6150,0.6050,0.6150,0.5935,"485,200"
27 Dec 2024,0.6050,0.6100,0.6050,0.6050,0.5839,"410,900"
26 Dec 2024,0.6050,0.6100,0.6000,0.6050,0.5839,"811,500"
24 Dec 2024,0.6050,0.6100,0.6000,0.6000,0.5790,"496,000"
23 Dec 2024,0.6000,0.6050,0.6000,0.6000,0.5790,"947,000"
20 Dec 2024,0.6050,0.6100,0.5950,0.5950,0.5742,"4,993,600"
19 Dec 2024,0.6050,0.6100,0.6000,0.6100,0.5887,"1,500,500"
18 Dec 2024,0.6100,0.6100,0.6050,0.6050,0.5839,"1,893,400"
17 Dec 2024,0.6100,0.6150,0.6050,0.6100,0.5887,"822,300"
16 Dec 2024,0.6200,0.6250,0.6050,0.6050,0.5839,"2,527,400"
13 Dec 2024,0.6150,0.6200,0.6150,0.6150,0.5935,"68,500"
12 Dec 2024,0.6250,0.6250,0.6150,0.6150,0.5935,"557,100"
11 Dec 2024,0.6150,0.6250,0.6100,0.6200,0.5983,"2,638,400"
10 Dec 2024,0.6150,0.6200,0.6100,0.6150,0.5935,"931,500"
9 Dec 2024,0.6200,0.6200,0.6150,0.6150,0.5935,"645,500"
6 Dec 2024,0.6200,0.6200,0.6150,0.6200,0.5983,"713,900"
5 Dec 2024,0.6250,0.6250,0.6150,0.6200,0.5983,"641,500"
4 Dec 2024,0.6200,0.6250,0.6200,0.6250,0.6032,"406,100"
3 Dec 2024,0.6200,0.6200,0.6150,0.6200,0.5983,"260,700"
2 Dec 2024,0.6200,0.6200,0.6150,0.6150,0.5935,"422,600"
29 Nov 2024,0.6200,0.6200,0.6150,0.6150,0.5935,"370,700"
28 Nov 2024,0.6200,0.6200,0.6150,0.6200,0.5983,"216,000"
27 Nov 2024,0.6150,0.6200,0.6150,0.6200,0.5983,"268,900"
26 Nov 2024,0.6100,0.6200,0.6100,0.6200,0.5983,"885,200"
25 Nov 2024,0.6150,0.6200,0.6100,0.6100,0.5887,"1,041,900"
22 Nov 2024,0.6100,0.6150,0.6100,0.6100,0.5887,"564,500"
21 Nov 2024,0.6150,0.6200,0.6100,0.6100,0.5887,"392,500"
20 Nov 2024,0.6250,0.6250,0.6150,0.6150,0.5935,"938,200"
19 Nov 2024,0.6150,0.6250,0.6100,0.6150,0.5935,"1,234,000"
18 Nov 2024,0.6100,0.6150,0.6050,0.6150,0.5935,"1,207,900"
15 Nov 2024,0.6050,0.6100,0.6000,0.6100,0.5887,"869,700"
14 Nov 2024,0.6100,0.6100,0.6000,0.6050,0.5839,"1,077,700"
13 Nov 2024,0.6150,0.6150,0.6050,0.6100,0.5887,"1,662,100"
12 Nov 2024,0.6100,0.6200,0.6050,0.6100,0.5887,"1,076,200"
11 Nov 2024,0.6150,0.6150,0.6100,0.6100,0.5887,"713,500"
8 Nov 2024,0.6150,0.6200,0.6100,0.6100,0.5887,"1,092,300"
7 Nov 2024,0.6150,0.6150,0.6000,0.6100,0.5887,"1,694,500"
