,2024-12-31,2023-12-31,2021-08-31,2020-08-31
Ordinary Shares Number,2839010006.0,2833427759.0,2785164000.0,2763122000.0
Share Issued,2839010006.0,2833427759.0,2785164000.0,2763122000.0
Net Debt,1421150000.0,1134222000.0,1181373000.0,1216611000.0
Total Debt,1526853000.0,1268689000.0,1293054000.0,1298585000.0
Tangible Book Value,2664274000.0,2879594000.0,2833167000.0,2801248000.0
Invested Capital,4191127000.0,4148283000.0,4126221000.0,4099833000.0
Working Capital,-333850000.0,-144568000.0,-93956000.0,-180885000.0
Net Tangible Assets,2664274000.0,2879594000.0,2833167000.0,2801248000.0
Common Stock Equity,2664274000.0,2879594000.0,2833167000.0,2801248000.0
Total Capitalization,3653673000.0,3925241000.0,3971278000.0,3884956000.0
Total Equity Gross Minority Interest,2674849000.0,2891235000.0,2847868000.0,2814709000.0
Minority Interest,10575000.0,11641000.0,14701000.0,13461000.0
Stockholders Equity,2664274000.0,2879594000.0,2833167000.0,2801248000.0
Other Equity Interest,,302035000.0,297924000.0,297924000.0
Capital Stock,2664274000.0,2577559000.0,2535243000.0,2503324000.0
Common Stock,2664274000.0,2577559000.0,2535243000.0,2503324000.0
Total Liabilities Net Minority Interest,1639675000.0,1377488000.0,1398697000.0,1425954000.0
Total Non Current Liabilities Net Minority Interest,1035859000.0,1089875000.0,1181744000.0,1130442000.0
Derivative Product Liabilities,2460000.0,4923000.0,3292000.0,9398000.0
Tradeand Other Payables Non Current,44000000.0,39305000.0,38135000.0,34217000.0
Non Current Deferred Taxes Liabilities,,0.0,2206000.0,3119000.0
Long Term Debt And Capital Lease Obligation,989399000.0,1045647000.0,1138111000.0,1083708000.0
Long Term Debt,989399000.0,1045647000.0,1138111000.0,1083708000.0
Current Liabilities,603816000.0,287613000.0,216953000.0,295512000.0
Other Current Liabilities,6992000.0,5932000.0,7782000.0,15218000.0
Current Deferred Taxes Liabilities,135000.0,,,
Current Debt And Capital Lease Obligation,537454000.0,223042000.0,154943000.0,214877000.0
Current Debt,537454000.0,223042000.0,154943000.0,214877000.0
Payables,47853000.0,47758000.0,34916000.0,45370000.0
Other Payable,43989000.0,42936000.0,28182000.0,37938000.0
Total Tax Payable,3489000.0,3789000.0,5735000.0,3823000.0
Accounts Payable,375000.0,1033000.0,999000.0,3609000.0
Total Assets,4314524000.0,4268723000.0,4246565000.0,4240663000.0
Total Non Current Assets,4044558000.0,4125678000.0,4123568000.0,4126036000.0
Financial Assets,6196000.0,3744000.0,0.0,0.0
Long Term Equity Investment,0.0,0.0,0.0,0.0
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0
Investment Properties,4038216000.0,4121829000.0,4123000000.0,4125447000.0
Net PPE,146000.0,105000.0,568000.0,589000.0
Accumulated Depreciation,-2183000.0,-2118000.0,-1549000.0,-1302000.0
Gross PPE,2329000.0,2223000.0,2117000.0,1891000.0
Machinery Furniture Equipment,2329000.0,2223000.0,2117000.0,1891000.0
Current Assets,269966000.0,143045000.0,122997000.0,114627000.0
Hedging Assets Current,83000.0,2306000.0,0.0,
Assets Held For Sale Current,158816000.0,,,
Prepaid Assets,650000.0,982000.0,705000.0,650000.0
Other Receivables,2527000.0,3498000.0,1059000.0,14593000.0
Accounts Receivable,2187000.0,1792000.0,9552000.0,17410000.0
Allowance For Doubtful Accounts Receivable,-1184000.0,-1906000.0,-8022000.0,-8517000.0
Gross Accounts Receivable,3371000.0,3698000.0,17574000.0,25927000.0
Cash Cash Equivalents And Short Term Investments,105703000.0,134467000.0,111681000.0,81974000.0
Cash And Cash Equivalents,105703000.0,134467000.0,111681000.0,81974000.0
Cash Equivalents,55140000.0,85178000.0,20000000.0,0.0
Cash Financial,50563000.0,49289000.0,91681000.0,81974000.0
