,2024-12-31,2023-12-31,2021-08-31,2020-08-31
Free Cash Flow,192093000.0,199038000.0,202311000.0,166126000.0
Repayment Of Debt,0.0,-25000000.0,0.0,
Issuance Of Debt,0.0,300000000.0,0.0,184469000.0
Issuance Of Capital Stock,,,0.0,164477000.0
Capital Expenditure,-62000.0,-120000.0,-234000.0,-183000.0
End Cash Position,134467000.0,105703000.0,111681000.0,81974000.0
Beginning Cash Position,125601000.0,134467000.0,81974000.0,342657000.0
Effect Of Exchange Rate Changes,409000.0,-220000.0,-1496000.0,2048000.0
Changes In Cash,8457000.0,-28544000.0,31203000.0,-262731000.0
Financing Cash Flow,-180837000.0,-289399000.0,-158264000.0,205992000.0
Net Other Financing Charges,-12300000.0,-312334000.0,-12300000.0,-12333000.0
Interest Paid Cff,-50893000.0,-58791000.0,-23385000.0,-31872000.0
Cash Dividends Paid,-116845000.0,-192201000.0,-121075000.0,-95725000.0
Common Stock Dividend Paid,,,,-95725000.0
Net Common Stock Issuance,,,0.0,164477000.0
Common Stock Issuance,,,0.0,164477000.0
Net Issuance Payments Of Debt,0.0,275000000.0,0.0,184469000.0
Net Long Term Debt Issuance,0.0,275000000.0,0.0,184469000.0
Long Term Debt Payments,0.0,-25000000.0,0.0,
Long Term Debt Issuance,0.0,300000000.0,0.0,184469000.0
Investing Cash Flow,-2861000.0,61697000.0,-13078000.0,-635032000.0
Interest Received Cfi,3957000.0,4009000.0,200000.0,1792000.0
Net Investment Properties Purchase And Sale,-6756000.0,57808000.0,-13044000.0,-636641000.0
Sale Of Investment Properties,0.0,76234000.0,,
Purchase Of Investment Properties,-6756000.0,-18426000.0,-13044000.0,-636641000.0
Net PPE Purchase And Sale,-62000.0,-120000.0,-234000.0,-183000.0
Purchase Of PPE,-62000.0,-120000.0,-234000.0,-183000.0
Operating Cash Flow,192155000.0,199158000.0,202545000.0,166309000.0
Taxes Refund Paid,-2562000.0,-2339000.0,,
Change In Working Capital,-4067000.0,8964000.0,11591000.0,-10289000.0
Change In Payable,-3616000.0,7515000.0,-6998000.0,25591000.0
Change In Receivables,-451000.0,1449000.0,18589000.0,-35880000.0
Other Non Cash Items,61628000.0,51054000.0,40122000.0,49240000.0
Stock Based Compensation,,,,19245000.0
Deferred Tax,356000.0,2474000.0,-913000.0,3119000.0
Depreciation And Amortization,207000.0,78000.0,255000.0,224000.0
Depreciation,207000.0,78000.0,255000.0,224000.0
Gain Loss On Investment Securities,-10436000.0,-175646000.0,-3421000.0,179939000.0
Net Income From Continuing Operations,146847000.0,314888000.0,152088000.0,-64024000.0
