,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,242038000.0,240711000.0,270092000.0,235417000.0,
Repayment Of Debt,-982608000.0,-1749849000.0,-873104000.0,-1473972000.0,
Issuance Of Debt,950000000.0,1146000000.0,900000000.0,1580984000.0,
Issuance Of Capital Stock,,,,,0.0
Capital Expenditure,-12592000.0,-11308000.0,-14091000.0,-8310000.0,
End Cash Position,231345000.0,217925000.0,269610000.0,268311000.0,
Beginning Cash Position,217925000.0,269610000.0,268311000.0,227474000.0,
Effect Of Exchange Rate Changes,-1679000.0,-872000.0,-14065000.0,-3268000.0,
Changes In Cash,15100000.0,-50813000.0,15364000.0,44105000.0,
Financing Cash Flow,-414262000.0,-1000985000.0,-383592000.0,-116943000.0,
Net Other Financing Charges,-14013000.0,-13975000.0,-13982000.0,138279000.0,
Cash Dividends Paid,-189148000.0,-209906000.0,-263444000.0,-246022000.0,
Net Common Stock Issuance,,,,,0.0
Common Stock Issuance,,,,,0.0
Net Issuance Payments Of Debt,-32608000.0,-603849000.0,26896000.0,107012000.0,
Net Long Term Debt Issuance,-32608000.0,-603849000.0,26896000.0,107012000.0,
Long Term Debt Payments,-982608000.0,-1749849000.0,-873104000.0,-1473972000.0,
Long Term Debt Issuance,950000000.0,1146000000.0,900000000.0,1580984000.0,
Investing Cash Flow,174731000.0,698153000.0,114773000.0,-82679000.0,
Interest Received Cfi,19261000.0,21116000.0,48549000.0,24691000.0,
Dividends Received Cfi,65846000.0,65052000.0,66665000.0,80589000.0,
Net Investment Properties Purchase And Sale,88999000.0,43136000.0,0.0,192505000.0,
Sale Of Investment Properties,88999000.0,43136000.0,0.0,192505000.0,
Purchase Of Investment Properties,,,,,-267417000.0
Net Business Purchase And Sale,-1126000.0,-4730000.0,-11213000.0,-369926000.0,
Sale Of Business,3060000.0,0.0,0.0,284700000.0,
Purchase Of Business,-4186000.0,-4730000.0,-11213000.0,-654626000.0,
Net PPE Purchase And Sale,-1392000.0,-1460000.0,-192000.0,-516000.0,
Sale Of PPE,,,0.0,2000.0,0.0
Purchase Of PPE,-1392000.0,-1460000.0,-192000.0,-518000.0,
Capital Expenditure Reported,-11200000.0,-9848000.0,-13899000.0,-7792000.0,
Operating Cash Flow,254630000.0,252019000.0,284183000.0,243727000.0,
Taxes Refund Paid,-12699000.0,-21113000.0,-5419000.0,-3890000.0,
Change In Working Capital,-4726000.0,-4690000.0,4001000.0,812000.0,
Change In Payable,-18783000.0,13767000.0,8825000.0,5569000.0,
Change In Receivables,14004000.0,-18457000.0,-4824000.0,-4757000.0,
Other Non Cash Items,184877000.0,180425000.0,133415000.0,127332000.0,
Provisionand Write Offof Assets,-333000.0,286000.0,-108000.0,,
Depreciation And Amortization,611000.0,621000.0,680000.0,786000.0,
Depreciation,611000.0,621000.0,680000.0,786000.0,
Gain Loss On Investment Securities,27578000.0,-73439000.0,-224527000.0,-287678000.0,
Net Foreign Currency Exchange Gain Loss,1488000.0,1637000.0,7238000.0,10038000.0,
Gain Loss On Sale Of PPE,35000.0,2000.0,0.0,,3000.0
Gain Loss On Sale Of Business,,,0.0,-13925000.0,0.0
Net Income From Continuing Operations,137779000.0,204291000.0,513868000.0,515541000.0,
