,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,5500063808.0,5485915256.0,5470950000.0,5442608000.0,
Share Issued,5500063808.0,5485915256.0,5470950000.0,5442608000.0,
Net Debt,1737965000.0,2000894000.0,1999977000.0,1925846000.0,
Total Debt,2122351000.0,2077935000.0,2074739000.0,2010805000.0,
Tangible Book Value,3187301000.0,3311192000.0,3240073000.0,3118829000.0,
Invested Capital,5286936000.0,5366311000.0,5289532000.0,5113391000.0,
Working Capital,160108000.0,-26954000.0,-342300000.0,-189893000.0,
Net Tangible Assets,3399607000.0,3523501000.0,3452382000.0,3331138000.0,
Capital Lease Obligations,22716000.0,22816000.0,25280000.0,25410000.0,
Common Stock Equity,3187301000.0,3311192000.0,3240073000.0,3127996000.0,
Preferred Stock Equity,212306000.0,212309000.0,212309000.0,212309000.0,
Total Capitalization,5383977000.0,5578620000.0,5174223000.0,5153501000.0,
Total Equity Gross Minority Interest,3657254000.0,3778030000.0,3707367000.0,3588515000.0,
Minority Interest,257647000.0,254529000.0,254985000.0,248210000.0,
Stockholders Equity,3399607000.0,3523501000.0,3452382000.0,3340305000.0,
Capital Stock,3399607000.0,3523501000.0,3452382000.0,3340305000.0,
Common Stock,3187301000.0,3311192000.0,3240073000.0,3127996000.0,
Preferred Stock,212306000.0,212309000.0,212309000.0,212309000.0,
Total Liabilities Net Minority Interest,2282647000.0,2290681000.0,2281738000.0,2244006000.0,
Total Non Current Liabilities Net Minority Interest,2055471000.0,2184090000.0,1862974000.0,1967536000.0,
Derivative Product Liabilities,2352000.0,244000.0,0.0,7077000.0,
Tradeand Other Payables Non Current,29416000.0,38656000.0,36879000.0,31656000.0,
Non Current Deferred Taxes Liabilities,16721000.0,64356000.0,76109000.0,83993000.0,
Long Term Debt And Capital Lease Obligation,2006982000.0,2077835000.0,1746987000.0,1837606000.0,
Long Term Capital Lease Obligation,22612000.0,22716000.0,25146000.0,24410000.0,
Long Term Debt,1984370000.0,2055119000.0,1721841000.0,1813196000.0,
Long Term Provisions,,2999000.0,2999000.0,7204000.0,
Current Liabilities,227176000.0,106591000.0,418764000.0,276470000.0,
Current Debt And Capital Lease Obligation,115369000.0,100000.0,327752000.0,173199000.0,
Current Capital Lease Obligation,104000.0,100000.0,134000.0,1000000.0,
Current Debt,115265000.0,0.0,327618000.0,172199000.0,
Current Provisions,,,3933000.0,1268000.0,
Payables,62724000.0,62390000.0,42995000.0,44289000.0,
Other Payable,20682000.0,44093000.0,25938000.0,25584000.0,
Total Tax Payable,40046000.0,16151000.0,14741000.0,14594000.0,
Accounts Payable,1996000.0,2146000.0,2316000.0,4111000.0,
Total Assets,5939901000.0,6068711000.0,5989105000.0,5832521000.0,
Total Non Current Assets,5552617000.0,5989074000.0,5912641000.0,5745944000.0,
Non Current Prepaid Assets,4438000.0,4805000.0,4334000.0,3867000.0,
Financial Assets,2200000.0,0.0,21590000.0,960000.0,
Long Term Equity Investment,376336000.0,353719000.0,347332000.0,322056000.0,
Investmentsin Joint Venturesat Cost,376336000.0,353719000.0,347332000.0,322056000.0,
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0,
Investment Properties,5169536000.0,5630357000.0,5539164000.0,5409748000.0,
Goodwill And Other Intangible Assets,,0.0,0.0,9167000.0,14167000.0
Other Intangible Assets,,,,9167000.0,14167000.0
Net PPE,107000.0,193000.0,221000.0,146000.0,
Gross PPE,,,221000.0,146000.0,234000.0
Machinery Furniture Equipment,,,221000.0,146000.0,234000.0
Current Assets,387284000.0,79637000.0,76464000.0,86577000.0,
Hedging Assets Current,0.0,3274000.0,6390000.0,0.0,
Assets Held For Sale Current,,,,0.0,1258512000.0
Prepaid Assets,2695000.0,1862000.0,2397000.0,1711000.0,
Other Receivables,11479000.0,9095000.0,9347000.0,15656000.0,
Accounts Receivable,11440000.0,11181000.0,8848000.0,9661000.0,
Allowance For Doubtful Accounts Receivable,-639000.0,-410000.0,-611000.0,-506000.0,
Gross Accounts Receivable,12079000.0,11591000.0,9459000.0,10167000.0,
Cash Cash Equivalents And Short Term Investments,361670000.0,54225000.0,49482000.0,59549000.0,
Cash And Cash Equivalents,361670000.0,54225000.0,49482000.0,59549000.0,
Cash Equivalents,355014000.0,33372000.0,27227000.0,34288000.0,
Cash Financial,6656000.0,20853000.0,22255000.0,25261000.0,
