,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-5331200.0,-228868.677314,771194.001486,-1192918.134004,
Tax Rate For Calcs,0.17,0.011904,0.037444,0.200963,
Normalized EBITDA,81874000.0,315422000.0,349190000.0,144942000.0,
Total Unusual Items,-31360000.0,-19227000.0,20596000.0,-5936000.0,
Total Unusual Items Excluding Goodwill,-31360000.0,-19227000.0,20596000.0,-5936000.0,
Net Income From Continuing Operation Net Minority Interest,-68321000.0,200109000.0,275574000.0,38876000.0,
Reconciled Depreciation,61000.0,66000.0,3834000.0,5082000.0,
Reconciled Cost Of Revenue,78541000.0,68703000.0,61346000.0,65232000.0,
EBITDA,50514000.0,296195000.0,369786000.0,139006000.0,
EBIT,50453000.0,296129000.0,365952000.0,133924000.0,
Net Interest Income,-105772000.0,-92574000.0,-80830000.0,-73251000.0,
Interest Expense,97469000.0,87871000.0,67078000.0,63956000.0,
Interest Income,774000.0,964000.0,988000.0,1044000.0,
Normalized Income,-42292200.0,219107131.322686,255749194.001486,43619081.865996,
Net Income From Continuing And Discontinued Operation,-68321000.0,200109000.0,275574000.0,38876000.0,
Total Expenses,78541000.0,68703000.0,65096000.0,70232000.0,
Rent Expense Supplemental,4331000.0,3520000.0,2841000.0,2113000.0,
Diluted Average Shares,5492969000.0,5800470000.0,5778470000.0,5810629000.0,
Basic Average Shares,5492969000.0,5478030000.0,5457206000.0,5435597000.0,
Diluted EPS,-0.0128,0.0345,0.0477,0.0067,
Basic EPS,-0.0128,0.0361,0.0501,0.0067,
Diluted NI Availto Com Stockholders,-68321000.0,200109000.0,275574000.0,38876000.0,
Average Dilution Earnings,2200000.0,2200000.0,2200000.0,2582000.0,
Net Income Common Stockholders,-70521000.0,197909000.0,273374000.0,36294000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Preferred Stock Dividends,2200000.0,2200000.0,2200000.0,2582000.0,
Net Income,-68321000.0,200109000.0,275574000.0,38876000.0,
Minority Interests,-9413000.0,-5670000.0,-12109000.0,-17031000.0,
Net Income Including Noncontrolling Interests,-58908000.0,205779000.0,287683000.0,55907000.0,
Net Income Continuous Operations,-58908000.0,205779000.0,287683000.0,55907000.0,
Tax Provision,11892000.0,2479000.0,11191000.0,14061000.0,
Pretax Income,-47016000.0,208258000.0,298874000.0,69968000.0,
Other Non Operating Income Expenses,-1427000.0,-611000.0,6011000.0,12321000.0,
Special Income Charges,-26427000.0,0.0,-5417000.0,-7164000.0,
Other Special Charges,26427000.0,,,7164000.0,
Write Off,0.0,0.0,0.0,0.0,
Impairment Of Capital Assets,,0.0,5417000.0,0.0,
Net Non Operating Interest Income Expense,-105772000.0,-92574000.0,-80830000.0,-73251000.0,
Total Other Finance Cost,9077000.0,5667000.0,14740000.0,10339000.0,
Interest Expense Non Operating,97469000.0,87871000.0,67078000.0,63956000.0,
Interest Income Non Operating,774000.0,964000.0,988000.0,1044000.0,
Operating Income,216980000.0,216352000.0,176411000.0,179652000.0,
Operating Expense,,0.0,3750000.0,5000000.0,5000000.0
Depreciation And Amortization In Income Statement,,0.0,3750000.0,5000000.0,5000000.0
Amortization,,0.0,3750000.0,5000000.0,5000000.0
Depreciation Income Statement,,0.0,0.0,0.0,0.0
Selling General And Administration,,17654000.0,15756000.0,18249000.0,19708000.0
General And Administrative Expense,,17654000.0,15756000.0,18249000.0,19708000.0
Gross Profit,216980000.0,216352000.0,180161000.0,184652000.0,
Cost Of Revenue,78541000.0,68703000.0,61346000.0,65232000.0,
Total Revenue,295521000.0,285055000.0,241507000.0,249884000.0,
Operating Revenue,295521000.0,285055000.0,241507000.0,249884000.0,
