Date,Open,High,Low,Close,Adj,Volume
31 Dec 2024,0.2900,0.2900,0.2850,0.2850,0.2741,"2,069,900"
30 Dec 2024,0.2800,0.2900,0.2800,0.2900,0.2789,"3,032,000"
27 Dec 2024,0.2750,0.2850,0.2750,0.2800,0.2693,"3,296,100"
26 Dec 2024,0.2800,0.2800,0.2750,0.2800,0.2693,"269,100"
24 Dec 2024,0.2750,0.2800,0.2750,0.2800,0.2693,"519,400"
23 Dec 2024,0.2750,0.2800,0.2700,0.2750,0.2645,"2,472,300"
20 Dec 2024,0.2750,0.2800,0.2700,0.2700,0.2597,"5,640,200"
19 Dec 2024,0.2750,0.2800,0.2750,0.2750,0.2645,"1,197,100"
18 Dec 2024,0.2800,0.2800,0.2750,0.2750,0.2645,"1,384,300"
17 Dec 2024,0.2800,0.2850,0.2750,0.2800,0.2693,"4,193,900"
16 Dec 2024,0.2800,0.2850,0.2800,0.2800,0.2693,"1,148,900"
13 Dec 2024,0.2800,0.2850,0.2800,0.2800,0.2693,"1,365,100"
12 Dec 2024,0.2800,0.2850,0.2800,0.2800,0.2693,"852,700"
11 Dec 2024,0.2800,0.2850,0.2800,0.2800,0.2693,"1,038,800"
10 Dec 2024,0.2800,0.2850,0.2800,0.2800,0.2693,"1,365,100"
9 Dec 2024,0.2850,0.2850,0.2800,0.2800,0.2693,"946,300"
6 Dec 2024,0.2850,0.2850,0.2800,0.2850,0.2741,"503,400"
5 Dec 2024,0.2750,0.2850,0.2750,0.2850,0.2741,"670,200"
4 Dec 2024,0.2800,0.2850,0.2750,0.2750,0.2645,"2,242,800"
3 Dec 2024,0.2800,0.2850,0.2750,0.2800,0.2693,"2,549,100"
2 Dec 2024,0.2800,0.2850,0.2750,0.2800,0.2693,"2,344,700"
29 Nov 2024,0.2800,0.2800,0.2750,0.2750,0.2645,"2,627,800"
28 Nov 2024,0.2800,0.2800,0.2750,0.2750,0.2645,"627,400"
27 Nov 2024,0.2850,0.2850,0.2750,0.2750,0.2645,"4,793,500"
26 Nov 2024,0.2850,0.2850,0.2800,0.2800,0.2693,"795,000"
25 Nov 2024,0.2850,0.2900,0.2800,0.2800,0.2693,"2,344,700"
22 Nov 2024,0.2800,0.2900,0.2800,0.2850,0.2741,"2,335,000"
21 Nov 2024,0.2800,0.2850,0.2800,0.2800,0.2693,"2,217,100"
20 Nov 2024,0.2850,0.2900,0.2800,0.2800,0.2693,"1,741,400"
19 Nov 2024,0.2850,0.2900,0.2800,0.2800,0.2693,"2,984,600"
18 Nov 2024,0.2850,0.2900,0.2800,0.2800,0.2693,"2,360,200"
15 Nov 2024,0.2850,0.2900,0.2850,0.2850,0.2741,"859,000"
14 Nov 2024,0.2850,0.2900,0.2850,0.2900,0.2789,"402,400"
13 Nov 2024,0.2900,0.2900,0.2850,0.2850,0.2741,"1,031,600"
12 Nov 2024,0.2900,0.2950,0.2850,0.2850,0.2741,"1,948,600"
11 Nov 2024,0.2950,0.2950,0.2900,0.2950,0.2837,"708,900"
8 Nov 2024,0.2900,0.3000,0.2900,0.2900,0.2789,"1,376,600"
7 Nov 2024,0.2950,0.2950,0.2850,0.2850,0.2741,"4,567,300"
6 Nov 2024,0.2950,0.2950,0.2900,0.2950,0.2837,"571,300"
5 Nov 2024,0.2900,0.2950,0.2900,0.2900,0.2789,"419,600"
4 Nov 2024,0.2950,0.2950,0.2900,0.2900,0.2789,"419,000"
1 Nov 2024,0.2900,0.2950,0.2900,0.2950,0.2837,"1,545,900"
30 Oct 2024,0.2900,0.2950,0.2900,0.2900,0.2789,"1,424,100"
29 Oct 2024,0.2950,0.3000,0.2900,0.2900,0.2789,"3,552,700"
28 Oct 2024,0.2950,0.3000,0.2950,0.2950,0.2837,"949,600"
25 Oct 2024,0.2950,0.3000,0.2950,0.2950,0.2837,"1,478,300"
24 Oct 2024,0.3050,0.3050,0.2950,0.2950,0.2837,"4,951,000"
23 Oct 2024,0.3000,0.3050,0.3000,0.3000,0.2885,"1,675,000"
22 Oct 2024,0.3050,0.3100,0.3000,0.3000,0.2885,"3,639,200"
21 Oct 2024,0.3100,0.3150,0.3050,0.3050,0.2933,"4,303,400"
18 Oct 2024,0.3100,0.3150,0.3100,0.3150,0.3029,"733,500"
17 Oct 2024,0.3150,0.3150,0.3100,0.3100,0.2981,"923,800"
16 Oct 2024,0.3150,0.3150,0.3100,0.3150,0.3029,"457,800"
15 Oct 2024,0.3150,0.3150,0.3100,0.3100,0.2981,"2,107,400"
14 Oct 2024,0.3150,0.3200,0.3100,0.3100,0.2981,"2,449,600"
11 Oct 2024,0.3150,0.3200,0.3150,0.3150,0.3029,"846,500"
10 Oct 2024,0.3150,0.3200,0.3150,0.3150,0.3029,"1,023,000"
9 Oct 2024,0.3150,0.3200,0.3150,0.3150,0.3029,"693,800"
8 Oct 2024,0.3150,0.3200,0.3150,0.3150,0.3029,"702,500"
7 Oct 2024,0.3200,0.3250,0.3150,0.3200,0.3077,"2,130,900"
4 Oct 2024,0.3200,0.3250,0.3150,0.3200,0.3077,"6,587,500"
3 Oct 2024,0.3250,0.3250,0.3200,0.3200,0.3077,"443,400"
2 Oct 2024,0.3250,0.3250,0.3200,0.3250,0.3126,"3,597,700"
1 Oct 2024,0.3250,0.3250,0.3200,0.3250,0.3126,"1,703,600"
