,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,1344837568.0,1344837568.0,1169374071.0,1168058907.0,
Share Issued,1344837568.0,1344837568.0,1169374071.0,1168058907.0,
Net Debt,285250000.0,325291000.0,280523000.0,277253000.0,
Total Debt,363797000.0,377765000.0,329694000.0,328922000.0,
Tangible Book Value,528655000.0,545620000.0,624703000.0,619446000.0,
Invested Capital,886077000.0,917031000.0,954397000.0,948368000.0,
Working Capital,57169000.0,50974000.0,37291000.0,27812000.0,
Net Tangible Assets,528655000.0,545620000.0,624703000.0,619446000.0,
Capital Lease Obligations,6375000.0,6354000.0,0.0,,
Common Stock Equity,528655000.0,545620000.0,624703000.0,619446000.0,
Total Capitalization,886077000.0,902355000.0,954397000.0,948368000.0,
Total Equity Gross Minority Interest,528655000.0,545620000.0,624703000.0,619446000.0,
Stockholders Equity,528655000.0,545620000.0,624703000.0,619446000.0,
Other Equity Interest,-10145000.0,-10145000.0,-9602000.0,-9602000.0,
Capital Stock,518140000.0,518140000.0,466164000.0,466164000.0,
Common Stock,518140000.0,518140000.0,466164000.0,466164000.0,
Total Liabilities Net Minority Interest,432734000.0,446456000.0,414437000.0,416053000.0,
Total Non Current Liabilities Net Minority Interest,403456000.0,403550000.0,389506000.0,388198000.0,
Derivative Product Liabilities,,,0.0,2496000.0,7805000.0
Tradeand Other Payables Non Current,357000.0,503000.0,1809000.0,2315000.0,
Non Current Deferred Taxes Liabilities,39583000.0,40178000.0,58003000.0,54465000.0,
Long Term Debt And Capital Lease Obligation,363516000.0,362869000.0,329694000.0,328922000.0,
Long Term Capital Lease Obligation,6094000.0,6134000.0,0.0,,
Long Term Debt,357422000.0,356735000.0,329694000.0,328922000.0,
Current Liabilities,29278000.0,42906000.0,24931000.0,27855000.0,
Other Current Liabilities,2412000.0,2325000.0,403000.0,2082000.0,
Current Debt And Capital Lease Obligation,281000.0,14896000.0,0.0,,
Current Capital Lease Obligation,281000.0,220000.0,0.0,,
Current Debt,0.0,14676000.0,0.0,,
Payables,17702000.0,16250000.0,17915000.0,19295000.0,
Dividends Payable,12984000.0,12967000.0,15053000.0,17600000.0,
Total Tax Payable,3687000.0,2236000.0,1803000.0,769000.0,
Accounts Payable,1031000.0,1047000.0,1059000.0,926000.0,
Total Assets,961389000.0,992076000.0,1039140000.0,1035499000.0,
Total Non Current Assets,874942000.0,898196000.0,976918000.0,979832000.0,
Non Current Deferred Taxes Assets,4112000.0,3839000.0,1855000.0,1104000.0,
Financial Assets,5983000.0,12158000.0,22836000.0,2319000.0,
Long Term Equity Investment,0.0,0.0,0.0,0.0,
Investmentsin Joint Venturesat Cost,,,,,0.0
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0,
Investment Properties,863708000.0,880843000.0,950500000.0,974870000.0,
Current Assets,86447000.0,93880000.0,62222000.0,55667000.0,
Hedging Assets Current,6688000.0,11318000.0,8015000.0,8000.0,
Assets Held For Sale Current,0.0,24698000.0,0.0,,
Prepaid Assets,2211000.0,2354000.0,1463000.0,874000.0,
Other Receivables,913000.0,721000.0,1229000.0,1571000.0,
Accounts Receivable,4463000.0,8669000.0,2344000.0,1545000.0,
Cash Cash Equivalents And Short Term Investments,72172000.0,46120000.0,49171000.0,51669000.0,
Cash And Cash Equivalents,72172000.0,46120000.0,49171000.0,51669000.0,
Cash Equivalents,33720000.0,18595000.0,0.0,,
Cash Financial,38452000.0,27525000.0,49171000.0,51669000.0,
