,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,45890000.0,25978000.0,36354000.0,35652000.0,
Repayment Of Debt,-14872000.0,0.0,,0.0,-32000000.0
Issuance Of Debt,0.0,41386000.0,0.0,65000000.0,
Issuance Of Capital Stock,0.0,51199000.0,0.0,79207000.0,
Capital Expenditure,-2443000.0,-8262000.0,-3523000.0,-3323000.0,
End Cash Position,72172000.0,46120000.0,49171000.0,51669000.0,
Beginning Cash Position,46120000.0,49171000.0,51669000.0,43109000.0,
Changes In Cash,26052000.0,-3051000.0,-2498000.0,8560000.0,
Financing Cash Flow,-45362000.0,53182000.0,-38852000.0,110635000.0,
Net Other Financing Charges,804000.0,,,,
Interest Paid Cff,-5705000.0,-5362000.0,-5123000.0,-4437000.0,
Cash Dividends Paid,-25551000.0,-27276000.0,-33729000.0,-26378000.0,
Common Stock Dividend Paid,,,-33729000.0,-26378000.0,-22727000.0
Net Common Stock Issuance,0.0,51199000.0,0.0,79207000.0,
Common Stock Issuance,0.0,51199000.0,0.0,79207000.0,
Net Issuance Payments Of Debt,-14872000.0,41386000.0,0.0,65000000.0,
Net Long Term Debt Issuance,-14872000.0,41386000.0,0.0,65000000.0,
Long Term Debt Payments,-14872000.0,0.0,,0.0,-32000000.0
Long Term Debt Issuance,0.0,41386000.0,0.0,65000000.0,
Investing Cash Flow,23081000.0,-90473000.0,-3523000.0,-141050000.0,
Net Other Investing Changes,24500000.0,,,,
Interest Received Cfi,1024000.0,213000.0,0.0,,
Net Investment Properties Purchase And Sale,0.0,-82424000.0,0.0,-137727000.0,
Sale Of Investment Properties,,,0.0,9500000.0,0.0
Purchase Of Investment Properties,0.0,-82424000.0,0.0,-147227000.0,
Net Business Purchase And Sale,,,,0.0,-37706000.0
Purchase Of Business,,,,0.0,-37706000.0
Capital Expenditure Reported,-2443000.0,-8262000.0,-3523000.0,-3323000.0,
Operating Cash Flow,48333000.0,34240000.0,39877000.0,38975000.0,
Taxes Refund Paid,-1159000.0,-2491000.0,-354000.0,-640000.0,
Change In Working Capital,2634000.0,-2983000.0,-1164000.0,2104000.0,
Change In Payable,-1519000.0,3309000.0,70000.0,3697000.0,
Change In Receivables,4153000.0,-6292000.0,-1234000.0,-1593000.0,
Other Non Cash Items,6830000.0,4871000.0,6220000.0,7842000.0,
Deferred Tax,,-17637000.0,4174000.0,22969000.0,5934000.0
Gain Loss On Investment Securities,29600000.0,157806000.0,-5438000.0,-121790000.0,
Gain Loss On Sale Of Business,,,,0.0,-2309000.0
Net Income From Continuing Operations,10428000.0,-122963000.0,36439000.0,128490000.0,
