,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1856501.726122,-2030729.943154,3399693.34942,800872.110604,
Tax Rate For Calcs,0.17501,0.143433,0.102775,0.151652,
Normalized EBITDA,27638000.0,-102763000.0,12730000.0,150618000.0,
Total Unusual Items,-10608000.0,-14158000.0,33079000.0,5281000.0,
Total Unusual Items Excluding Goodwill,-10608000.0,-14158000.0,33079000.0,5281000.0,
Net Income From Continuing Operation Net Minority Interest,8603000.0,-105326000.0,36439000.0,128490000.0,
Reconciled Cost Of Revenue,25205000.0,18090000.0,16531000.0,13476000.0,
EBITDA,17030000.0,-116921000.0,45809000.0,155899000.0,
EBIT,17030000.0,-116921000.0,45809000.0,155899000.0,
Net Interest Income,-6386000.0,-6570000.0,-5968000.0,-5040000.0,
Interest Expense,6602000.0,6042000.0,5196000.0,4440000.0,
Interest Income,1026000.0,258000.0,0.0,0.0,
Normalized Income,17354498.273878,-93198729.943154,6759693.34942,124009872.110604,
Net Income From Continuing And Discontinued Operation,8603000.0,-105326000.0,36439000.0,128490000.0,
Total Expenses,28784000.0,22512000.0,20505000.0,16186000.0,
Diluted Average Shares,1344838000.0,1249811000.0,1171197000.0,1056344825.0,
Basic Average Shares,1344838000.0,1249811000.0,1171197000.0,1056344825.0,
Diluted EPS,0.0064,-0.0842,0.0311,0.121681,
Basic EPS,0.0064,-0.0842,0.0311,0.121681,
Diluted NI Availto Com Stockholders,8603000.0,-105326000.0,36439000.0,128490000.0,
Net Income Common Stockholders,8603000.0,-105326000.0,36439000.0,128490000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,8603000.0,-105326000.0,36439000.0,128490000.0,
Net Income Including Noncontrolling Interests,8603000.0,-105326000.0,36439000.0,128490000.0,
Net Income Continuous Operations,8603000.0,-105326000.0,36439000.0,128490000.0,
Tax Provision,1825000.0,-17637000.0,4174000.0,22969000.0,
Pretax Income,10428000.0,-122963000.0,40613000.0,151459000.0,
Special Income Charges,-607000.0,-1043000.0,0.0,-1509000.0,
Other Special Charges,,,,,-2309000.0
Restructuring And Mergern Acquisition,607000.0,1043000.0,0.0,1509000.0,
Net Non Operating Interest Income Expense,-6386000.0,-6570000.0,-5968000.0,-5040000.0,
Total Other Finance Cost,810000.0,786000.0,772000.0,600000.0,
Interest Expense Non Operating,6602000.0,6042000.0,5196000.0,4440000.0,
Interest Income Non Operating,1026000.0,258000.0,0.0,0.0,
Operating Income,46789000.0,42465000.0,41145000.0,35981000.0,
Operating Expense,3579000.0,4422000.0,3974000.0,2710000.0,
Other Operating Expenses,575000.0,495000.0,740000.0,426000.0,
Selling General And Administration,3004000.0,3927000.0,3234000.0,2284000.0,
General And Administrative Expense,3004000.0,3927000.0,3234000.0,2284000.0,
Gross Profit,50368000.0,46887000.0,45119000.0,38691000.0,
Cost Of Revenue,25205000.0,18090000.0,16531000.0,13476000.0,
Total Revenue,75573000.0,64977000.0,61650000.0,52167000.0,
Operating Revenue,75573000.0,64977000.0,61650000.0,52167000.0,
