Date,Open,High,Low,Close,Adj,Volume
31 Dec 2024,0.2850,0.2850,0.2800,0.2850,0.2747,"67,600"
30 Dec 2024,0.2750,0.2850,0.2750,0.2850,0.2747,"436,400"
27 Dec 2024,0.2900,0.2900,0.2800,0.2800,0.2699,"211,600"
26 Dec 2024,0.2800,0.2900,0.2800,0.2900,0.2795,"504,400"
24 Dec 2024,0.2800,0.2800,0.2800,0.2800,0.2699,"80,000"
23 Dec 2024,0.2800,0.2800,0.2800,0.2800,0.2699,"304,300"
20 Dec 2024,0.2850,0.2850,0.2800,0.2800,0.2699,"330,500"
19 Dec 2024,0.2800,0.2800,0.2750,0.2800,0.2699,"267,900"
18 Dec 2024,0.2800,0.2850,0.2800,0.2850,0.2747,"176,600"
17 Dec 2024,0.2800,0.2850,0.2800,0.2800,0.2699,"209,200"
16 Dec 2024,0.2850,0.2850,0.2800,0.2800,0.2699,"244,200"
13 Dec 2024,0.2800,0.2850,0.2800,0.2800,0.2699,"207,900"
12 Dec 2024,0.2800,0.2800,0.2800,0.2800,0.2699,"310,000"
11 Dec 2024,0.2800,0.2800,0.2750,0.2800,0.2699,"297,300"
10 Dec 2024,0.2850,0.2850,0.2750,0.2800,0.2699,"760,100"
9 Dec 2024,0.2850,0.2850,0.2850,0.2850,0.2747,"202,300"
6 Dec 2024,0.2850,0.2850,0.2800,0.2850,0.2747,"120,300"
5 Dec 2024,0.2850,0.2850,0.2800,0.2850,0.2747,"335,200"
4 Dec 2024,0.2850,0.2850,0.2800,0.2850,0.2747,"225,100"
3 Dec 2024,0.2800,0.2850,0.2800,0.2850,0.2747,"75,000"
2 Dec 2024,0.2800,0.2850,0.2800,0.2800,0.2699,"608,900"
29 Nov 2024,0.2800,0.2800,0.2800,0.2800,0.2699,"626,800"
28 Nov 2024,0.2800,0.2800,0.2750,0.2800,0.2699,"196,100"
27 Nov 2024,0.2800,0.2800,0.2750,0.2800,0.2699,"79,700"
26 Nov 2024,0.2800,0.2800,0.2700,0.2800,0.2699,"1,047,900"
25 Nov 2024,0.2800,0.2850,0.2750,0.2750,0.2651,"1,260,600"
22 Nov 2024,0.2850,0.2850,0.2800,0.2850,0.2747,"164,700"
21 Nov 2024,0.2850,0.2850,0.2800,0.2850,0.2747,"184,400"
20 Nov 2024,0.2850,0.2850,0.2850,0.2850,0.2747,"66,200"
19 Nov 2024,0.2850,0.2850,0.2800,0.2800,0.2699,"379,300"
18 Nov 2024,0.2800,0.2850,0.2800,0.2800,0.2699,"690,800"
15 Nov 2024,0.2800,0.2850,0.2800,0.2850,0.2747,"175,000"
14 Nov 2024,0.2800,0.2850,0.2800,0.2850,0.2747,"120,200"
13 Nov 2024,0.2900,0.2900,0.2800,0.2800,0.2699,"263,700"
12 Nov 2024,0.2900,0.2900,0.2850,0.2900,0.2795,"343,600"
11 Nov 2024,0.2950,0.2950,0.2850,0.2900,0.2795,"85,000"
8 Nov 2024,0.2900,0.3000,0.2850,0.2850,0.2747,"901,700"
7 Nov 2024,0.2950,0.2950,0.2900,0.2900,0.2795,"264,500"
6 Nov 2024,0.2950,0.3000,0.2900,0.3000,0.2892,"81,500"
5 Nov 2024,0.2950,0.3000,0.2900,0.3000,0.2892,"38,300"
4 Nov 2024,0.2900,0.2950,0.2900,0.2950,0.2843,"52,000"
1 Nov 2024,0.2900,0.3000,0.2900,0.2900,0.2795,"115,600"
30 Oct 2024,0.2950,0.3000,0.2900,0.2950,0.2843,"50,000"
29 Oct 2024,0.2950,0.3000,0.2950,0.3000,0.2892,"58,300"
28 Oct 2024,0.3000,0.3000,0.2950,0.3000,0.2892,"420,600"
25 Oct 2024,0.3000,0.3050,0.2950,0.3000,0.2892,"197,900"
24 Oct 2024,0.3000,0.3050,0.3000,0.3000,0.2892,"36,600"
23 Oct 2024,0.3000,0.3050,0.3000,0.3000,0.2892,"335,400"
22 Oct 2024,0.3000,0.3050,0.3000,0.3000,0.2892,"330,700"
21 Oct 2024,0.3050,0.3050,0.3000,0.3050,0.2940,"424,000"
18 Oct 2024,0.3050,0.3050,0.3000,0.3050,0.2940,"396,900"
17 Oct 2024,0.3050,0.3050,0.3000,0.3050,0.2940,"381,000"
16 Oct 2024,0.3000,0.3050,0.2950,0.2950,0.2843,"667,500"
15 Oct 2024,0.3050,0.3050,0.3000,0.3050,0.2940,"62,700"
14 Oct 2024,0.3000,0.3050,0.3000,0.3050,0.2940,"142,000"
11 Oct 2024,0.3050,0.3050,0.3000,0.3000,0.2892,"332,500"
10 Oct 2024,0.3050,0.3050,0.3000,0.3000,0.2892,"30,300"
9 Oct 2024,0.3050,0.3050,0.3000,0.3050,0.2940,"244,500"
8 Oct 2024,0.3050,0.3050,0.3000,0.3050,0.2940,"249,000"
7 Oct 2024,0.3100,0.3100,0.3000,0.3000,0.2892,"414,900"
4 Oct 2024,0.3050,0.3100,0.3050,0.3100,0.2988,"832,200"
3 Oct 2024,0.3050,0.3100,0.3050,0.3100,0.2988,"626,300"
2 Oct 2024,0.3100,0.3100,0.3050,0.3100,0.2988,"223,700"
1 Oct 2024,0.3100,0.3100,0.3050,0.3100,0.2988,"491,600"
30 Sept 2024,0.3100,0.3150,0.3050,0.3050,0.2940,"481,900"
27 Sept 2024,0.3000,0.3100,0.3000,0.3100,0.2988,"755,800"
26 Sept 2024,0.3050,0.3050,0.3000,0.3000,0.2892,"342,000"
25 Sept 2024,0.3100,0.3100,0.3000,0.3000,0.2892,"1,578,500"
24 Sept 2024,0.3100,0.3100,0.3050,0.3100,0.2988,"214,300"
23 Sept 2024,0.3100,0.3150,0.3100,0.3100,0.2988,"693,800"
20 Sept 2024,0.3100,0.3150,0.3050,0.3100,0.2988,"604,100"
19 Sept 2024,0.3050,0.3100,0.3050,0.3100,0.2988,"1,379,100"
18 Sept 2024,0.3100,0.3100,0.3000,0.3050,0.2940,"1,597,200"
17 Sept 2024,0.2950,0.3100,0.2950,0.3100,0.2988,"2,237,400"
16 Sept 2024,0.2900,0.2950,0.2900,0.2950,0.2843,"543,300"
13 Sept 2024,0.2900,0.2900,0.2850,0.2900,0.2795,"258,200"
12 Sept 2024,0.2850,0.2900,0.2850,0.2900,0.2795,"320,400"
11 Sept 2024,0.2900,0.2900,0.2850,0.2900,0.2795,"106,500"
10 Sept 2024,0.2800,0.2900,0.2800,0.2900,0.2795,"221,400"
9 Sept 2024,0.2850,0.2850,0.2800,0.2850,0.2747,"1,049,600"
6 Sept 2024,0.2800,0.2850,0.2800,0.2850,0.2747,"364,800"
5 Sept 2024,0.2800,0.2850,0.2800,0.2850,0.2747,"341,700"
4 Sept 2024,0.2750,0.2800,0.2750,0.2800,0.2699,"674,300"
3 Sept 2024,0.2800,0.2800,0.2700,0.2750,0.2651,"749,900"
2 Sept 2024,0.2800,0.2850,0.2700,0.2750,0.2651,"2,206,300"
30 Aug 2024,0.2800,0.2850,0.2700,0.2750,0.2651,"1,509,500"
29 Aug 2024,0.2800,0.2850,0.2700,0.2800,0.2699,"820,000"
28 Aug 2024,0.2850,0.2850,0.2750,0.2800,0.2699,"926,600"
27 Aug 2024,0.2950,0.2950,0.2800,0.2850,0.2747,"1,414,600"
26 Aug 2024,0.2950,0.2950,0.2850,0.2900,0.2795,"793,800"
23 Aug 2024,0.2950,0.2950,0.2850,0.2950,0.2843,"573,000"
22 Aug 2024,0.2900,0.2950,0.2900,0.2950,0.2843,"475,200"
21 Aug 2024,0.2950,0.2950,0.2900,0.2900,0.2795,"309,200"
20 Aug 2024,0.2900,0.2950,0.2900,0.2950,0.2843,"523,100"
19 Aug 2024,0.2900,0.2950,0.2850,0.2950,0.2843,"606,300"
16 Aug 2024,0.2950,0.2950,0.2900,0.2900,0.2795,"484,700"
15 Aug 2024,0.2950,0.2950,0.2900,0.2950,0.2843,"251,600"
14 Aug 2024,0.014026561 Dividend,,,,,
14 Aug 2024,0.2950,0.2950,0.2900,0.2950,0.2843,"313,400"
13 Aug 2024,0.3000,0.3050,0.3000,0.3050,0.2847,"156,000"
12 Aug 2024,0.3000,0.3000,0.2950,0.3000,0.2801,"113,400"
8 Aug 2024,0.3050,0.3050,0.2900,0.3000,0.2801,"353,700"
7 Aug 2024,0.2900,0.3050,0.2900,0.3050,0.2847,"533,200"
6 Aug 2024,0.2800,0.2850,0.2800,0.2850,0.2660,"165,000"
5 Aug 2024,0.2900,0.2900,0.2800,0.2800,0.2614,"747,700"
2 Aug 2024,0.2900,0.2950,0.2900,0.2900,0.2707,"412,400"
1 Aug 2024,0.2950,0.3000,0.2900,0.2900,0.2707,"237,200"
31 Jul 2024,0.2950,0.3000,0.2900,0.2950,0.2754,"331,300"
30 Jul 2024,0.2950,0.3000,0.2950,0.2950,0.2754,"585,200"
29 Jul 2024,0.3000,0.3000,0.2950,0.2950,0.2754,"190,400"
26 Jul 2024,0.3000,0.3000,0.2950,0.2950,0.2754,"360,800"
25 Jul 2024,0.3050,0.3050,0.2950,0.2950,0.2754,"38,100"
24 Jul 2024,0.3050,0.3050,0.3000,0.3000,0.2801,"52,500"
23 Jul 2024,0.3000,0.3000,0.2950,0.3000,0.2801,"17,400"
22 Jul 2024,0.3000,0.3050,0.3000,0.3000,0.2801,"88,500"
19 Jul 2024,0.3000,0.3000,0.2950,0.3000,0.2801,"116,800"
18 Jul 2024,0.3000,0.3000,0.2950,0.3000,0.2801,"62,200"
17 Jul 2024,0.3000,0.3000,0.3000,0.3000,0.2801,"164,600"
16 Jul 2024,0.2950,0.3000,0.2950,0.3000,0.2801,"146,500"
15 Jul 2024,0.3050,0.3050,0.2950,0.2950,0.2754,"644,100"
12 Jul 2024,0.2900,0.3000,0.2900,0.3000,0.2801,"1,129,200"
11 Jul 2024,0.2800,0.2900,0.2800,0.2900,0.2707,"617,400"
10 Jul 2024,0.2850,0.2850,0.2800,0.2850,0.2660,"541,700"
9 Jul 2024,0.2800,0.2850,0.2800,0.2850,0.2660,"179,600"
8 Jul 2024,0.2800,0.2850,0.2800,0.2850,0.2660,"179,000"
5 Jul 2024,0.2850,0.2850,0.2800,0.2800,0.2614,"419,700"
4 Jul 2024,0.2850,0.2850,0.2800,0.2850,0.2660,"244,500"
3 Jul 2024,0.2900,0.2900,0.2800,0.2850,0.2660,"455,400"
2 Jul 2024,0.2900,0.2900,0.2850,0.2900,0.2707,"429,100"
1 Jul 2024,0.2800,0.2900,0.2800,0.2900,0.2707,"392,100"
28 Jun 2024,0.2700,0.2800,0.2700,0.2800,0.2614,"463,300"
27 Jun 2024,0.2850,0.2850,0.2700,0.2750,0.2567,"1,810,100"
26 Jun 2024,0.3000,0.3000,0.2800,0.2900,0.2707,"2,030,400"
25 Jun 2024,0.3050,0.3100,0.3000,0.3000,0.2801,"872,400"
24 Jun 2024,0.3100,0.3150,0.3000,0.3100,0.2894,"744,700"
21 Jun 2024,0.3150,0.3150,0.3100,0.3150,0.2941,"177,100"
20 Jun 2024,0.3150,0.3200,0.3100,0.3150,0.2941,"389,100"
19 Jun 2024,0.3200,0.3200,0.3100,0.3150,0.2941,"698,500"
18 Jun 2024,0.3200,0.3250,0.3200,0.3200,0.2987,"353,200"
14 Jun 2024,0.3250,0.3250,0.3200,0.3250,0.3034,"75,500"
13 Jun 2024,0.3200,0.3250,0.3200,0.3250,0.3034,"105,900"
12 Jun 2024,0.3250,0.3300,0.3150,0.3200,0.2987,"740,200"
11 Jun 2024,0.3250,0.3300,0.3250,0.3250,0.3034,"191,600"
10 Jun 2024,0.3300,0.3300,0.3250,0.3250,0.3034,"28,800"
7 Jun 2024,0.3300,0.3300,0.3250,0.3300,0.3081,"54,000"
6 Jun 2024,0.3300,0.3300,0.3250,0.3300,0.3081,"98,300"
5 Jun 2024,0.3300,0.3300,0.3300,0.3300,0.3081,"369,100"
4 Jun 2024,0.3300,0.3300,0.3300,0.3300,0.3081,"490,800"
3 Jun 2024,0.3300,0.3350,0.3250,0.3300,0.3081,"328,400"
31 May 2024,0.3300,0.3300,0.3250,0.3300,0.3081,"142,100"
30 May 2024,0.3300,0.3350,0.3250,0.3250,0.3034,"705,300"
29 May 2024,0.3350,0.3350,0.3300,0.3350,0.3127,"214,000"
28 May 2024,0.3350,0.3350,0.3300,0.3350,0.3127,"61,200"
27 May 2024,0.3350,0.3400,0.3300,0.3400,0.3174,"98,000"
