,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.011928,0.224133,0.206672,0.23926,
Normalized EBITDA,26524000.0,29959000.0,49705000.0,17834000.0,
Total Unusual Items,0.0,0.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,0.0,0.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-23692000.0,-11143000.0,9512000.0,-13812000.0,
Reconciled Depreciation,29241000.0,28858000.0,25292000.0,24141000.0,
Reconciled Cost Of Revenue,71170000.0,73530000.0,74772000.0,62027000.0,
EBITDA,26524000.0,29959000.0,49705000.0,17834000.0,
EBIT,-2717000.0,1101000.0,24413000.0,-6307000.0,
Net Interest Income,-22761000.0,-15790000.0,-12571000.0,-12167000.0,
Interest Expense,21261000.0,15463000.0,12423000.0,11849000.0,
Interest Income,71000.0,337000.0,284000.0,0.0,
Normalized Income,-23692000.0,-11143000.0,9512000.0,-13812000.0,
Net Income From Continuing And Discontinued Operation,-23692000.0,-11143000.0,9512000.0,-13812000.0,
Total Expenses,158070000.0,161544000.0,161021000.0,130927000.0,
Rent Expense Supplemental,1343000.0,557000.0,767000.0,744000.0,
Total Operating Income As Reported,,,,,12697000.0
Diluted Average Shares,579792000.0,576146000.0,568465000.0,567555000.0,
Basic Average Shares,579792000.0,576146000.0,568465000.0,567342000.0,
Diluted EPS,-0.0409,-0.0193,0.0167,-0.0243,
Basic EPS,-0.0409,-0.0193,0.0167,-0.0243,
Diluted NI Availto Com Stockholders,-23692000.0,-11143000.0,9512000.0,-13812000.0,
Net Income Common Stockholders,-23692000.0,-11143000.0,9512000.0,-13812000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-23692000.0,-11143000.0,9512000.0,-13812000.0,
Net Income Including Noncontrolling Interests,-23692000.0,-11143000.0,9512000.0,-13812000.0,
Net Income Continuous Operations,-23692000.0,-11143000.0,9512000.0,-13812000.0,
Tax Provision,-286000.0,-3219000.0,2478000.0,-4344000.0,
Pretax Income,-23978000.0,-14362000.0,11990000.0,-18156000.0,
Other Non Operating Income Expenses,-11925000.0,-12524000.0,16567000.0,-5736000.0,
Special Income Charges,0.0,0.0,0.0,0.0,
Impairment Of Capital Assets,,,-17319000.0,5736000.0,66979000.0
Net Non Operating Interest Income Expense,-22761000.0,-15790000.0,-12571000.0,-12167000.0,
Total Other Finance Cost,1571000.0,664000.0,432000.0,318000.0,
Interest Expense Non Operating,21261000.0,15463000.0,12423000.0,11849000.0,
Interest Income Non Operating,71000.0,337000.0,284000.0,0.0,
Operating Income,10708000.0,13952000.0,7994000.0,-253000.0,
Operating Expense,86900000.0,88014000.0,86249000.0,68900000.0,
Other Operating Expenses,22135000.0,23271000.0,22213000.0,18183000.0,
Depreciation And Amortization In Income Statement,29241000.0,28858000.0,25292000.0,24141000.0,
Depreciation Income Statement,29241000.0,28858000.0,25292000.0,24141000.0,
Selling General And Administration,34181000.0,35328000.0,38922000.0,27815000.0,
Selling And Marketing Expense,13647000.0,13682000.0,13260000.0,10651000.0,
General And Administrative Expense,20534000.0,21646000.0,25662000.0,17164000.0,
Rent And Landing Fees,1343000.0,557000.0,767000.0,744000.0,
Gross Profit,97608000.0,101966000.0,94243000.0,68647000.0,
Cost Of Revenue,71170000.0,73530000.0,74772000.0,62027000.0,
Total Revenue,168778000.0,175496000.0,169015000.0,130674000.0,
Operating Revenue,168778000.0,175496000.0,169015000.0,130674000.0,
