,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,2218087751.0,1748818689.0,1745994665.0,1742806575.0,
Share Issued,2218087751.0,1748818689.0,1745994665.0,1742806575.0,
Net Debt,1363574000.0,1318055000.0,1272088000.0,1098951000.0,
Total Debt,1715468000.0,1480736000.0,1475133000.0,1299270000.0,
Tangible Book Value,3372016000.0,2310980000.0,2414118000.0,2293247000.0,
Invested Capital,5052281000.0,3778768000.0,3876605000.0,3588139000.0,
Working Capital,60971000.0,60818000.0,17966000.0,41579000.0,
Net Tangible Assets,3372016000.0,2310980000.0,2414118000.0,2293247000.0,
Capital Lease Obligations,35203000.0,12948000.0,12646000.0,4378000.0,
Common Stock Equity,3372016000.0,2310980000.0,2414118000.0,2293247000.0,
Total Capitalization,4975148000.0,3706291000.0,3701180000.0,3429480000.0,
Total Equity Gross Minority Interest,3426948000.0,2353961000.0,2456918000.0,2335676000.0,
Minority Interest,54932000.0,42981000.0,42800000.0,42429000.0,
Stockholders Equity,3372016000.0,2310980000.0,2414118000.0,2293247000.0,
Retained Earnings,555175000.0,434650000.0,451536000.0,332451000.0,
Capital Stock,2944483000.0,1991446000.0,2026265000.0,2054294000.0,
Common Stock,2944483000.0,1991446000.0,2026265000.0,2054294000.0,
Total Liabilities Net Minority Interest,2116285000.0,1652590000.0,1650745000.0,1444474000.0,
Total Non Current Liabilities Net Minority Interest,1729528000.0,1503976000.0,1406105000.0,1223865000.0,
Derivative Product Liabilities,8664000.0,9029000.0,2180000.0,5290000.0,
Tradeand Other Payables Non Current,,,6338000.0,,
Non Current Deferred Taxes Liabilities,92727000.0,86688000.0,79606000.0,62317000.0,
Long Term Debt And Capital Lease Obligation,1628137000.0,1408259000.0,1299708000.0,1136233000.0,
Long Term Capital Lease Obligation,25005000.0,12948000.0,12646000.0,7726000.0,
Long Term Debt,1603132000.0,1395311000.0,1287062000.0,1136233000.0,
Long Term Provisions,,,18273000.0,20025000.0,21100000.0
Current Liabilities,386757000.0,148614000.0,244640000.0,220609000.0,
Current Deferred Taxes Liabilities,11615000.0,5740000.0,6569000.0,6537000.0,
Current Debt And Capital Lease Obligation,87331000.0,72477000.0,175425000.0,163037000.0,
Current Capital Lease Obligation,10198000.0,0.0,0.0,4378000.0,
Current Debt,77133000.0,72477000.0,175425000.0,158659000.0,
Payables,287355000.0,70249000.0,62646000.0,50143000.0,
Other Payable,185803000.0,65112000.0,,41677000.0,75345000.0
Accounts Payable,101552000.0,5137000.0,62646000.0,50143000.0,
Total Assets,5543233000.0,4006551000.0,4107663000.0,3780150000.0,
Total Non Current Assets,5095505000.0,3797119000.0,3845057000.0,3517962000.0,
Non Current Prepaid Assets,619000.0,13486000.0,13896000.0,0.0,
Non Current Deferred Taxes Assets,4054000.0,1124000.0,1679000.0,2006000.0,
Financial Assets,15006000.0,29174000.0,49762000.0,3954000.0,
Long Term Equity Investment,0.0,0.0,26475000.0,0.0,
Investmentsin Joint Venturesat Cost,0.0,0.0,26475000.0,0.0,
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0,
Investment Properties,4904007000.0,3655932000.0,3639453000.0,3401436000.0,
Goodwill And Other Intangible Assets,,,,,0.0
Net PPE,619000.0,13486000.0,,,
Gross PPE,619000.0,13486000.0,,,
Construction In Progress,619000.0,13486000.0,,,
Current Assets,447728000.0,209432000.0,262606000.0,262188000.0,
Other Current Assets,,,,,2723000.0
Hedging Assets Current,4309000.0,2344000.0,7595000.0,2540000.0,
Assets Held For Sale Current,16520000.0,0.0,,,
Prepaid Assets,,,0.0,10402000.0,0.0
Other Receivables,3836000.0,3487000.0,3208000.0,2932000.0,
Taxes Receivable,,,,0.0,3036000.0
Accounts Receivable,106372000.0,53868000.0,61404000.0,50373000.0,
Cash Cash Equivalents And Short Term Investments,316691000.0,149733000.0,190399000.0,195941000.0,
Cash And Cash Equivalents,316691000.0,149733000.0,190399000.0,195941000.0,
Cash Equivalents,47735000.0,50457000.0,62957000.0,24007000.0,
Cash Financial,268956000.0,99276000.0,127442000.0,171934000.0,
