,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,188326000.0,184348000.0,178869000.0,113930000.0,
Repayment Of Debt,-474788000.0,-274238000.0,-251551000.0,-408401000.0,
Issuance Of Debt,692801000.0,265429000.0,518006000.0,551183000.0,
Issuance Of Capital Stock,1001280000.0,0.0,0.0,204282000.0,
Capital Expenditure,-35409000.0,-26436000.0,-39422000.0,-77571000.0,
End Cash Position,311218000.0,149733000.0,190399000.0,195941000.0,
Beginning Cash Position,149733000.0,190399000.0,195941000.0,244387000.0,
Effect Of Exchange Rate Changes,-670000.0,150000.0,-8797000.0,-533000.0,
Changes In Cash,162155000.0,-40816000.0,3255000.0,-47913000.0,
Financing Cash Flow,1004741000.0,-236164000.0,83670000.0,134970000.0,
Net Other Financing Charges,3689000.0,-555000.0,-609000.0,204282000.0,
Interest Paid Cff,-50533000.0,-47011000.0,-28135000.0,-19789000.0,
Cash Dividends Paid,-152960000.0,-175671000.0,-146876000.0,-181962000.0,
Net Common Stock Issuance,1001280000.0,0.0,0.0,204282000.0,
Common Stock Issuance,1001280000.0,0.0,0.0,204282000.0,
Net Issuance Payments Of Debt,218013000.0,-8809000.0,266455000.0,142782000.0,
Net Long Term Debt Issuance,218013000.0,-8809000.0,266455000.0,142782000.0,
Long Term Debt Payments,-474788000.0,-274238000.0,-251551000.0,-408401000.0,
Long Term Debt Issuance,692801000.0,265429000.0,518006000.0,551183000.0,
Investing Cash Flow,-1066321000.0,-15436000.0,-298706000.0,-374384000.0,
Net Other Investing Changes,13869000.0,11000000.0,-2734000.0,-10402000.0,
Dividends Received Cfi,,,,33982000.0,
Net Investment Purchase And Sale,,0.0,-1004000.0,0.0,
Purchase Of Investment,,0.0,-1004000.0,0.0,
Net Investment Properties Purchase And Sale,-1044781000.0,0.0,-255546000.0,-230693000.0,
Sale Of Investment Properties,75110000.0,0.0,,,
Purchase Of Investment Properties,-1119891000.0,0.0,-255546000.0,-230693000.0,
Net Business Purchase And Sale,,,0.0,-55718000.0,7920000.0
Sale Of Business,,,0.0,33982000.0,7920000.0
Purchase Of Business,,,0.0,-89700000.0,
Net Intangibles Purchase And Sale,,,,,0.0
Purchase Of Intangibles,,,,,0.0
Capital Expenditure Reported,-35409000.0,-26436000.0,-39422000.0,-77571000.0,
Operating Cash Flow,223735000.0,210784000.0,218291000.0,191501000.0,
Taxes Refund Paid,-23158000.0,-8943000.0,-9802000.0,-7728000.0,
Change In Working Capital,-11912000.0,-13871000.0,-4416000.0,-21881000.0,
Change In Payable,13065000.0,-11162000.0,15388000.0,-7790000.0,
Change In Receivables,-24977000.0,-2709000.0,-19804000.0,-14091000.0,
Other Non Cash Items,53575000.0,59909000.0,25686000.0,15141000.0,
Provisionand Write Offof Assets,26949000.0,11176000.0,0.0,7949000.0,
Deferred Tax,26832000.0,15574000.0,30994000.0,29176000.0,
Depreciation And Amortization,,,,2723000.0,5626000.0
Amortization Cash Flow,,,,2723000.0,5626000.0
Gain Loss On Investment Securities,-163957000.0,17687000.0,-71269000.0,-155718000.0,
Net Foreign Currency Exchange Gain Loss,1428000.0,-1236000.0,3941000.0,1789000.0,
Gain Loss On Sale Of Business,,,0.0,200000.0,
Net Income From Continuing Operations,313978000.0,122204000.0,234174000.0,321573000.0,
