,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,1430446.900032,1788130.949789,879087.499246,-311849.282535,
Tax Rate For Calcs,0.07873,0.113037,0.116884,0.083182,
Normalized EBITDA,385482000.0,186984000.0,286995000.0,367126000.0,
Total Unusual Items,18169000.0,15819000.0,7521000.0,-3749000.0,
Total Unusual Items Excluding Goodwill,18169000.0,15819000.0,7521000.0,-3749000.0,
Net Income From Continuing Operation Net Minority Interest,300669000.0,118530000.0,230905000.0,313656000.0,
Reconciled Depreciation,,,,2723000.0,5626000.0
Reconciled Cost Of Revenue,78349000.0,63599000.0,51640000.0,47167000.0,
EBITDA,403651000.0,202803000.0,294516000.0,363377000.0,
EBIT,403651000.0,202803000.0,294516000.0,363377000.0,
Net Interest Income,-48579000.0,-54756000.0,-20712000.0,-12708000.0,
Interest Expense,62841000.0,65025000.0,29348000.0,12628000.0,
Interest Income,15390000.0,10929000.0,9254000.0,558000.0,
Normalized Income,283930446.900032,104499130.949789,224263087.499246,317093150.717465,
Net Income From Continuing And Discontinued Operation,300669000.0,118530000.0,230905000.0,313656000.0,
Total Expenses,90469000.0,68535000.0,58269000.0,54232000.0,
Diluted Average Shares,1766335860.0,1727469943.0,1745007185.0,1688923843.0,
Basic Average Shares,1766335860.0,1727469943.0,1745007185.0,1688923843.0,
Diluted EPS,0.170206,0.06862,0.132295,0.185745,
Basic EPS,0.170206,0.06862,0.132295,0.185745,
Diluted NI Availto Com Stockholders,300669000.0,118530000.0,230905000.0,313656000.0,
Net Income Common Stockholders,300669000.0,118530000.0,230905000.0,313656000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,300669000.0,118530000.0,230905000.0,313656000.0,
Minority Interests,-13309000.0,-3674000.0,-3269000.0,-7917000.0,
Net Income Including Noncontrolling Interests,313978000.0,122204000.0,234174000.0,321573000.0,
Net Income Continuous Operations,313978000.0,122204000.0,234174000.0,321573000.0,
Tax Provision,26832000.0,15574000.0,30994000.0,29176000.0,
Pretax Income,340810000.0,137778000.0,265168000.0,350749000.0,
Special Income Charges,,,0.0,-200000.0,0.0
Other Special Charges,,,,200000.0,
Net Non Operating Interest Income Expense,-48579000.0,-54756000.0,-20712000.0,-12708000.0,
Total Other Finance Cost,1128000.0,660000.0,618000.0,638000.0,
Interest Expense Non Operating,62841000.0,65025000.0,29348000.0,12628000.0,
Interest Income Non Operating,15390000.0,10929000.0,9254000.0,558000.0,
Operating Income,219818000.0,212672000.0,219053000.0,216833000.0,
Operating Expense,12120000.0,4936000.0,6629000.0,7065000.0,
Other Operating Expenses,7458000.0,1636000.0,5943000.0,6412000.0,
Selling General And Administration,4662000.0,3300000.0,686000.0,653000.0,
General And Administrative Expense,4662000.0,3300000.0,686000.0,653000.0,
Gross Profit,231938000.0,217608000.0,225682000.0,223898000.0,
Cost Of Revenue,78349000.0,63599000.0,51640000.0,47167000.0,
Total Revenue,310287000.0,281207000.0,277322000.0,271065000.0,
Operating Revenue,310287000.0,281207000.0,277322000.0,271065000.0,
