Date,Open,High,Low,Close,Adj,Volume
31 Dec 2024,2.1800,2.2000,2.1600,2.1800,2.1250,"2,778,200"
30 Dec 2024,2.1900,2.2000,2.1700,2.1900,2.1347,"2,120,800"
27 Dec 2024,2.1800,2.2100,2.1800,2.1800,2.1250,"2,303,700"
26 Dec 2024,2.1800,2.1900,2.1600,2.1700,2.1152,"1,227,200"
24 Dec 2024,2.1500,2.1900,2.1400,2.1800,2.1250,"3,359,100"
23 Dec 2024,2.1100,2.1700,2.1000,2.1500,2.0958,"5,544,900"
20 Dec 2024,2.1300,2.1400,2.1000,2.1200,2.0665,"12,427,304"
19 Dec 2024,2.1300,2.1500,2.1000,2.1400,2.0860,"8,065,900"
18 Dec 2024,2.1300,2.1600,2.1300,2.1500,2.0958,"5,178,200"
17 Dec 2024,2.1300,2.1600,2.1300,2.1500,2.0958,"7,297,800"
16 Dec 2024,2.2000,2.2000,2.1300,2.1400,2.0860,"10,798,200"
13 Dec 2024,2.2000,2.2100,2.1800,2.2100,2.1542,"7,193,100"
12 Dec 2024,2.2300,2.2500,2.1900,2.2000,2.1445,"8,001,200"
11 Dec 2024,2.1700,2.2000,2.1600,2.1900,2.1347,"8,802,000"
10 Dec 2024,2.1900,2.2000,2.1600,2.1700,2.1152,"6,328,000"
9 Dec 2024,2.1900,2.2100,2.1700,2.1900,2.1347,"6,462,900"
6 Dec 2024,2.2100,2.2300,2.2000,2.2000,2.1445,"6,719,900"
5 Dec 2024,2.1900,2.2200,2.1900,2.2100,2.1542,"4,762,700"
4 Dec 2024,2.2500,2.2900,2.1800,2.2000,2.1445,"13,346,634"
3 Dec 2024,2.2300,2.2600,2.2100,2.2600,2.2030,"8,963,700"
2 Dec 2024,2.2000,2.2400,2.2000,2.2300,2.1737,"17,390,300"
29 Nov 2024,2.2300,2.2500,2.2000,2.2200,2.1640,"11,321,100"
28 Nov 2024,2.3000,2.3200,2.2200,2.2600,2.2030,"23,017,725"
27 Nov 2024,2.2500,2.3100,2.2500,2.2800,2.2225,"12,637,600"
26 Nov 2024,0.040664 Dividend,,,,,
26 Nov 2024,2.3400,2.3400,2.2500,2.2500,2.1932,"31,070,400"
25 Nov 2024,2.2040,2.3622,2.2040,2.3523,2.2533,"23,985,423"
22 Nov 2024,2.2139,2.2337,2.1941,2.1941,2.1018,"7,748,839"
21 Nov 2024,2.2436,2.2534,2.1941,2.2238,2.1302,"9,611,227"
20 Nov 2024,2.1348,2.2930,2.1348,2.2534,2.1586,"35,977,173"
19 Nov 2024,2.1645,2.1645,2.1645,2.1645,2.0734,-
18 Nov 2024,2.1843,2.2139,2.1546,2.1645,2.0734,"4,704,688"
15 Nov 2024,2.2600,2.2700,2.1900,2.2000,2.1074,"7,816,900"
14 Nov 2024,2.2600,2.2700,2.2300,2.2700,2.1745,"4,231,900"
13 Nov 2024,2.2300,2.2600,2.2100,2.2600,2.1649,"7,029,000"
12 Nov 2024,2.2000,2.2500,2.2000,2.2300,2.1362,"6,001,600"
11 Nov 2024,2.1700,2.2100,2.1600,2.2000,2.1074,"3,452,900"
8 Nov 2024,2.1600,2.2000,2.1500,2.1600,2.0691,"8,508,100"
7 Nov 2024,2.2200,2.2200,2.1100,2.1400,2.0499,"9,678,900"
6 Nov 2024,2.2600,2.2800,2.2100,2.2200,2.1266,"7,739,300"
