,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,1776565421.0,1776565421.0,1776565000.0,1754155000.0,
Share Issued,1776565421.0,1776565421.0,1776565000.0,1754155000.0,
Net Debt,680709000.0,793178000.0,916122000.0,892712000.0,
Total Debt,745952000.0,920323000.0,1028985000.0,971293000.0,
Tangible Book Value,430632000.0,608635000.0,1020316000.0,1187716000.0,
Invested Capital,1176584000.0,1528958000.0,2049301000.0,2159009000.0,
Working Capital,79161000.0,46955000.0,-63205000.0,-278086000.0,
Net Tangible Assets,430632000.0,608635000.0,1020316000.0,1187716000.0,
Common Stock Equity,430632000.0,608635000.0,1020316000.0,1187716000.0,
Total Capitalization,1176584000.0,1479078000.0,1904666000.0,1862366000.0,
Total Equity Gross Minority Interest,430632000.0,608635000.0,1020316000.0,1187716000.0,
Stockholders Equity,430632000.0,608635000.0,1020316000.0,1187716000.0,
Retained Earnings,-810213000.0,-632210000.0,-214228000.0,-40784000.0,
Capital Stock,1240845000.0,1240845000.0,1234544000.0,1228500000.0,
Common Stock,1240845000.0,1240845000.0,1234544000.0,1228500000.0,
Total Liabilities Net Minority Interest,794032000.0,979635000.0,1095534000.0,1087912000.0,
Total Non Current Liabilities Net Minority Interest,753985000.0,880802000.0,911134000.0,724251000.0,
Other Non Current Liabilities,3262000.0,3950000.0,4262000.0,3875000.0,
Preferred Securities Outside Stock Equity,822000.0,904000.0,1078000.0,825000.0,
Derivative Product Liabilities,,,0.0,4742000.0,12985000.0
Tradeand Other Payables Non Current,3949000.0,,,,
Non Current Deferred Revenue,3949000.0,4728000.0,2369000.0,2898000.0,
Non Current Deferred Taxes Liabilities,0.0,777000.0,19075000.0,37261000.0,
Long Term Debt And Capital Lease Obligation,745952000.0,870443000.0,884350000.0,674650000.0,
Long Term Debt,745952000.0,870443000.0,884350000.0,674650000.0,
Current Liabilities,40047000.0,98833000.0,184400000.0,363661000.0,
Other Current Liabilities,728000.0,819000.0,390000.0,230000.0,
Current Debt And Capital Lease Obligation,0.0,49880000.0,144635000.0,296643000.0,
Current Debt,0.0,49880000.0,144635000.0,296643000.0,
Payables,8243000.0,10389000.0,12180000.0,45317000.0,
Other Payable,4838000.0,5213000.0,6974000.0,42928000.0,
Total Tax Payable,2512000.0,2946000.0,2130000.0,2257000.0,
Accounts Payable,893000.0,2230000.0,3076000.0,132000.0,
Total Assets,1224664000.0,1588270000.0,2115850000.0,2275628000.0,
Total Non Current Assets,1105456000.0,1442482000.0,1994655000.0,2190053000.0,
Financial Assets,11956000.0,30682000.0,47655000.0,5653000.0,
Long Term Equity Investment,0.0,0.0,0.0,0.0,
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0,
Investment Properties,1093500000.0,1411800000.0,1947000000.0,2184400000.0,
Current Assets,119208000.0,145788000.0,121195000.0,85575000.0,
Hedging Assets Current,2706000.0,2584000.0,1264000.0,0.0,
Assets Held For Sale Current,43700000.0,0.0,,,
Restricted Cash,,,,,0.0
Prepaid Assets,1990000.0,2133000.0,1669000.0,1444000.0,
Other Receivables,2614000.0,2340000.0,3373000.0,3287000.0,
Accounts Receivable,2955000.0,11586000.0,2026000.0,2263000.0,
Allowance For Doubtful Accounts Receivable,-1749000.0,-1902000.0,-1304000.0,-833000.0,
Gross Accounts Receivable,4704000.0,13488000.0,3330000.0,3096000.0,
Cash Cash Equivalents And Short Term Investments,65243000.0,127145000.0,112863000.0,78581000.0,
Cash And Cash Equivalents,65243000.0,127145000.0,112863000.0,78581000.0,
Cash Equivalents,38687000.0,57419000.0,0.0,,
Cash Financial,26556000.0,69726000.0,112863000.0,78581000.0,
