,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,7868000.0,32346000.0,66574000.0,60645000.0,
Repurchase Of Capital Stock,-115000.0,-253000.0,0.0,-125000.0,
Repayment Of Debt,-180686000.0,-349000000.0,-322716000.0,-248800000.0,
Issuance Of Debt,0.0,242000000.0,380400000.0,367300000.0,
Issuance Of Capital Stock,,0.0,345000.0,101151000.0,0.0
Capital Expenditure,-40636000.0,-44475000.0,-25414000.0,-29981000.0,
End Cash Position,47556000.0,104726000.0,112863000.0,78581000.0,
Beginning Cash Position,104726000.0,112863000.0,78581000.0,86674000.0,
Effect Of Exchange Rate Changes,-47000.0,32000.0,31000.0,-10000.0,
Changes In Cash,-57123000.0,-8169000.0,34251000.0,-8083000.0,
Financing Cash Flow,-176069000.0,-171573000.0,-32369000.0,132217000.0,
Net Other Financing Charges,4732000.0,-22419000.0,,,
Cash Dividends Paid,,-38019000.0,-88618000.0,-83973000.0,-70737000.0
Common Stock Dividend Paid,,,,,-70737000.0
Net Preferred Stock Issuance,-115000.0,-253000.0,345000.0,1025000.0,
Preferred Stock Payments,-115000.0,-253000.0,0.0,-125000.0,
Preferred Stock Issuance,,0.0,345000.0,1150000.0,0.0
Net Common Stock Issuance,,,0.0,100001000.0,0.0
Common Stock Issuance,,,0.0,100001000.0,0.0
Net Issuance Payments Of Debt,-180686000.0,-107000000.0,57684000.0,118500000.0,
Net Long Term Debt Issuance,-180686000.0,-107000000.0,57684000.0,118500000.0,
Long Term Debt Payments,-180686000.0,-349000000.0,-322716000.0,-248800000.0,
Long Term Debt Issuance,0.0,242000000.0,380400000.0,367300000.0,
Investing Cash Flow,70442000.0,86583000.0,-25368000.0,-230926000.0,
Interest Received Cfi,3277000.0,617000.0,46000.0,21000.0,
Net Investment Properties Purchase And Sale,107801000.0,130441000.0,0.0,-200966000.0,
Sale Of Investment Properties,107801000.0,130441000.0,0.0,,
Purchase Of Investment Properties,,,0.0,-200966000.0,0.0
Capital Expenditure Reported,-40636000.0,-44475000.0,-25414000.0,-29981000.0,
Operating Cash Flow,48504000.0,76821000.0,91988000.0,90626000.0,
Taxes Refund Paid,-1090000.0,-90000.0,-65000.0,-134000.0,
Interest Paid Cfo,-40378000.0,-44735000.0,-30174000.0,-26933000.0,
Change In Working Capital,10562000.0,1066000.0,1161000.0,4719000.0,
Change In Other Current Liabilities,,,,,592000.0
Change In Other Current Assets,2027000.0,0.0,,0.0,1405000.0
Change In Payable,1014000.0,10574000.0,1691000.0,1450000.0,
Change In Prepaid Assets,-242000.0,-347000.0,322000.0,149000.0,
Change In Receivables,7763000.0,-9161000.0,-852000.0,3120000.0,
Other Non Cash Items,44671000.0,51533000.0,47689000.0,42143000.0,
Provisionand Write Offof Assets,594000.0,634000.0,1003000.0,-1743000.0,
Depreciation And Amortization,8985000.0,8346000.0,4350000.0,1932000.0,
Amortization Cash Flow,8985000.0,8346000.0,,1932000.0,-684000.0
Depreciation,8985000.0,8346000.0,4350000.0,1932000.0,
Gain Loss On Investment Securities,206282000.0,455293000.0,215800000.0,28663000.0,
Net Foreign Currency Exchange Gain Loss,48000.0,-42000.0,-27000.0,51000.0,
Net Income From Continuing Operations,-178102000.0,-396989000.0,-147837000.0,40558000.0,
