,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-10113.895408,-710265.488464,5882917.86224,392300.40929,
Tax Rate For Calcs,0.000556,0.042888,0.12254,0.028231,
Normalized EBITDA,-111279000.0,-328805000.0,-159767000.0,55484000.0,
Total Unusual Items,-18195000.0,-16561000.0,48008000.0,13896000.0,
Total Unusual Items Excluding Goodwill,-18195000.0,-16561000.0,48008000.0,13896000.0,
Net Income From Continuing Operation Net Minority Interest,-178003000.0,-379963000.0,-129721000.0,39413000.0,
Reconciled Depreciation,8985000.0,8346000.0,4350000.0,1932000.0,
Reconciled Cost Of Revenue,87708000.0,93419000.0,89396000.0,75552000.0,
EBITDA,-129474000.0,-345366000.0,-111759000.0,69380000.0,
EBIT,-138459000.0,-353712000.0,-116109000.0,67448000.0,
Net Interest Income,-44671000.0,-45232000.0,-33712000.0,-29124000.0,
Interest Expense,39643000.0,43277000.0,31728000.0,26890000.0,
Interest Income,3277000.0,617000.0,46000.0,21000.0,
Normalized Income,-159818113.895408,-364112265.488464,-171846082.13776,25909300.40929,
Net Income From Continuing And Discontinued Operation,-178003000.0,-379963000.0,-129721000.0,39413000.0,
Total Expenses,94660000.0,104502000.0,100874000.0,86835000.0,
Diluted Average Shares,1776726000.0,1776726000.0,1767087000.0,1603032000.0,
Basic Average Shares,1776726000.0,1776726000.0,1767087000.0,1603032000.0,
Diluted EPS,-0.1002,-0.2139,-0.0734,0.0246,
Basic EPS,-0.1002,-0.2139,-0.0734,0.0246,
Diluted NI Availto Com Stockholders,-178003000.0,-379963000.0,-129721000.0,39413000.0,
Net Income Common Stockholders,-178003000.0,-379963000.0,-129721000.0,39413000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-178003000.0,-379963000.0,-129721000.0,39413000.0,
Net Income Including Noncontrolling Interests,-178003000.0,-379963000.0,-129721000.0,39413000.0,
Net Income Continuous Operations,-178003000.0,-379963000.0,-129721000.0,39413000.0,
Tax Provision,-99000.0,-17026000.0,-18116000.0,1145000.0,
Pretax Income,-178102000.0,-396989000.0,-147837000.0,40558000.0,
Other Non Operating Income Expenses,-151000.0,-171000.0,-177000.0,,
Special Income Charges,-1618000.0,-908000.0,0.0,,-16000.0
Other Special Charges,1618000.0,908000.0,,,16000.0
Net Non Operating Interest Income Expense,-44671000.0,-45232000.0,-33712000.0,-29124000.0,
Total Other Finance Cost,8305000.0,2572000.0,2030000.0,2255000.0,
Interest Expense Non Operating,39643000.0,43277000.0,31728000.0,26890000.0,
Interest Income Non Operating,3277000.0,617000.0,46000.0,21000.0,
Operating Income,72922000.0,103523000.0,101685000.0,98264000.0,
Operating Expense,6952000.0,11083000.0,11478000.0,11283000.0,
Other Operating Expenses,1745000.0,2222000.0,1641000.0,1780000.0,
Selling General And Administration,5207000.0,8861000.0,9837000.0,9503000.0,
General And Administrative Expense,5207000.0,8861000.0,9837000.0,9503000.0,
Gross Profit,79874000.0,114606000.0,113163000.0,109547000.0,
Cost Of Revenue,87708000.0,93419000.0,89396000.0,75552000.0,
Total Revenue,167582000.0,208025000.0,202559000.0,185099000.0,
Operating Revenue,167582000.0,208025000.0,202559000.0,185099000.0,
