Date,Open,High,Low,Close,Adj,Volume
31 Dec 2024,0.0890,0.0900,0.0870,0.0890,0.0890,"1,745,400"
30 Dec 2024,0.0900,0.0900,0.0870,0.0890,0.0890,"2,782,600"
27 Dec 2024,0.0920,0.0930,0.0890,0.0900,0.0900,"4,026,000"
26 Dec 2024,0.0920,0.0940,0.0910,0.0930,0.0930,"3,978,500"
24 Dec 2024,0.0900,0.0930,0.0900,0.0920,0.0920,"3,833,900"
23 Dec 2024,0.0910,0.0920,0.0900,0.0900,0.0900,"6,264,500"
20 Dec 2024,0.0920,0.0920,0.0880,0.0900,0.0900,"4,548,800"
19 Dec 2024,0.0950,0.0950,0.0920,0.0930,0.0930,"4,992,400"
18 Dec 2024,0.0980,0.1000,0.0960,0.0980,0.0980,"2,777,200"
17 Dec 2024,0.0990,0.1020,0.0970,0.0980,0.0980,"6,189,000"
16 Dec 2024,0.0990,0.1000,0.0990,0.0990,0.0990,"1,759,600"
13 Dec 2024,0.1000,0.1010,0.0980,0.0990,0.0990,"3,604,400"
12 Dec 2024,0.1020,0.1030,0.1000,0.1000,0.1000,"2,086,400"
11 Dec 2024,0.1030,0.1040,0.1010,0.1020,0.1020,"4,622,400"
10 Dec 2024,0.1020,0.1050,0.1010,0.1050,0.1050,"2,211,800"
9 Dec 2024,0.1050,0.1070,0.1010,0.1020,0.1020,"3,573,300"
6 Dec 2024,0.1060,0.1070,0.1040,0.1040,0.1040,"3,183,300"
5 Dec 2024,0.1020,0.1070,0.1020,0.1060,0.1060,"6,004,700"
4 Dec 2024,0.1040,0.1040,0.0990,0.1020,0.1020,"2,657,000"
3 Dec 2024,0.1050,0.1060,0.1030,0.1040,0.1040,"2,439,900"
2 Dec 2024,0.1030,0.1090,0.1030,0.1060,0.1060,"5,536,000"
29 Nov 2024,0.1040,0.1040,0.1030,0.1030,0.1030,"2,124,900"
28 Nov 2024,0.1020,0.1050,0.1020,0.1030,0.1030,"5,461,000"
27 Nov 2024,0.0950,0.1040,0.0950,0.1010,0.1010,"8,532,700"
26 Nov 2024,0.0980,0.1040,0.0950,0.0950,0.0950,"2,281,068"
25 Nov 2024,0.1000,0.1030,0.0980,0.1000,0.1000,"2,769,100"
22 Nov 2024,0.1030,0.1060,0.1000,0.1010,0.1010,"3,204,000"
21 Nov 2024,0.0960,0.1060,0.0920,0.1030,0.1030,"14,176,300"
20 Nov 2024,0.0830,0.0960,0.0830,0.0950,0.0950,"8,112,000"
19 Nov 2024,0.0810,0.0840,0.0810,0.0820,0.0820,"2,897,500"
18 Nov 2024,0.0850,0.0850,0.0800,0.0810,0.0810,"4,202,000"
15 Nov 2024,0.0850,0.0880,0.0850,0.0850,0.0850,"2,251,600"
14 Nov 2024,0.0870,0.0890,0.0850,0.0850,0.0850,"6,665,100"
13 Nov 2024,0.0920,0.0920,0.0860,0.0860,0.0860,"3,047,200"
12 Nov 2024,0.0890,0.0940,0.0890,0.0920,0.0920,"2,891,000"
11 Nov 2024,0.0990,0.0990,0.0890,0.0890,0.0890,"7,669,700"
8 Nov 2024,0.1010,0.1060,0.0970,0.0970,0.0970,"5,140,500"
7 Nov 2024,0.1090,0.1090,0.1000,0.1010,0.1010,"8,764,700"
6 Nov 2024,0.1100,0.1110,0.1080,0.1090,0.1090,"4,425,200"
5 Nov 2024,0.1110,0.1120,0.1090,0.1090,0.1090,"3,703,200"
4 Nov 2024,0.1130,0.1130,0.1110,0.1110,0.1110,"1,058,600"
1 Nov 2024,0.1110,0.1130,0.1110,0.1120,0.1120,"1,094,900"
30 Oct 2024,0.1130,0.1150,0.1110,0.1120,0.1120,"4,943,800"
29 Oct 2024,0.1120,0.1140,0.1120,0.1140,0.1140,"1,517,200"
28 Oct 2024,0.1130,0.1140,0.1110,0.1130,0.1130,"1,660,700"
25 Oct 2024,0.1140,0.1170,0.1130,0.1140,0.1140,"4,435,900"
24 Oct 2024,0.1130,0.1150,0.1110,0.1140,0.1140,"5,473,800"
23 Oct 2024,0.1140,0.1160,0.1130,0.1130,0.1130,"3,434,300"
22 Oct 2024,0.1150,0.1170,0.1140,0.1140,0.1140,"1,973,300"
21 Oct 2024,0.1180,0.1180,0.1150,0.1160,0.1160,"2,427,900"
18 Oct 2024,0.1180,0.1190,0.1170,0.1170,0.1170,"2,050,700"
17 Oct 2024,0.1210,0.1220,0.1170,0.1190,0.1190,"7,747,300"
16 Oct 2024,0.1200,0.1220,0.1200,0.1210,0.1210,"4,033,400"
15 Oct 2024,0.1200,0.1230,0.1190,0.1200,0.1200,"5,556,900"
14 Oct 2024,0.1220,0.1220,0.1190,0.1200,0.1200,"1,237,600"
11 Oct 2024,0.1220,0.1220,0.1190,0.1200,0.1200,"6,090,100"
10 Oct 2024,0.1190,0.1220,0.1190,0.1220,0.1220,"11,761,100"
9 Oct 2024,0.1130,0.1200,0.1130,0.1180,0.1180,"13,462,500"
8 Oct 2024,0.1140,0.1140,0.1120,0.1120,0.1120,"3,573,800"
7 Oct 2024,0.1160,0.1170,0.1140,0.1140,0.1140,"4,359,300"
4 Oct 2024,0.1100,0.1160,0.1070,0.1150,0.1150,"9,885,700"
3 Oct 2024,0.1140,0.1140,0.1100,0.1110,0.1110,"5,196,700"
2 Oct 2024,0.1150,0.1160,0.1130,0.1140,0.1140,"5,301,600"
1 Oct 2024,0.1260,0.1260,0.1140,0.1160,0.1160,"18,651,300"
30 Sept 2024,0.1280,0.1280,0.1240,0.1240,0.1240,"7,973,200"
27 Sept 2024,0.1250,0.1260,0.1240,0.1240,0.1240,"4,385,500"
26 Sept 2024,0.1240,0.1290,0.1230,0.1250,0.1250,"10,144,200"
25 Sept 2024,0.1270,0.1300,0.1230,0.1240,0.1240,"9,502,100"
