,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,652371386.0,605002386.0,605002000.0,605002000.0,
Share Issued,652371386.0,605002386.0,605002000.0,605002000.0,
Net Debt,854569000.0,797888000.0,809779000.0,800102000.0,
Total Debt,886109000.0,828471000.0,851888000.0,828007000.0,
Tangible Book Value,1569952000.0,1414557000.0,1410486000.0,1434707000.0,
Invested Capital,2453992000.0,2240944000.0,2260275000.0,2260602000.0,
Working Capital,12187000.0,-22646000.0,-6600000.0,-78556000.0,
Net Tangible Assets,1569952000.0,1414557000.0,1410486000.0,1434707000.0,
Capital Lease Obligations,2069000.0,2084000.0,2099000.0,2112000.0,
Common Stock Equity,1569952000.0,1414557000.0,1410486000.0,1434707000.0,
Total Capitalization,2436195000.0,2187400000.0,2203640000.0,2165883000.0,
Total Equity Gross Minority Interest,1569952000.0,1414557000.0,1410486000.0,1434707000.0,
Stockholders Equity,1569952000.0,1414557000.0,1410486000.0,1434707000.0,
Capital Stock,,585258000.0,,,
Common Stock,,585258000.0,,,
Total Liabilities Net Minority Interest,981195000.0,919577000.0,931663000.0,910429000.0,
Total Non Current Liabilities Net Minority Interest,922555000.0,833035000.0,850493000.0,792825000.0,
Other Non Current Liabilities,16058000.0,16889000.0,17754000.0,19207000.0,
Derivative Product Liabilities,677000.0,3572000.0,0.0,153000.0,
Non Current Deferred Revenue,1279000.0,1506000.0,1732000.0,1860000.0,
Non Current Deferred Taxes Liabilities,36244000.0,36156000.0,35769000.0,38331000.0,
Long Term Debt And Capital Lease Obligation,868297000.0,774912000.0,795238000.0,733274000.0,
Long Term Capital Lease Obligation,2054000.0,2069000.0,2084000.0,2098000.0,
Long Term Debt,866243000.0,772843000.0,793154000.0,731176000.0,
Current Liabilities,58640000.0,86542000.0,81170000.0,117604000.0,
Other Current Liabilities,472000.0,440000.0,823000.0,954000.0,
Current Debt And Capital Lease Obligation,17812000.0,53559000.0,56650000.0,94733000.0,
Current Capital Lease Obligation,15000.0,15000.0,15000.0,14000.0,
Current Debt,17797000.0,53544000.0,56635000.0,94719000.0,
Payables,32104000.0,21237000.0,14005000.0,14849000.0,
Other Payable,1486000.0,912000.0,901000.0,461000.0,
Total Tax Payable,,,,0.0,2000.0
Accounts Payable,30618000.0,20325000.0,13104000.0,14388000.0,
Total Assets,2551147000.0,2334134000.0,2342149000.0,2345136000.0,
Total Non Current Assets,2480320000.0,2270238000.0,2267579000.0,2306088000.0,
Non Current Prepaid Assets,,0.0,27740000.0,0.0,
Financial Assets,15556000.0,39257000.0,33958000.0,15337000.0,
Long Term Equity Investment,0.0,0.0,0.0,0.0,
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0,
Investment Properties,2464764000.0,2230981000.0,2205881000.0,2290751000.0,
Current Assets,70827000.0,63896000.0,74570000.0,39048000.0,
Hedging Assets Current,32724000.0,1341000.0,470000.0,558000.0,
Assets Held For Sale Current,,,,0.0,30872000.0
Prepaid Assets,998000.0,28803000.0,19588000.0,1551000.0,
Other Receivables,1774000.0,69000.0,2706000.0,129000.0,
Accounts Receivable,5860000.0,5184000.0,11796000.0,11017000.0,
Cash Cash Equivalents And Short Term Investments,29471000.0,28499000.0,40010000.0,25793000.0,
Cash And Cash Equivalents,29471000.0,28499000.0,40010000.0,25793000.0,
