,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,46683000.0,77653000.0,30741000.0,78170000.0,
Repayment Of Debt,-275857000.0,-751436000.0,-263550000.0,-402114000.0,
Issuance Of Debt,379205000.0,782769000.0,381340000.0,482124000.0,
Issuance Of Capital Stock,180002000.0,0.0,,,
Capital Expenditure,-49103000.0,-31036000.0,-63891000.0,-11692000.0,
End Cash Position,29471000.0,28499000.0,40010000.0,25793000.0,
Beginning Cash Position,28499000.0,40010000.0,25793000.0,22658000.0,
Effect Of Exchange Rate Changes,-2234000.0,-2724000.0,-2984000.0,-1758000.0,
Changes In Cash,3206000.0,-8787000.0,17201000.0,4893000.0,
Financing Cash Flow,147354000.0,-67919000.0,47753000.0,-9981000.0,
Interest Paid Cff,-10348000.0,-9725000.0,-4424000.0,-3842000.0,
Cash Dividends Paid,-121121000.0,-88391000.0,-64312000.0,-85184000.0,
Net Common Stock Issuance,180002000.0,0.0,,,
Common Stock Issuance,180002000.0,0.0,,,
Net Issuance Payments Of Debt,103348000.0,31333000.0,117790000.0,80010000.0,
Net Long Term Debt Issuance,103348000.0,31333000.0,117790000.0,80010000.0,
Long Term Debt Payments,-275857000.0,-751436000.0,-263550000.0,-402114000.0,
Long Term Debt Issuance,379205000.0,782769000.0,381340000.0,482124000.0,
Investing Cash Flow,-239934000.0,-49557000.0,-125184000.0,-74988000.0,
Interest Received Cfi,1042000.0,37000.0,0.0,,7000.0
Net Investment Properties Purchase And Sale,-191873000.0,-18558000.0,-61293000.0,-63296000.0,
Sale Of Investment Properties,,,0.0,35911000.0,
Purchase Of Investment Properties,-191873000.0,-18558000.0,-61293000.0,-99207000.0,
Capital Expenditure Reported,-49103000.0,-31036000.0,-63891000.0,-11692000.0,
Operating Cash Flow,95786000.0,108689000.0,94632000.0,89862000.0,
Taxes Refund Paid,-4164000.0,-4209000.0,-4137000.0,-5525000.0,
Change In Working Capital,-1892000.0,11054000.0,2746000.0,-1513000.0,
Change In Payable,652000.0,11211000.0,4151000.0,-7615000.0,
Change In Prepaid Assets,524000.0,515000.0,1709000.0,1033000.0,
Change In Receivables,-3068000.0,-672000.0,-3114000.0,5069000.0,
Other Non Cash Items,-13225000.0,-16500000.0,-6415000.0,3600000.0,
Provisionand Write Offof Assets,472000.0,0.0,0.0,1028000.0,
Gain Loss On Investment Securities,12859000.0,10076000.0,54221000.0,-248480000.0,
Net Income From Continuing Operations,101736000.0,108268000.0,48217000.0,340752000.0,
