,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,340751.651333,84539.466878,757781.695253,241517.220735,
Tax Rate For Calcs,0.065808,0.072071,0.146857,0.026042,
Normalized EBITDA,109795000.0,120026000.0,49161000.0,335648000.0,
Total Unusual Items,5178000.0,1173000.0,5160000.0,9274000.0,
Total Unusual Items Excluding Goodwill,5178000.0,1173000.0,5160000.0,9274000.0,
Net Income From Continuing Operation Net Minority Interest,95041000.0,100465000.0,41136000.0,331878000.0,
Reconciled Cost Of Revenue,23182000.0,22874000.0,21886000.0,22323000.0,
EBITDA,114973000.0,121199000.0,54321000.0,344922000.0,
EBIT,114973000.0,121199000.0,54321000.0,344922000.0,
Net Interest Income,-11081000.0,-10766000.0,-5753000.0,-4683000.0,
Interest Expense,13237000.0,12931000.0,6104000.0,4170000.0,
Interest Income,3670000.0,3281000.0,1288000.0,322000.0,
Normalized Income,90203751.651333,99376539.466878,36733781.695253,322845517.220735,
Net Income From Continuing And Discontinued Operation,95041000.0,100465000.0,41136000.0,331878000.0,
Total Expenses,26751000.0,25882000.0,25180000.0,25696000.0,
Diluted Average Shares,612897000.0,605002000.0,605002000.0,605002000.0,
Basic Average Shares,612897000.0,605002000.0,605002000.0,605002000.0,
Diluted EPS,0.1551,0.1661,0.068,0.5486,
Basic EPS,0.1551,0.1661,0.068,0.5486,
Diluted NI Availto Com Stockholders,95041000.0,100465000.0,41136000.0,331878000.0,
Net Income Common Stockholders,95041000.0,100465000.0,41136000.0,331878000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,95041000.0,100465000.0,41136000.0,331878000.0,
Net Income Including Noncontrolling Interests,95041000.0,100465000.0,41136000.0,331878000.0,
Net Income Continuous Operations,95041000.0,100465000.0,41136000.0,331878000.0,
Tax Provision,6695000.0,7803000.0,7081000.0,8874000.0,
Pretax Income,101736000.0,108268000.0,48217000.0,340752000.0,
Other Non Operating Income Expenses,420000.0,507000.0,568000.0,485000.0,
Special Income Charges,,,0.0,5113000.0,0.0
Other Special Charges,,,,-5113000.0,1218000.0
Net Non Operating Interest Income Expense,-11081000.0,-10766000.0,-5753000.0,-4683000.0,
Total Other Finance Cost,1514000.0,1116000.0,937000.0,835000.0,
Interest Expense Non Operating,13237000.0,12931000.0,6104000.0,4170000.0,
Interest Income Non Operating,3670000.0,3281000.0,1288000.0,322000.0,
Operating Income,118097000.0,121078000.0,104224000.0,94524000.0,
Operating Expense,3569000.0,3008000.0,3294000.0,3373000.0,
Other Operating Expenses,1635000.0,1308000.0,989000.0,936000.0,
Selling General And Administration,1934000.0,1700000.0,2305000.0,2437000.0,
General And Administrative Expense,1934000.0,1700000.0,2305000.0,2437000.0,
Gross Profit,121666000.0,124086000.0,107518000.0,97897000.0,
Cost Of Revenue,23182000.0,22874000.0,21886000.0,22323000.0,
Total Revenue,144848000.0,146960000.0,129404000.0,120220000.0,
Operating Revenue,144848000.0,146960000.0,129404000.0,120220000.0,
