Date,Open,High,Low,Close,Adj,Volume
31 Dec 2024,3.7700,3.7800,3.7100,3.7500,3.6580,"581,100"
30 Dec 2024,3.7300,3.7800,3.7300,3.7700,3.6775,"729,600"
27 Dec 2024,3.7300,3.7300,3.6900,3.7100,3.6190,"177,200"
26 Dec 2024,3.7300,3.7500,3.7100,3.7300,3.6385,"246,400"
24 Dec 2024,3.7100,3.7300,3.7000,3.7300,3.6385,"120,200"
23 Dec 2024,3.6300,3.7400,3.6300,3.7100,3.6190,"698,000"
20 Dec 2024,3.6300,3.6400,3.6100,3.6300,3.5409,"1,566,500"
19 Dec 2024,3.6700,3.6700,3.6100,3.6500,3.5604,"1,358,300"
18 Dec 2024,3.7000,3.7200,3.6700,3.6800,3.5897,"538,500"
17 Dec 2024,3.6200,3.7100,3.6200,3.6800,3.5897,"876,900"
16 Dec 2024,3.6400,3.6400,3.6000,3.6200,3.5312,"902,800"
13 Dec 2024,3.6500,3.6500,3.6200,3.6400,3.5507,"527,400"
12 Dec 2024,3.6800,3.7100,3.6400,3.6600,3.5702,"679,000"
11 Dec 2024,3.6500,3.7100,3.6500,3.6800,3.5897,"348,600"
10 Dec 2024,3.7500,3.7500,3.6800,3.7000,3.6092,"718,900"
9 Dec 2024,3.8000,3.8000,3.7500,3.7500,3.6580,"294,900"
6 Dec 2024,3.8000,3.8000,3.7800,3.7900,3.6970,"521,300"
5 Dec 2024,3.7800,3.8000,3.7700,3.7900,3.6970,"519,500"
4 Dec 2024,3.7800,3.8000,3.7700,3.7800,3.6872,"248,000"
3 Dec 2024,3.8200,3.8700,3.7600,3.7700,3.6775,"722,800"
2 Dec 2024,3.8100,3.8200,3.7700,3.7900,3.6970,"706,400"
29 Nov 2024,3.8000,3.8200,3.7800,3.8000,3.7067,"1,125,600"
28 Nov 2024,3.7800,3.8300,3.7600,3.7900,3.6970,"647,400"
27 Nov 2024,3.7300,3.8100,3.7300,3.7900,3.6970,"1,606,200"
26 Nov 2024,3.7000,3.7500,3.6700,3.7200,3.6287,"1,199,900"
25 Nov 2024,3.6700,3.7100,3.6600,3.7000,3.6092,"717,500"
22 Nov 2024,3.6700,3.6900,3.6400,3.6600,3.5702,"840,400"
21 Nov 2024,3.6700,3.6800,3.6400,3.6500,3.5604,"1,004,400"
20 Nov 2024,3.6500,3.6800,3.6500,3.6700,3.5799,"1,178,000"
19 Nov 2024,3.6100,3.6500,3.6000,3.6200,3.5312,"1,023,700"
18 Nov 2024,3.5900,3.6200,3.5800,3.5900,3.5019,"665,600"
15 Nov 2024,3.6100,3.6200,3.5800,3.5800,3.4921,"545,400"
14 Nov 2024,3.6200,3.6300,3.5900,3.6100,3.5214,"906,800"
13 Nov 2024,3.6500,3.6500,3.6100,3.6200,3.5312,"420,000"
12 Nov 2024,3.5900,3.6600,3.5900,3.6500,3.5604,"908,400"
11 Nov 2024,3.6200,3.6200,3.5800,3.5900,3.5019,"911,900"
8 Nov 2024,3.5100,3.6300,3.5100,3.5900,3.5019,"2,783,500"
7 Nov 2024,3.5900,3.6100,3.4200,3.5100,3.4239,"5,412,900"
6 Nov 2024,3.7100,3.7300,3.5600,3.5900,3.5019,"5,137,200"
5 Nov 2024,3.7300,3.7500,3.7000,3.7200,3.6287,"1,893,800"
4 Nov 2024,3.7500,3.7600,3.7100,3.7100,3.6190,"2,206,000"
1 Nov 2024,3.7500,3.7800,3.7300,3.7500,3.6580,"2,972,600"
30 Oct 2024,3.7900,3.8100,3.7700,3.7800,3.6872,"1,261,600"
29 Oct 2024,0.05 Dividend,,,,,
29 Oct 2024,3.8000,3.8000,3.7700,3.7800,3.6872,"1,026,300"
28 Oct 2024,3.8000,3.8200,3.7900,3.8200,3.6775,"2,068,600"
25 Oct 2024,3.8400,3.8400,3.8000,3.8000,3.6582,"2,290,600"
24 Oct 2024,3.8600,3.8700,3.8300,3.8300,3.6871,"2,419,700"
23 Oct 2024,3.8300,3.8700,3.8300,3.8500,3.7064,"4,266,300"
22 Oct 2024,3.9900,3.9900,3.9900,3.9900,3.8411,-
21 Oct 2024,3.9900,4.0200,3.9600,3.9900,3.8411,"528,900"
18 Oct 2024,3.9700,4.0100,3.9700,3.9900,3.8411,"332,200"
17 Oct 2024,4.0200,4.0200,3.9200,3.9900,3.8411,"671,800"
16 Oct 2024,4.0100,4.0200,3.9900,4.0200,3.8700,"459,600"
15 Oct 2024,4.0200,4.0400,3.9900,4.0200,3.8700,"551,500"
14 Oct 2024,4.0600,4.0700,4.0000,4.0100,3.8604,"340,500"
11 Oct 2024,4.0100,4.0600,4.0100,4.0500,3.8989,"397,400"
10 Oct 2024,4.0200,4.0400,3.9800,4.0200,3.8700,"643,800"
9 Oct 2024,4.0000,4.0700,4.0000,4.0400,3.8893,"606,100"
8 Oct 2024,4.0900,4.0900,4.0000,4.0000,3.8508,"744,000"
7 Oct 2024,4.0800,4.1100,4.0500,4.1000,3.9470,"336,900"
4 Oct 2024,4.1100,4.1100,4.0600,4.0800,3.9278,"406,900"
3 Oct 2024,4.1700,4.1700,4.1000,4.1200,3.9663,"1,344,300"
2 Oct 2024,4.1100,4.1800,4.0900,4.1700,4.0144,"866,400"
1 Oct 2024,4.1800,4.2100,4.0800,4.0900,3.9374,"1,279,400"
30 Sept 2024,4.2000,4.2200,4.1600,4.2000,4.0433,"743,800"
27 Sept 2024,4.1600,4.2000,4.1400,4.2000,4.0433,"442,500"
26 Sept 2024,4.1000,4.3300,4.1000,4.1600,4.0048,"1,673,800"
25 Sept 2024,4.0700,4.1200,4.0500,4.0800,3.9278,"456,400"
24 Sept 2024,4.0500,4.0900,4.0200,4.0600,3.9085,"675,300"
23 Sept 2024,4.0400,4.0900,4.0300,4.0300,3.8796,"605,700"
20 Sept 2024,4.1500,4.1700,4.0600,4.0900,3.9374,"1,654,600"
19 Sept 2024,4.1000,4.1500,4.0600,4.1500,3.9952,"452,500"
18 Sept 2024,4.1000,4.1000,4.0300,4.0600,3.9085,"870,500"
17 Sept 2024,4.1200,4.1700,4.1000,4.1000,3.9470,"1,427,400"
16 Sept 2024,4.0300,4.1300,4.0300,4.1100,3.9567,"1,109,100"
13 Sept 2024,3.9700,4.0300,3.9700,4.0100,3.8604,"909,500"
12 Sept 2024,3.9400,3.9600,3.9100,3.9500,3.8026,"504,300"
11 Sept 2024,3.8600,3.9500,3.8600,3.9200,3.7737,"498,600"
10 Sept 2024,3.9400,3.9400,3.8500,3.8600,3.7160,"1,173,300"
9 Sept 2024,3.8700,3.9500,3.8700,3.9100,3.7641,"914,500"
6 Sept 2024,3.8500,3.9200,3.8500,3.8600,3.7160,"961,700"
5 Sept 2024,3.8100,3.8700,3.7900,3.8600,3.7160,"536,000"
4 Sept 2024,3.8300,3.8300,3.7900,3.8100,3.6679,"542,400"
3 Sept 2024,3.8100,3.8700,3.7900,3.8300,3.6871,"797,100"
2 Sept 2024,3.7600,3.8300,3.7600,3.8000,3.6582,"723,300"
30 Aug 2024,3.6800,3.7500,3.6800,3.7500,3.6101,"896,400"
29 Aug 2024,3.7200,3.7200,3.6800,3.6800,3.5427,"317,000"
28 Aug 2024,3.7300,3.7400,3.7000,3.7200,3.5812,"315,000"
27 Aug 2024,3.7000,3.7500,3.7000,3.7300,3.5908,"519,100"
26 Aug 2024,3.7200,3.7400,3.6900,3.6900,3.5523,"641,600"
23 Aug 2024,3.7200,3.7400,3.7000,3.7100,3.5716,"621,000"
22 Aug 2024,3.6600,3.7400,3.6200,3.7400,3.6005,"453,100"
21 Aug 2024,3.6700,3.6800,3.6200,3.6600,3.5234,"620,100"
20 Aug 2024,3.7000,3.7000,3.6600,3.6700,3.5331,"273,000"
19 Aug 2024,3.6300,3.6800,3.6200,3.6400,3.5042,"678,500"
16 Aug 2024,3.6200,3.6400,3.5900,3.5900,3.4561,"549,500"
15 Aug 2024,3.5800,3.6300,3.5800,3.5900,3.4561,"697,100"
14 Aug 2024,3.6000,3.6100,3.5300,3.5800,3.4464,"484,100"
13 Aug 2024,3.5500,3.6100,3.5500,3.5700,3.4368,"432,600"
12 Aug 2024,3.5400,3.5600,3.5200,3.5500,3.4176,"466,400"
8 Aug 2024,3.5700,3.5700,3.5100,3.5200,3.3887,"784,200"
7 Aug 2024,3.5500,3.6200,3.5500,3.5900,3.4561,"521,700"
