,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,7298469763.0,6675002810.0,6652343062.0,6625770359.0,
Share Issued,7298469763.0,6675002810.0,6652343062.0,6625770359.0,
Net Debt,8788789000.0,9337030000.0,9336865000.0,7812144000.0,
Total Debt,8972278000.0,9503258000.0,9611262000.0,8185501000.0,
Tangible Book Value,15524456000.0,14199813000.0,14073447000.0,13667754000.0,
Invested Capital,24469603000.0,23677543000.0,23658708000.0,21845031000.0,
Working Capital,-1267796000.0,-1259213000.0,-1276298000.0,-496768000.0,
Net Tangible Assets,15524456000.0,14199813000.0,14073447000.0,13667754000.0,
Capital Lease Obligations,27131000.0,25528000.0,26001000.0,8224000.0,
Common Stock Equity,15524456000.0,14199813000.0,14073447000.0,13667754000.0,
Total Capitalization,23434408000.0,22676187000.0,22503663000.0,21250390000.0,
Total Equity Gross Minority Interest,15722171000.0,14401720000.0,14279393000.0,13695700000.0,
Minority Interest,197715000.0,201907000.0,205946000.0,27946000.0,
Stockholders Equity,15524456000.0,14199813000.0,14073447000.0,13667754000.0,
Total Liabilities Net Minority Interest,9790831000.0,10337406000.0,10387230000.0,9046150000.0,
Total Non Current Liabilities Net Minority Interest,8279972000.0,8883655000.0,8782073000.0,7787341000.0,
Other Non Current Liabilities,204201000.0,207851000.0,198208000.0,153578000.0,
Derivative Product Liabilities,105343000.0,137095000.0,87541000.0,32428000.0,
Tradeand Other Payables Non Current,34589000.0,34603000.0,34590000.0,1072000.0,
Non Current Deferred Revenue,,41000.0,306000.0,649000.0,1028000.0
Non Current Deferred Taxes Liabilities,1318000.0,3634000.0,7143000.0,11664000.0,
Long Term Debt And Capital Lease Obligation,7934488000.0,8500431000.0,8454285000.0,7588599000.0,
Long Term Capital Lease Obligation,24536000.0,24057000.0,24069000.0,5963000.0,
Long Term Debt,7909952000.0,8476374000.0,8430216000.0,7582636000.0,
Current Liabilities,1510859000.0,1453751000.0,1605157000.0,1258809000.0,
Other Current Liabilities,89961000.0,91015000.0,86594000.0,94318000.0,
Current Deferred Taxes Liabilities,6030000.0,17189000.0,12506000.0,10108000.0,
Current Debt And Capital Lease Obligation,1037790000.0,1002827000.0,1156977000.0,596902000.0,
Current Capital Lease Obligation,2595000.0,1471000.0,1932000.0,2261000.0,
Current Debt,1035195000.0,1001356000.0,1155045000.0,594641000.0,
Payables,374964000.0,342720000.0,323881000.0,557481000.0,
Other Payable,75952000.0,80642000.0,75611000.0,41935000.0,
Dividends Payable,,4130000.0,2471000.0,314332000.0,
Accounts Payable,296400000.0,257948000.0,245799000.0,557481000.0,
Total Assets,25513002000.0,24739126000.0,24666623000.0,22741850000.0,
Total Non Current Assets,25269939000.0,24544588000.0,24337764000.0,21979809000.0,
Other Non Current Assets,42000.0,1044000.0,947000.0,1608000.0,
Non Current Deferred Taxes Assets,3638000.0,1931000.0,4216000.0,6855000.0,
Financial Assets,3567000.0,12616000.0,40286000.0,20639000.0,
Investmentin Financial Assets,123920000.0,150559000.0,180989000.0,193168000.0,
Available For Sale Securities,123920000.0,150559000.0,180989000.0,193168000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,,193168000.0,218686000.0
Long Term Equity Investment,1271190000.0,187931000.0,361198000.0,320347000.0,
Investmentsin Joint Venturesat Cost,1431840000.0,187931000.0,361198000.0,320347000.0,
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0,
Investment Properties,23702305000.0,24024909000.0,23744817000.0,21431071000.0,
Net PPE,4627000.0,4948000.0,5311000.0,6121000.0,
Accumulated Depreciation,-8487000.0,-8087000.0,-7907000.0,-7508000.0,
Gross PPE,,13035000.0,13218000.0,13629000.0,13868000.0
Machinery Furniture Equipment,13114000.0,13035000.0,13218000.0,13629000.0,
Current Assets,243063000.0,194538000.0,328859000.0,762041000.0,
Hedging Assets Current,5776000.0,3353000.0,18626000.0,10240000.0,
Assets Held For Sale Current,,,0.0,278000000.0,0.0
Prepaid Assets,26215000.0,13275000.0,14740000.0,73617000.0,
Other Receivables,,16987000.0,15772000.0,10734000.0,9406000.0
Accounts Receivable,80929000.0,20223000.0,31325000.0,24317000.0,
Allowance For Doubtful Accounts Receivable,-520000.0,-282000.0,-525000.0,-656000.0,
Gross Accounts Receivable,21512000.0,20505000.0,31850000.0,24973000.0,
Cash Cash Equivalents And Short Term Investments,156358000.0,140700000.0,248396000.0,365133000.0,
Cash And Cash Equivalents,156358000.0,140700000.0,248396000.0,365133000.0,
Cash Equivalents,8527000.0,12040000.0,41000.0,105000000.0,
Cash Financial,147831000.0,128660000.0,248355000.0,260133000.0,
