,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,865493000.0,961211000.0,896151000.0,733688000.0,
Repayment Of Debt,-3869626000.0,-2695045000.0,-3684777000.0,-2142141000.0,
Issuance Of Debt,3393113000.0,2602487000.0,4410335000.0,1661935000.0,
Issuance Of Capital Stock,1107592000.0,0.0,0.0,250000000.0,
Capital Expenditure,-178705000.0,-118598000.0,-127388000.0,-93844000.0,
End Cash Position,156358000.0,140700000.0,248396000.0,365133000.0,
Beginning Cash Position,140700000.0,248396000.0,365133000.0,183617000.0,
Changes In Cash,15658000.0,-107696000.0,-116737000.0,181516000.0,
Financing Cash Flow,-507975000.0,-1148622000.0,-214252000.0,-902419000.0,
Net Other Financing Charges,4361000.0,-588000.0,34200000.0,,
Interest Paid Cff,-341294000.0,-329590000.0,-237409000.0,-207871000.0,
Cash Dividends Paid,-758529000.0,-708177000.0,-684847000.0,-448046000.0,
Common Stock Dividend Paid,,,,,-371187000.0
Net Common Stock Issuance,1107592000.0,0.0,0.0,250000000.0,
Common Stock Issuance,1107592000.0,0.0,0.0,250000000.0,
Net Issuance Payments Of Debt,-476513000.0,-92558000.0,725558000.0,-480206000.0,
Net Long Term Debt Issuance,-480874000.0,-92558000.0,691358000.0,-480206000.0,
Long Term Debt Payments,-3869626000.0,-2695045000.0,-3684777000.0,-2142141000.0,
Long Term Debt Issuance,3393113000.0,2602487000.0,4376135000.0,1661935000.0,
Investing Cash Flow,-520565000.0,-38883000.0,-926024000.0,256403000.0,
Net Other Investing Changes,,34445000.0,,292746000.0,
Interest Received Cfi,12696000.0,27615000.0,5188000.0,1088000.0,
Dividends Received Cfi,47825000.0,14651000.0,17379000.0,56412000.0,
Net Investment Properties Purchase And Sale,,0.0,331128000.0,0.0,
Sale Of Investment Properties,,0.0,331128000.0,0.0,
Net Business Purchase And Sale,-402383000.0,3000000.0,-1152332000.0,0.0,
Sale Of Business,4332000.0,3000000.0,1553000.0,,
Purchase Of Business,-1079322000.0,0.0,-1153885000.0,0.0,
Net PPE Purchase And Sale,-409000.0,-462000.0,-483000.0,-282000.0,
Sale Of PPE,2000.0,4000.0,1000.0,1000.0,
Purchase Of PPE,-411000.0,-466000.0,-484000.0,-283000.0,
Capital Expenditure Reported,-178294000.0,-118132000.0,-126904000.0,-93561000.0,
Operating Cash Flow,1044198000.0,1079809000.0,1023539000.0,827532000.0,
Taxes Refund Paid,-8630000.0,-6983000.0,-9290000.0,-5464000.0,
Change In Working Capital,-27434000.0,24525000.0,53670000.0,-50617000.0,
Change In Other Current Liabilities,,,,,-49887000.0
Change In Payable,42086000.0,22546000.0,43528000.0,-34513000.0,
Change In Prepaid Assets,3816000.0,14064000.0,29317000.0,7528000.0,
Change In Receivables,-73336000.0,-12085000.0,-19175000.0,-23632000.0,
Other Non Cash Items,373008000.0,354531000.0,264638000.0,201445000.0,
Stock Based Compensation,,,43980000.0,41087000.0,
Provisionand Write Offof Assets,,,,-1948000.0,1973000.0
Deferred Tax,-6458000.0,10111000.0,4105000.0,19224000.0,
Depreciation And Amortization,719000.0,712000.0,4169000.0,4863000.0,
Depreciation,719000.0,712000.0,4169000.0,4863000.0,
Gain Loss On Investment Securities,-195273000.0,-156832000.0,22185000.0,-283210000.0,
Gain Loss On Sale Of PPE,,0.0,-1000.0,-1000.0,-2000.0
Gain Loss On Sale Of Business,,,,,0.0
Net Income From Continuing Operations,941777000.0,869218000.0,725889000.0,1083065000.0,
