,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,3953180.0,350831.965055,11184.811108,0.0,
Tax Rate For Calcs,0.17,0.011499,0.005623,0.01744,
Normalized EBITDA,1268637000.0,1195162000.0,966089000.0,1289195000.0,
Total Unusual Items,23254000.0,30511000.0,1989000.0,0.0,
Total Unusual Items Excluding Goodwill,23254000.0,30511000.0,1989000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,933683000.0,862570000.0,723369000.0,1083086000.0,
Reconciled Depreciation,719000.0,712000.0,4169000.0,4863000.0,
Reconciled Cost Of Revenue,432851000.0,444027000.0,398464000.0,353969000.0,
EBITDA,1291891000.0,1225673000.0,968078000.0,1289195000.0,
EBIT,1291172000.0,1224961000.0,963909000.0,1284332000.0,
Net Interest Income,-355946000.0,-341301000.0,-238843000.0,-183393000.0,
Interest Expense,355853000.0,345632000.0,233915000.0,182043000.0,
Interest Income,12702000.0,11285000.0,5181000.0,4330000.0,
Normalized Income,914382180.0,832409831.965055,721391184.811108,1083086000.0,
Net Income From Continuing And Discontinued Operation,933683000.0,862570000.0,723369000.0,1083086000.0,
Total Expenses,536761000.0,507917000.0,493679000.0,441609000.0,
Diluted Average Shares,6880161000.0,6663410000.0,6656809369.0,6511310719.0,
Basic Average Shares,,6649430000.0,6643316440.0,6498594802.0,4194620543.0
Diluted EPS,0.1357,0.1294,0.108618,0.166368,
Basic EPS,0.136,0.1297,0.108917,0.166667,
Diluted NI Availto Com Stockholders,933683000.0,862570000.0,723369000.0,1083086000.0,
Net Income Common Stockholders,933683000.0,862570000.0,723369000.0,1083086000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,933683000.0,862570000.0,723369000.0,1083086000.0,
Minority Interests,-8094000.0,-6648000.0,-2520000.0,21000.0,
Net Income Including Noncontrolling Interests,941777000.0,869218000.0,725889000.0,1083065000.0,
Net Income Continuous Operations,941777000.0,869218000.0,725889000.0,1083065000.0,
Tax Provision,-6458000.0,10111000.0,4105000.0,19224000.0,
Pretax Income,935319000.0,879329000.0,729994000.0,1102289000.0,
Other Non Operating Income Expenses,-10586000.0,-3798000.0,-1100000.0,-1172000.0,
Special Income Charges,,,,0.0,419169000.0
Restructuring And Mergern Acquisition,,,,0.0,-419169000.0
Net Non Operating Interest Income Expense,-355946000.0,-341301000.0,-238843000.0,-183393000.0,
Total Other Finance Cost,12795000.0,6954000.0,10109000.0,5680000.0,
Interest Expense Non Operating,355853000.0,345632000.0,233915000.0,182043000.0,
Interest Income Non Operating,12702000.0,11285000.0,5181000.0,4330000.0,
Operating Income,1049568000.0,1052017000.0,948068000.0,863442000.0,
Operating Expense,103910000.0,63890000.0,95215000.0,87640000.0,
Other Operating Expenses,800000.0,812000.0,585000.0,414000.0,
Selling General And Administration,103173000.0,97545000.0,94785000.0,87226000.0,
General And Administrative Expense,103173000.0,94147000.0,91511000.0,84229000.0,
Gross Profit,1153478000.0,1115907000.0,1043283000.0,951082000.0,
Cost Of Revenue,432851000.0,444027000.0,398464000.0,353969000.0,
Total Revenue,1586329000.0,1559934000.0,1441747000.0,1305051000.0,
Operating Revenue,1586329000.0,1559934000.0,1441747000.0,1305051000.0,
