,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,3796166000.0,3763304000.0,3445625000.0,3276547000.0,
Share Issued,3796166000.0,3763304000.0,3445625000.0,3276547000.0,
Net Debt,2529464000.0,2619476000.0,2514871000.0,2386761000.0,
Total Debt,3417748000.0,3316247000.0,3145519000.0,3008972000.0,
Tangible Book Value,4773154000.0,4752651000.0,4361734000.0,4287158000.0,
Invested Capital,7950356000.0,7804933000.0,7240239000.0,7020251000.0,
Working Capital,276607000.0,-83571000.0,-169673000.0,-508457000.0,
Net Tangible Assets,4773154000.0,4752651000.0,4361734000.0,4287158000.0,
Capital Lease Obligations,240546000.0,263965000.0,267014000.0,275879000.0,
Common Stock Equity,4773154000.0,4752651000.0,4361734000.0,4287158000.0,
Total Capitalization,7646561000.0,7238650000.0,6834614000.0,6251897000.0,
Total Equity Gross Minority Interest,4841320000.0,4830294000.0,4444795000.0,4367719000.0,
Minority Interest,68166000.0,77643000.0,83061000.0,80561000.0,
Stockholders Equity,4773154000.0,4752651000.0,4361734000.0,4287158000.0,
Other Equity Interest,396175000.0,396298000.0,396298000.0,396298000.0,
Fixed Assets Revaluation Reserve,122979000.0,124373000.0,71574000.0,3716000.0,
Capital Stock,4376979000.0,4356353000.0,3075061000.0,2962074000.0,
Common Stock,4376979000.0,4356353000.0,3075061000.0,2962074000.0,
Total Liabilities Net Minority Interest,3978770000.0,3900531000.0,3578898000.0,3365527000.0,
Total Non Current Liabilities Net Minority Interest,3396499000.0,2959518000.0,2907602000.0,2393608000.0,
Derivative Product Liabilities,1144000.0,7666000.0,6939000.0,1100000.0,
Tradeand Other Payables Non Current,70185000.0,309000.0,409000.0,376000.0,
Non Current Deferred Revenue,11654000.0,16542000.0,9123000.0,10370000.0,
Non Current Deferred Taxes Liabilities,210470000.0,195325000.0,160883000.0,149785000.0,
Long Term Debt And Capital Lease Obligation,3103046000.0,2739676000.0,2730248000.0,2231977000.0,
Long Term Capital Lease Obligation,229639000.0,253677000.0,257368000.0,267238000.0,
Long Term Debt,2873407000.0,2485999000.0,2472880000.0,1964739000.0,
Current Liabilities,582271000.0,941013000.0,671296000.0,971919000.0,
Current Debt And Capital Lease Obligation,314702000.0,576571000.0,415271000.0,776995000.0,
Current Capital Lease Obligation,10907000.0,10288000.0,9646000.0,8641000.0,
Current Debt,303795000.0,566283000.0,405625000.0,768354000.0,
Payables,202577000.0,320010000.0,255075000.0,193227000.0,
Other Payable,55352000.0,155819000.0,97079000.0,57246000.0,
Total Tax Payable,14194000.0,15786000.0,14751000.0,30834000.0,
Accounts Payable,133031000.0,148405000.0,143245000.0,105147000.0,
Total Assets,8820090000.0,8730825000.0,8023693000.0,7733246000.0,
Total Non Current Assets,7961212000.0,7873383000.0,7522070000.0,7269784000.0,
Non Current Deferred Taxes Assets,18897000.0,14578000.0,14875000.0,7576000.0,
Financial Assets,91487000.0,84862000.0,69942000.0,19911000.0,
Investmentin Financial Assets,0.0,0.0,0.0,,
Long Term Equity Investment,2977000.0,2985000.0,3035000.0,16813000.0,
Investmentsin Joint Venturesat Cost,,,0.0,13800000.0,0.0
Investmentsin Associatesat Cost,2977000.0,2985000.0,3035000.0,3013000.0,
Investment Properties,6840673000.0,6769017000.0,6489340000.0,6600717000.0,
Net PPE,1007178000.0,1001941000.0,944878000.0,624767000.0,
Accumulated Depreciation,-131945000.0,-119728000.0,-111221000.0,-101765000.0,
Gross PPE,1139123000.0,1121669000.0,1056099000.0,726532000.0,
Construction In Progress,26493000.0,15010000.0,1248000.0,2772000.0,
Other Properties,11155000.0,10472000.0,10232000.0,11068000.0,
Machinery Furniture Equipment,191662000.0,165908000.0,169067000.0,170711000.0,
Buildings And Improvements,,,,,299734000.0
Land And Improvements,,,875552000.0,541981000.0,218929000.0
Properties,909813000.0,930279000.0,875552000.0,0.0,
Current Assets,858878000.0,857442000.0,501623000.0,463462000.0,
Other Current Assets,,,,5000.0,
Hedging Assets Current,34446000.0,7306000.0,24487000.0,10848000.0,
Assets Held For Sale Current,67251000.0,307227000.0,1020000.0,1519000.0,
Prepaid Assets,28328000.0,28296000.0,27237000.0,14891000.0,
Inventory,685000.0,547000.0,295000.0,334000.0,
Other Receivables,26249000.0,24893000.0,22588000.0,17449000.0,
Accounts Receivable,57864000.0,56367000.0,62362000.0,72089000.0,
Allowance For Doubtful Accounts Receivable,-3515000.0,-8023000.0,-7415000.0,-6680000.0,
Gross Accounts Receivable,61379000.0,64390000.0,69777000.0,78769000.0,
Cash Cash Equivalents And Short Term Investments,644055000.0,432806000.0,363634000.0,346332000.0,
Cash And Cash Equivalents,644055000.0,432806000.0,363634000.0,346332000.0,
Cash Equivalents,178205000.0,50644000.0,19056000.0,72442000.0,
Cash Financial,465850000.0,382162000.0,344578000.0,273890000.0,
