,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,212185000.0,138566000.0,233795000.0,38754000.0,
Repayment Of Debt,-1201915000.0,-674541000.0,-1480990000.0,-422698000.0,
Issuance Of Debt,1294712000.0,755417000.0,1646849000.0,754954000.0,
Capital Expenditure,-104966000.0,-162089000.0,-48526000.0,-106872000.0,
End Cash Position,638454000.0,423213000.0,361165000.0,343669000.0,
Other Cash Adjustment Outside Changein Cash,-3094000.0,,,,2673000.0
Beginning Cash Position,423213000.0,361165000.0,343669000.0,483922000.0,
Effect Of Exchange Rate Changes,-14981000.0,-6417000.0,-27172000.0,-5959000.0,
Changes In Cash,233316000.0,68465000.0,44668000.0,-134294000.0,
Financing Cash Flow,-260281000.0,64486000.0,71171000.0,258632000.0,
Net Other Financing Charges,,277999000.0,154406000.0,134697000.0,-12836000.0
Interest Paid Cff,-101287000.0,-80369000.0,-62525000.0,-51929000.0,
Cash Dividends Paid,-212917000.0,-198211000.0,-168670000.0,-142478000.0,
Common Stock Dividend Paid,-212917000.0,-198211000.0,-168670000.0,-142478000.0,
Net Issuance Payments Of Debt,92797000.0,80876000.0,165859000.0,332256000.0,
Net Long Term Debt Issuance,92797000.0,80876000.0,165859000.0,332256000.0,
Long Term Debt Payments,-1201915000.0,-674541000.0,-1480990000.0,-422698000.0,
Long Term Debt Issuance,,755417000.0,1646849000.0,754954000.0,703633000.0
Investing Cash Flow,176446000.0,-296676000.0,-308824000.0,-538552000.0,
Net Other Investing Changes,333756000.0,71750000.0,530000.0,50091000.0,
Interest Received Cfi,6075000.0,4308000.0,1328000.0,2551000.0,
Net Investment Purchase And Sale,6183000.0,26470000.0,16355000.0,0.0,
Sale Of Investment,6183000.0,26470000.0,16355000.0,0.0,
Purchase Of Investment,,,,,-2266000.0
Net Investment Properties Purchase And Sale,-88336000.0,-237138000.0,-271528000.0,-665642000.0,
Sale Of Investment Properties,,998000.0,0.0,,75384000.0
Purchase Of Investment Properties,-242932000.0,-238136000.0,-271528000.0,-665642000.0,
Net Business Purchase And Sale,23700000.0,0.0,-128000.0,195324000.0,
Sale Of Business,23700000.0,0.0,0.0,203995000.0,
Purchase Of Business,,0.0,-128000.0,-8671000.0,-11205000.0
Net PPE Purchase And Sale,-78967000.0,-106464000.0,-12476000.0,-5658000.0,
Sale Of PPE,34000.0,23000.0,11000.0,7000.0,
Purchase Of PPE,-79001000.0,-106487000.0,-12487000.0,-5665000.0,
Capital Expenditure Reported,-25965000.0,-55602000.0,-36039000.0,-101207000.0,
Operating Cash Flow,317151000.0,300655000.0,282321000.0,145626000.0,
Taxes Refund Paid,,-31537000.0,-31546000.0,-4430000.0,-22227000.0
Change In Working Capital,-54111000.0,-40328000.0,7193000.0,-45643000.0,
Change In Payable,-27892000.0,-11346000.0,14025000.0,-13688000.0,
Change In Inventory,-138000.0,-252000.0,39000.0,2000.0,
Change In Receivables,-26081000.0,-28730000.0,-6871000.0,-31957000.0,
Other Non Cash Items,125334000.0,106959000.0,83122000.0,47042000.0,
Depreciation And Amortization,38215000.0,38897000.0,35773000.0,32644000.0,
Depreciation,38215000.0,38897000.0,35773000.0,32644000.0,
Gain Loss On Investment Securities,-44677000.0,-76805000.0,-122950000.0,-126058000.0,
Net Foreign Currency Exchange Gain Loss,45189000.0,15270000.0,53821000.0,14609000.0,
Gain Loss On Sale Of PPE,423000.0,1313000.0,345000.0,29000.0,
Gain Loss On Sale Of Business,-62687000.0,-16016000.0,-99000.0,-153226000.0,
Net Income From Continuing Operations,289208000.0,302225000.0,259783000.0,374932000.0,
