,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,15120991.736052,8463884.986351,2758082.414939,27687460.939584,
Tax Rate For Calcs,0.155328,0.239702,0.129196,0.172071,
Normalized EBITDA,368936000.0,431569000.0,358604000.0,305420000.0,
Total Unusual Items,97349000.0,35310000.0,21348000.0,160907000.0,
Total Unusual Items Excluding Goodwill,97349000.0,35310000.0,21348000.0,160907000.0,
Net Income From Continuing Operation Net Minority Interest,241175000.0,231255000.0,223305000.0,309317000.0,
Reconciled Depreciation,38215000.0,38897000.0,35773000.0,32644000.0,
Reconciled Cost Of Revenue,438571000.0,406309000.0,338424000.0,221122000.0,
EBITDA,466285000.0,466879000.0,379952000.0,466327000.0,
EBIT,428070000.0,427982000.0,344179000.0,433683000.0,
Net Interest Income,-139165000.0,-126247000.0,-88274000.0,-60592000.0,
Interest Expense,138862000.0,125757000.0,84396000.0,58751000.0,
Interest Income,6075000.0,4309000.0,1328000.0,2551000.0,
Normalized Income,158946991.736052,204408884.986351,204715082.414939,176097460.939584,
Net Income From Continuing And Discontinued Operation,241175000.0,231255000.0,223305000.0,309317000.0,
Total Expenses,516681000.0,481735000.0,403084000.0,280181000.0,
Diluted Average Shares,3809522000.0,3589000000.0,3358064000.0,3174022000.0,
Basic Average Shares,3783794000.0,3567629000.0,3340562000.0,3160174000.0,
Diluted EPS,0.0595,0.0607,0.0625,0.0932,
Basic EPS,0.0599,0.061,0.0628,0.0936,
Diluted NI Availto Com Stockholders,226762000.0,217760000.0,209810000.0,295822000.0,
Net Income Common Stockholders,226762000.0,217760000.0,209810000.0,295822000.0,
Otherunder Preferred Stock Dividend,14413000.0,13495000.0,13495000.0,13495000.0,
Preferred Stock Dividends,,0.0,0.0,0.0,0.0
Net Income,241175000.0,231255000.0,223305000.0,309317000.0,
Minority Interests,-3111000.0,1474000.0,-2915000.0,-1100000.0,
Net Income Including Noncontrolling Interests,244286000.0,229781000.0,226220000.0,310417000.0,
Net Income Continuous Operations,244286000.0,229781000.0,226220000.0,310417000.0,
Tax Provision,44922000.0,72444000.0,33563000.0,64515000.0,
Pretax Income,289208000.0,302225000.0,259783000.0,374932000.0,
Other Non Operating Income Expenses,7650000.0,3031000.0,6701000.0,37877000.0,
Special Income Charges,62650000.0,15786000.0,21000.0,153222000.0,
Other Special Charges,-62687000.0,-16016000.0,-99000.0,-153226000.0,
Impairment Of Capital Assets,37000.0,230000.0,78000.0,4000.0,
Restructuring And Mergern Acquisition,,,,0.0,-1054000.0
Net Non Operating Interest Income Expense,-139165000.0,-126247000.0,-88274000.0,-60592000.0,
Total Other Finance Cost,6378000.0,4799000.0,5206000.0,4392000.0,
Interest Expense Non Operating,138862000.0,125757000.0,84396000.0,58751000.0,
Interest Income Non Operating,6075000.0,4309000.0,1328000.0,2551000.0,
Operating Income,292839000.0,262823000.0,218158000.0,114231000.0,
Operating Expense,78110000.0,75426000.0,64660000.0,59059000.0,
Other Operating Expenses,9782000.0,5589000.0,3843000.0,7359000.0,
Depreciation And Amortization In Income Statement,22670000.0,24620000.0,20496000.0,19015000.0,
Depreciation Income Statement,22670000.0,24620000.0,20496000.0,19015000.0,
Selling General And Administration,45658000.0,45217000.0,40321000.0,32685000.0,
General And Administrative Expense,45658000.0,45217000.0,40321000.0,32685000.0,
Gross Profit,370949000.0,338249000.0,282818000.0,173290000.0,
Cost Of Revenue,438571000.0,406309000.0,338424000.0,221122000.0,
Total Revenue,809520000.0,744558000.0,621242000.0,394412000.0,
Operating Revenue,809520000.0,744558000.0,621242000.0,394412000.0,
