,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Ordinary Shares Number,1817626434.0,1714073153.0,1707649885.0,1704851720.0
Share Issued,1817626434.0,1714073153.0,1707649885.0,1704851720.0
Net Debt,2001359000.0,2163202000.0,1771961000.0,1766682000.0
Total Debt,2028170000.0,2195408000.0,1810126000.0,1808916000.0
Tangible Book Value,4160666000.0,3973235000.0,3964077000.0,3918808000.0
Invested Capital,6188836000.0,6168643000.0,5774203000.0,5727724000.0
Working Capital,-392247000.0,-95073000.0,-457008000.0,-270969000.0
Net Tangible Assets,4160666000.0,3973235000.0,3964077000.0,3918808000.0
Common Stock Equity,4160666000.0,3973235000.0,3964077000.0,3918808000.0
Total Capitalization,5869084000.0,5815160000.0,5383535000.0,5522897000.0
Total Equity Gross Minority Interest,4160666000.0,3973235000.0,3964077000.0,3918808000.0
Stockholders Equity,4160666000.0,3973235000.0,3964077000.0,3918808000.0
Capital Stock,4160666000.0,3973235000.0,3964077000.0,3918808000.0
Common Stock,4160666000.0,3973235000.0,3964077000.0,3918808000.0
Total Liabilities Net Minority Interest,2218205000.0,2401947000.0,1977291000.0,1979989000.0
Total Non Current Liabilities Net Minority Interest,1789464000.0,1897943000.0,1469930000.0,1657791000.0
Other Non Current Liabilities,54783000.0,46801000.0,50472000.0,45207000.0
Derivative Product Liabilities,26263000.0,9217000.0,0.0,1855000.0
Non Current Deferred Taxes Liabilities,,,0.0,6640000.0
Long Term Debt And Capital Lease Obligation,1708418000.0,1841925000.0,1419458000.0,1604089000.0
Long Term Debt,1708418000.0,1841925000.0,1419458000.0,1604089000.0
Current Liabilities,428741000.0,504004000.0,507361000.0,322198000.0
Other Current Liabilities,39264000.0,48680000.0,45647000.0,43160000.0
Current Deferred Taxes Liabilities,404000.0,402000.0,463000.0,1266000.0
Current Debt And Capital Lease Obligation,319752000.0,353483000.0,390668000.0,204827000.0
Current Debt,319752000.0,353483000.0,390668000.0,204827000.0
Payables,57184000.0,86304000.0,69176000.0,70925000.0
Other Payable,21183000.0,45681000.0,28327000.0,29595000.0
Total Tax Payable,4417000.0,3927000.0,4997000.0,4263000.0
Accounts Payable,31584000.0,36696000.0,35852000.0,37067000.0
Total Assets,6378871000.0,6375182000.0,5941368000.0,5898797000.0
Total Non Current Assets,6342377000.0,5966251000.0,5891015000.0,5847568000.0
Financial Assets,2301000.0,14937000.0,21740000.0,0.0
Long Term Equity Investment,1057036000.0,730766000.0,353149000.0,340893000.0
Investmentsin Joint Venturesat Cost,1057036000.0,730766000.0,312341000.0,294399000.0
Investmentsin Associatesat Cost,,0.0,40808000.0,46494000.0
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0
Investment Properties,5283000000.0,5220500000.0,5516000000.0,5506500000.0
Net PPE,40000.0,48000.0,126000.0,175000.0
Accumulated Depreciation,-161000.0,-167000.0,-186000.0,-141000.0
Gross PPE,201000.0,215000.0,312000.0,316000.0
Machinery Furniture Equipment,201000.0,215000.0,312000.0,316000.0
Current Assets,36494000.0,408931000.0,50353000.0,51229000.0
Hedging Assets Current,0.0,3533000.0,3331000.0,0.0
Assets Held For Sale Current,0.0,364436000.0,0.0,0.0
Prepaid Assets,1661000.0,684000.0,870000.0,908000.0
Other Receivables,2595000.0,2741000.0,1909000.0,1240000.0
Accounts Receivable,5427000.0,5331000.0,6078000.0,6847000.0
Allowance For Doubtful Accounts Receivable,-1182000.0,-143000.0,-154000.0,-942000.0
Gross Accounts Receivable,6609000.0,5474000.0,6232000.0,7789000.0
Cash Cash Equivalents And Short Term Investments,26811000.0,32206000.0,38165000.0,42234000.0
Cash And Cash Equivalents,26811000.0,32206000.0,38165000.0,42234000.0
Cash Equivalents,0.0,3000000.0,0.0,
Cash Financial,26811000.0,29206000.0,38165000.0,42234000.0
