,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Free Cash Flow,174016000.0,234798000.0,227683000.0,192619000.0
Repayment Of Debt,-1043000000.0,-749933000.0,-387000000.0,-1487240000.0
Issuance Of Debt,874697000.0,1146998000.0,387000000.0,636620000.0
Issuance Of Capital Stock,200002000.0,0.0,0.0,1334657000.0
Capital Expenditure,-41651000.0,-8332000.0,-5901000.0,-5826000.0
End Cash Position,26811000.0,32206000.0,38165000.0,42234000.0
Beginning Cash Position,32206000.0,38165000.0,42234000.0,28583000.0
Changes In Cash,-5395000.0,-5959000.0,-4069000.0,13651000.0
Financing Cash Flow,-266255000.0,107842000.0,-253681000.0,285754000.0
Net Other Financing Charges,,174000.0,,
Interest Paid Cff,-82766000.0,-76474000.0,-43712000.0,-41960000.0
Cash Dividends Paid,-207971000.0,-208456000.0,-207979000.0,-150043000.0
Net Common Stock Issuance,200002000.0,0.0,0.0,1334657000.0
Common Stock Issuance,200002000.0,0.0,0.0,1334657000.0
Net Issuance Payments Of Debt,-168303000.0,397065000.0,0.0,-850620000.0
Net Long Term Debt Issuance,-168303000.0,397065000.0,0.0,-850620000.0
Long Term Debt Payments,-1043000000.0,-749933000.0,-387000000.0,-1487240000.0
Long Term Debt Issuance,874697000.0,1146998000.0,387000000.0,636620000.0
Investing Cash Flow,45193000.0,-356931000.0,16028000.0,-470548000.0
Net Other Investing Changes,,16900000.0,,
Interest Received Cfi,464000.0,439000.0,43000.0,119000.0
Dividends Received Cfi,46558000.0,34037000.0,21816000.0,23109000.0
Net Investment Properties Purchase And Sale,319230000.0,0.0,0.0,438000000.0
Sale Of Investment Properties,319230000.0,0.0,0.0,438000000.0
Net Business Purchase And Sale,-279408000.0,-399975000.0,70000.0,-925950000.0
Sale Of Business,38319000.0,0.0,70000.0,0.0
Purchase Of Business,-317727000.0,-399975000.0,0.0,-925950000.0
Net PPE Purchase And Sale,-21000.0,0.0,0.0,-41000.0
Purchase Of PPE,-21000.0,0.0,0.0,-41000.0
Capital Expenditure Reported,-41630000.0,-8332000.0,-5901000.0,-5785000.0
Operating Cash Flow,215667000.0,243130000.0,233584000.0,198445000.0
Taxes Refund Paid,1104000.0,-313000.0,-1351000.0,-11015000.0
Change In Working Capital,-22153000.0,3481000.0,8582000.0,-5441000.0
Change In Other Current Assets,-1434000.0,5551000.0,7752000.0,-7350000.0
Change In Payable,-17576000.0,-2121000.0,36000.0,-6820000.0
Change In Prepaid Assets,-1434000.0,5551000.0,7752000.0,-7350000.0
Change In Receivables,-3143000.0,51000.0,794000.0,8729000.0
Other Non Cash Items,106455000.0,90765000.0,51405000.0,62293000.0
Provisionand Write Offof Assets,1235000.0,51000.0,-656000.0,601000.0
Depreciation And Amortization,29000.0,43000.0,49000.0,58000.0
Depreciation,29000.0,43000.0,49000.0,58000.0
Gain Loss On Investment Securities,-25933000.0,-10071000.0,-3272000.0,-16806000.0
Gain Loss On Sale Of Business,24644000.0,0.0,1143000.0,
Net Income From Continuing Operations,196464000.0,212204000.0,201187000.0,172242000.0
