Date,Open,High,Low,Close,Adj,Volume
31 Dec 2024,2.1200,2.1200,2.1100,2.1100,2.0506,"1,257,600"
30 Dec 2024,2.1200,2.1300,2.1000,2.1200,2.0603,"2,277,700"
27 Dec 2024,2.1200,2.1300,2.1100,2.1200,2.0603,"807,600"
26 Dec 2024,2.1200,2.1300,2.1100,2.1100,2.0506,"779,600"
24 Dec 2024,2.1000,2.1300,2.1000,2.1200,2.0603,"977,900"
23 Dec 2024,2.1000,2.1100,2.0900,2.1100,2.0506,"1,671,600"
20 Dec 2024,2.0900,2.1200,2.0700,2.0900,2.0311,"5,244,200"
19 Dec 2024,2.1000,2.1000,2.0800,2.0900,2.0311,"4,131,300"
18 Dec 2024,2.1200,2.1200,2.1000,2.1100,2.0506,"2,145,700"
17 Dec 2024,2.1100,2.1300,2.1000,2.1200,2.0603,"3,196,500"
16 Dec 2024,2.1100,2.1200,2.1000,2.1000,2.0408,"1,904,500"
13 Dec 2024,2.1000,2.1200,2.1000,2.1100,2.0506,"2,066,400"
12 Dec 2024,2.1200,2.1300,2.1100,2.1100,2.0506,"2,476,600"
11 Dec 2024,2.1200,2.1300,2.1100,2.1200,2.0603,"1,682,000"
10 Dec 2024,2.1200,2.1300,2.1100,2.1100,2.0506,"1,920,200"
9 Dec 2024,2.1400,2.1500,2.1100,2.1200,2.0603,"2,929,300"
6 Dec 2024,2.1500,2.1600,2.1400,2.1400,2.0797,"1,527,800"
5 Dec 2024,2.1700,2.1700,2.1400,2.1400,2.0797,"1,681,400"
4 Dec 2024,2.1500,2.1700,2.1500,2.1700,2.1089,"2,572,300"
3 Dec 2024,2.1700,2.1800,2.1500,2.1500,2.0894,"1,964,800"
2 Dec 2024,2.1300,2.1700,2.1300,2.1500,2.0894,"3,202,700"
29 Nov 2024,2.1300,2.1300,2.1200,2.1300,2.0700,"3,595,300"
28 Nov 2024,2.1300,2.1600,2.1200,2.1400,2.0797,"5,410,300"
27 Nov 2024,2.1300,2.1400,2.1200,2.1300,2.0700,"1,759,900"
26 Nov 2024,2.1300,2.1500,2.1100,2.1300,2.0700,"3,748,300"
25 Nov 2024,2.1100,2.1600,2.1100,2.1300,2.0700,"3,461,400"
22 Nov 2024,2.1100,2.1300,2.1000,2.1100,2.0506,"3,432,000"
21 Nov 2024,2.1300,2.1300,2.1000,2.1100,2.0506,"3,989,900"
20 Nov 2024,2.1300,2.1500,2.1200,2.1300,2.0700,"4,269,900"
19 Nov 2024,2.1200,2.1400,2.1100,2.1200,2.0603,"4,883,300"
18 Nov 2024,2.1100,2.1500,2.1100,2.1100,2.0506,"4,816,300"
15 Nov 2024,2.1200,2.1200,2.0900,2.1100,2.0506,"4,089,700"
14 Nov 2024,2.1200,2.1200,2.1100,2.1200,2.0603,"2,816,600"
13 Nov 2024,2.1200,2.1400,2.1000,2.1300,2.0700,"4,240,100"
12 Nov 2024,2.1200,2.1300,2.1100,2.1200,2.0603,"3,761,100"
11 Nov 2024,2.1100,2.1300,2.1000,2.1100,2.0506,"2,907,800"
8 Nov 2024,2.1300,2.1400,2.1000,2.1100,2.0506,"7,644,500"
7 Nov 2024,2.1400,2.1500,2.0900,2.1100,2.0506,"8,773,800"
6 Nov 2024,2.1800,2.1900,2.1300,2.1500,2.0894,"7,347,100"
5 Nov 2024,2.1900,2.1900,2.1600,2.1800,2.1186,"5,465,200"
4 Nov 2024,0.060003 Dividend,,,,,
4 Nov 2024,2.2000,2.2100,2.1900,2.1900,2.1283,"3,194,100"
1 Nov 2024,2.2400,2.2600,2.2200,2.2500,2.1283,"8,963,500"
30 Oct 2024,2.2400,2.2500,2.2300,2.2400,2.1188,"9,364,800"
29 Oct 2024,2.2500,2.2600,2.2300,2.2500,2.1283,"4,832,300"
28 Oct 2024,2.2500,2.2700,2.2400,2.2500,2.1283,"2,790,600"
