,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,3844045741.0,3782553326.0,3742223000.0,3695419000.0,
Share Issued,3844045741.0,3782553326.0,3742223000.0,3695419000.0,
Net Debt,2588592000.0,2207792000.0,2676917000.0,2550575000.0,
Total Debt,2657829000.0,2338398000.0,2851880000.0,2726807000.0,
Tangible Book Value,5193080000.0,5306644000.0,5420939000.0,5168211000.0,
Invested Capital,7850909000.0,7645042000.0,8272819000.0,7895018000.0,
Working Capital,-651362000.0,-168829000.0,81595000.0,-47342000.0,
Net Tangible Assets,5193080000.0,5306644000.0,5420939000.0,5168211000.0,
Common Stock Equity,5193080000.0,5306644000.0,5420939000.0,5168211000.0,
Total Capitalization,7156593000.0,7380359000.0,7629129000.0,7707132000.0,
Total Equity Gross Minority Interest,5641215000.0,5751065000.0,5865304000.0,5589984000.0,
Minority Interest,448135000.0,444421000.0,444365000.0,421773000.0,
Stockholders Equity,5193080000.0,5306644000.0,5420939000.0,5168211000.0,
Other Equity Interest,302023000.0,302023000.0,302023000.0,302023000.0,
Treasury Stock,,0.0,0.0,,
Retained Earnings,1075841000.0,1190528000.0,1241308000.0,,
Capital Stock,4034551000.0,3979261000.0,3943181000.0,4866188000.0,
Common Stock,4034551000.0,3979261000.0,3943181000.0,4866188000.0,
Total Liabilities Net Minority Interest,2816428000.0,2508263000.0,3016071000.0,2897700000.0,
Total Non Current Liabilities Net Minority Interest,2059296000.0,2170333000.0,2301805000.0,2624424000.0,
Other Non Current Liabilities,44170000.0,36508000.0,37374000.0,29968000.0,
Derivative Product Liabilities,9484000.0,8851000.0,7084000.0,3448000.0,
Non Current Deferred Taxes Liabilities,42129000.0,51259000.0,49157000.0,52087000.0,
Long Term Debt And Capital Lease Obligation,1963513000.0,2073715000.0,2208190000.0,2538921000.0,
Long Term Debt,1963513000.0,2073715000.0,2208190000.0,2538921000.0,
Current Liabilities,757132000.0,337930000.0,714266000.0,273276000.0,
Other Current Liabilities,6726000.0,10590000.0,8528000.0,14397000.0,
Current Deferred Taxes Liabilities,258000.0,469000.0,1831000.0,4628000.0,
Current Debt And Capital Lease Obligation,694316000.0,264683000.0,643690000.0,187886000.0,
Current Debt,694316000.0,264683000.0,643690000.0,187886000.0,
Payables,34476000.0,42842000.0,39835000.0,40763000.0,
Other Payable,5833000.0,14848000.0,13552000.0,37078000.0,
Accounts Payable,28643000.0,27994000.0,26283000.0,3685000.0,
Total Assets,8457643000.0,8259328000.0,8881375000.0,8487684000.0,
Total Non Current Assets,8351873000.0,8090227000.0,8085514000.0,8261750000.0,
Other Non Current Assets,907000.0,910000.0,948000.0,,
Non Current Prepaid Assets,55044000.0,51343000.0,51343000.0,621167000.0,
Financial Assets,6791000.0,25837000.0,52504000.0,7982000.0,
Investmentin Financial Assets,456000.0,1207000.0,17474000.0,12474000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,456000.0,1207000.0,17474000.0,12474000.0,
Long Term Equity Investment,3121136000.0,3083059000.0,3046084000.0,2912632000.0,
Investmentsin Joint Venturesat Cost,393996000.0,403000000.0,430898000.0,457639000.0,
Investmentsin Associatesat Cost,2727140000.0,2680059000.0,2615186000.0,2454993000.0,
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0,
Investment Properties,5167453000.0,4927549000.0,4917045000.0,4707363000.0,
Net PPE,86000.0,322000.0,116000.0,132000.0,
Current Assets,105770000.0,169101000.0,795861000.0,225934000.0,
Hedging Assets Current,6372000.0,4090000.0,18448000.0,743000.0,
Restricted Cash,11648000.0,10973000.0,11470000.0,13067000.0,
Prepaid Assets,1268000.0,1332000.0,571114000.0,556000.0,
Other Receivables,5719000.0,4118000.0,2671000.0,2445000.0,
Accounts Receivable,8540000.0,9722000.0,17195000.0,30439000.0,
Cash Cash Equivalents And Short Term Investments,83871000.0,138866000.0,174963000.0,178684000.0,
Other Short Term Investments,2986000.0,8260000.0,,2452000.0,2062000.0
Cash And Cash Equivalents,69237000.0,130606000.0,174963000.0,176232000.0,
Cash Financial,80885000.0,,,,
