,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,188976000.0,169643000.0,162218000.0,113672000.0,
Repurchase Of Capital Stock,0.0,-17181000.0,0.0,,-1548000.0
Repayment Of Debt,-680452000.0,-974022000.0,-615690000.0,-1333568000.0,
Issuance Of Debt,1013290000.0,485686000.0,802281000.0,1649890000.0,
Issuance Of Capital Stock,,,0.0,270001000.0,
Capital Expenditure,-13000.0,-257000.0,-16000.0,,
End Cash Position,69237000.0,130606000.0,174963000.0,176232000.0,
Beginning Cash Position,130606000.0,174963000.0,176232000.0,143961000.0,
Effect Of Exchange Rate Changes,-1593000.0,-2964000.0,-5708000.0,-1621000.0,
Changes In Cash,-59776000.0,-41393000.0,4439000.0,33892000.0,
Financing Cash Flow,2152000.0,-814576000.0,-111416000.0,303352000.0,
Net Other Financing Charges,-9476000.0,-9450000.0,-9450000.0,-9450000.0,
Interest Paid Cff,-86732000.0,-61086000.0,-53866000.0,-46824000.0,
Cash Dividends Paid,-216608000.0,-219361000.0,-216968000.0,-205562000.0,
Net Common Stock Issuance,0.0,-17181000.0,0.0,270001000.0,
Common Stock Payments,0.0,-17181000.0,0.0,,-1548000.0
Common Stock Issuance,,,0.0,270001000.0,
Net Issuance Payments Of Debt,332838000.0,-488336000.0,186591000.0,316322000.0,
Net Long Term Debt Issuance,332838000.0,-488336000.0,186591000.0,316322000.0,
Long Term Debt Payments,-680452000.0,-974022000.0,-615690000.0,-1333568000.0,
Long Term Debt Issuance,1013290000.0,485686000.0,802281000.0,1649890000.0,
Investing Cash Flow,-250917000.0,603283000.0,-46379000.0,-383132000.0,
Net Other Investing Changes,9125000.0,10009000.0,1688000.0,2672000.0,
Interest Received Cfi,7789000.0,7393000.0,25011000.0,15623000.0,
Dividends Received Cfi,108716000.0,103068000.0,99809000.0,118322000.0,
Net Investment Properties Purchase And Sale,-363333000.0,-83513000.0,-167583000.0,82725000.0,
Sale Of Investment Properties,,,0.0,271297000.0,
Purchase Of Investment Properties,-363333000.0,-83513000.0,-167583000.0,-188572000.0,
Net Business Purchase And Sale,-9500000.0,-3573000.0,-4956000.0,-600244000.0,
Purchase Of Business,-9500000.0,-3573000.0,-4956000.0,-600244000.0,
Net PPE Purchase And Sale,-13000.0,-257000.0,-16000.0,0.0,
Purchase Of PPE,-13000.0,-257000.0,-16000.0,0.0,
Operating Cash Flow,188989000.0,169900000.0,162234000.0,113672000.0,
Taxes Refund Paid,-9476000.0,-9093000.0,-5349000.0,-26252000.0,
Change In Working Capital,-1930000.0,-10661000.0,183000.0,-19610000.0,
Change In Other Current Liabilities,,,,1652000.0,-2766000.0
Change In Payable,2011000.0,-8602000.0,-1822000.0,8977000.0,
Change In Prepaid Assets,2770000.0,2433000.0,1893000.0,1652000.0,
Change In Receivables,-6711000.0,-4492000.0,112000.0,-30239000.0,
Other Non Cash Items,127829000.0,103085000.0,83460000.0,83879000.0,
Depreciation And Amortization,21000.0,51000.0,32000.0,20000.0,
Depreciation,21000.0,51000.0,32000.0,20000.0,
Gain Loss On Investment Securities,48703000.0,-12809000.0,-270474000.0,-82103000.0,
Net Foreign Currency Exchange Gain Loss,2907000.0,-4934000.0,4628000.0,-2523000.0,
Net Income From Continuing Operations,130938000.0,208051000.0,450448000.0,278856000.0,
