,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-48235.164734,-661277.802077,40931.96107,-209251.369883,
Tax Rate For Calcs,0.009233,0.055621,0.00454,0.08248,
Normalized EBITDA,222924000.0,284929000.0,496932000.0,330928000.0,
Total Unusual Items,-5224000.0,-11889000.0,9016000.0,-2537000.0,
Total Unusual Items Excluding Goodwill,-5224000.0,-11889000.0,9016000.0,-2537000.0,
Net Income From Continuing Operation Net Minority Interest,108445000.0,178031000.0,414837000.0,241168000.0,
Reconciled Depreciation,21000.0,51000.0,32000.0,20000.0,
Reconciled Cost Of Revenue,59667000.0,50692000.0,43344000.0,44074000.0,
EBITDA,217700000.0,273040000.0,505948000.0,328391000.0,
EBIT,217679000.0,272989000.0,505916000.0,328371000.0,
Net Interest Income,-80832000.0,-59643000.0,-32472000.0,-35869000.0,
Interest Expense,86741000.0,64938000.0,55468000.0,49515000.0,
Interest Income,7714000.0,7340000.0,25264000.0,15603000.0,
Normalized Income,113620764.835266,189258722.197923,405861931.96107,243495748.630117,
Net Income From Continuing And Discontinued Operation,108445000.0,178031000.0,414837000.0,241168000.0,
Total Expenses,124710000.0,113072000.0,106832000.0,106303000.0,
Diluted Average Shares,3830595000.0,3804608000.0,3792240000.0,3780768000.0,
Basic Average Shares,3819238000.0,3764960000.0,3723146000.0,3636748000.0,
Diluted EPS,0.0259,0.0447,0.1076,0.0626,
Basic EPS,0.0259,0.0448,0.1089,0.0637,
Diluted NI Availto Com Stockholders,98969000.0,168581000.0,405387000.0,231738000.0,
Net Income Common Stockholders,98969000.0,168581000.0,405387000.0,231738000.0,
Otherunder Preferred Stock Dividend,9476000.0,9450000.0,9450000.0,9430000.0,
Preferred Stock Dividends,,0.0,0.0,0.0,0.0
Net Income,108445000.0,178031000.0,414837000.0,241168000.0,
Minority Interests,-21284000.0,-18448000.0,-33566000.0,-14688000.0,
Net Income Including Noncontrolling Interests,129729000.0,196479000.0,448403000.0,255856000.0,
Net Income Continuous Operations,129729000.0,196479000.0,448403000.0,255856000.0,
Tax Provision,1209000.0,11572000.0,2045000.0,23000000.0,
Pretax Income,130938000.0,208051000.0,450448000.0,278856000.0,
Other Non Operating Income Expenses,9412000.0,10874000.0,1688000.0,2672000.0,
Special Income Charges,,,,,0.0
Write Off,,,,,0.0
Net Non Operating Interest Income Expense,-80832000.0,-59643000.0,-32472000.0,-35869000.0,
Total Other Finance Cost,1805000.0,2045000.0,2268000.0,1957000.0,
Interest Expense Non Operating,86741000.0,64938000.0,55468000.0,49515000.0,
Interest Income Non Operating,7714000.0,7340000.0,25264000.0,15603000.0,
Operating Income,136870000.0,119999000.0,112454000.0,110303000.0,
Operating Expense,65043000.0,62380000.0,63488000.0,62229000.0,
Depreciation And Amortization In Income Statement,,,,,0.0
Amortization,,,,,0.0
Depreciation Income Statement,,,,,0.0
Selling General And Administration,65043000.0,62380000.0,63488000.0,62229000.0,
General And Administrative Expense,65043000.0,62380000.0,63488000.0,62229000.0,
Gross Profit,201913000.0,182379000.0,175942000.0,172532000.0,
Cost Of Revenue,59667000.0,50692000.0,43344000.0,44074000.0,
Total Revenue,261580000.0,233071000.0,219286000.0,216606000.0,
Operating Revenue,261580000.0,233071000.0,219286000.0,216606000.0,
