Date,Open,High,Low,Close,Adj,Volume
31 Dec 2024,0.8750,0.8750,0.8700,0.8700,0.8039,"3,300,700"
30 Dec 2024,0.8650,0.8750,0.8650,0.8750,0.8085,"4,419,500"
27 Dec 2024,0.8600,0.8700,0.8600,0.8650,0.7993,"5,605,700"
26 Dec 2024,0.8600,0.8650,0.8550,0.8600,0.7947,"2,539,000"
24 Dec 2024,0.8550,0.8650,0.8500,0.8600,0.7947,"3,662,000"
23 Dec 2024,0.8400,0.8550,0.8400,0.8500,0.7854,"4,685,800"
20 Dec 2024,0.8400,0.8500,0.8400,0.8400,0.7762,"12,658,500"
19 Dec 2024,0.8450,0.8500,0.8400,0.8450,0.7808,"10,114,100"
18 Dec 2024,0.8500,0.8550,0.8450,0.8500,0.7854,"5,570,000"
17 Dec 2024,0.8450,0.8550,0.8450,0.8500,0.7854,"7,415,900"
16 Dec 2024,0.8500,0.8550,0.8450,0.8450,0.7808,"6,019,700"
13 Dec 2024,0.8550,0.8550,0.8450,0.8550,0.7900,"5,921,700"
12 Dec 2024,0.8550,0.8650,0.8500,0.8550,0.7900,"7,403,800"
11 Dec 2024,0.8500,0.8600,0.8450,0.8500,0.7854,"10,906,200"
10 Dec 2024,0.8500,0.8550,0.8500,0.8500,0.7854,"4,680,100"
9 Dec 2024,0.8650,0.8650,0.8500,0.8550,0.7900,"4,068,400"
6 Dec 2024,0.8550,0.8700,0.8500,0.8600,0.7947,"4,527,100"
5 Dec 2024,0.8600,0.8650,0.8500,0.8550,0.7900,"6,784,100"
4 Dec 2024,0.8600,0.8600,0.8550,0.8600,0.7947,"2,573,200"
3 Dec 2024,0.8600,0.8650,0.8550,0.8550,0.7900,"4,416,900"
2 Dec 2024,0.8550,0.8650,0.8500,0.8600,0.7947,"8,510,500"
29 Nov 2024,0.8550,0.8550,0.8500,0.8550,0.7900,"6,065,982"
28 Nov 2024,0.8500,0.8600,0.8450,0.8600,0.7947,"9,894,000"
27 Nov 2024,0.8500,0.8550,0.8450,0.8500,0.7854,"4,145,900"
26 Nov 2024,0.8600,0.8600,0.8450,0.8500,0.7854,"11,584,290"
25 Nov 2024,0.8500,0.8700,0.8500,0.8600,0.7947,"13,009,500"
22 Nov 2024,0.8500,0.8550,0.8400,0.8500,0.7854,"10,865,800"
21 Nov 2024,0.8550,0.8550,0.8450,0.8500,0.7854,"18,337,600"
20 Nov 2024,0.8650,0.8650,0.8500,0.8550,0.7900,"7,363,000"
19 Nov 2024,0.8700,0.8750,0.8550,0.8600,0.7947,"7,928,100"
18 Nov 2024,0.8700,0.8800,0.8650,0.8650,0.7993,"4,392,300"
15 Nov 2024,0.8750,0.8800,0.8700,0.8700,0.8039,"3,244,800"
14 Nov 2024,0.8750,0.8800,0.8700,0.8750,0.8085,"3,721,200"
