,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,488260000.0,432784000.0,448064000.0,497040000.0,
Repayment Of Debt,-222992000.0,-1154762000.0,-870691000.0,-2172711000.0,
Issuance Of Debt,400334000.0,1338710000.0,846301000.0,2800524000.0,
Issuance Of Capital Stock,0.0,201557000.0,0.0,1108490000.0,
Capital Expenditure,,,,-38000.0,-88000.0
End Cash Position,107626000.0,119902000.0,146611000.0,149638000.0,
Beginning Cash Position,119902000.0,146611000.0,149638000.0,60464000.0,
Effect Of Exchange Rate Changes,173000.0,-31000.0,-30000.0,39000.0,
Changes In Cash,-12449000.0,-26678000.0,-2997000.0,89135000.0,
Financing Cash Flow,-293471000.0,-106337000.0,-350456000.0,1346587000.0,
Net Other Financing Charges,-67000.0,2330000.0,,,
Interest Paid Cff,-98358000.0,-101604000.0,-82851000.0,-66564000.0,
Cash Dividends Paid,-365177000.0,-383723000.0,-234519000.0,-310825000.0,
Common Stock Dividend Paid,-365177000.0,-383723000.0,-234519000.0,-310825000.0,
Net Common Stock Issuance,0.0,201557000.0,0.0,1108490000.0,
Common Stock Issuance,0.0,201557000.0,0.0,1108490000.0,
Net Issuance Payments Of Debt,177342000.0,183948000.0,-24390000.0,627813000.0,
Net Long Term Debt Issuance,177342000.0,183948000.0,-24390000.0,627813000.0,
Long Term Debt Payments,-222992000.0,-1154762000.0,-870691000.0,-2172711000.0,
Long Term Debt Issuance,400334000.0,1338710000.0,846301000.0,2800524000.0,
Investing Cash Flow,-207238000.0,-353125000.0,-100605000.0,-1754530000.0,
Interest Received Cfi,,,,0.0,2268000.0
Dividends Received Cfi,31610000.0,29294000.0,28320000.0,25924000.0,
Net Investment Properties Purchase And Sale,-238848000.0,-382419000.0,-128925000.0,-1780416000.0,
Sale Of Investment Properties,0.0,50192000.0,26057000.0,122437000.0,
Purchase Of Investment Properties,-238848000.0,-432611000.0,-154982000.0,-1902853000.0,
Net Business Purchase And Sale,,,,0.0,-266484000.0
Purchase Of Business,,,,0.0,-266484000.0
Net PPE Purchase And Sale,,,0.0,-38000.0,-88000.0
Purchase Of PPE,,,0.0,-38000.0,-88000.0
Operating Cash Flow,488260000.0,432784000.0,448064000.0,497078000.0,
Taxes Refund Paid,-3056000.0,-8431000.0,-8732000.0,-2465000.0,
Interest Received Cfo,1581000.0,4747000.0,693000.0,97000.0,
Change In Working Capital,26245000.0,-11955000.0,10054000.0,87544000.0,
Change In Other Current Assets,508000.0,-4239000.0,-852000.0,47445000.0,
Change In Payable,13954000.0,1191000.0,10243000.0,47119000.0,
Change In Receivables,11783000.0,-8907000.0,663000.0,-7020000.0,
Other Non Cash Items,98959000.0,101164000.0,94102000.0,58024000.0,
Provisionand Write Offof Assets,,,-1176000.0,816000.0,655000.0
Deferred Tax,29631000.0,16013000.0,23949000.0,30165000.0,
Depreciation And Amortization,31000.0,42000.0,59000.0,67000.0,
Depreciation,31000.0,42000.0,59000.0,67000.0,
Gain Loss On Investment Securities,16893000.0,209213000.0,105354000.0,-9566000.0,
Net Foreign Currency Exchange Gain Loss,2592000.0,-7281000.0,-79000.0,9240000.0,
Gain Loss On Sale Of Business,,,,0.0,15662000.0
Net Income From Continuing Operations,345441000.0,120628000.0,291106000.0,439216000.0,
