,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,4486378.239378,7725419.061629,1629615.978163,-1497900.042822,
Tax Rate For Calcs,0.079001,0.11719,0.076015,0.064265,
Normalized EBITDA,476348000.0,240338000.0,406667000.0,537036000.0,
Total Unusual Items,56789000.0,65922000.0,21438000.0,-23308000.0,
Total Unusual Items Excluding Goodwill,56789000.0,65922000.0,21438000.0,-23308000.0,
Net Income From Continuing Operation Net Minority Interest,345159000.0,120512000.0,291106000.0,439216000.0,
Reconciled Depreciation,31000.0,42000.0,59000.0,67000.0,
Reconciled Cost Of Revenue,241535000.0,238030000.0,226973000.0,192574000.0,
EBITDA,533137000.0,306260000.0,428105000.0,513728000.0,
EBIT,533106000.0,306218000.0,428046000.0,513661000.0,
Net Interest Income,-160595000.0,-169645000.0,-116818000.0,-47692000.0,
Interest Expense,158034000.0,169577000.0,112991000.0,44280000.0,
Interest Income,1574000.0,4751000.0,700000.0,98000.0,
Normalized Income,292856378.239378,62315419.061629,271297615.978163,461026099.957178,
Net Income From Continuing And Discontinued Operation,345159000.0,120512000.0,291106000.0,439216000.0,
Total Expenses,216094000.0,206037000.0,160610000.0,145123000.0,
Diluted Average Shares,2841387000.0,2816874000.0,2701594000.0,2603327000.0,
Basic Average Shares,2841387000.0,2816874000.0,2701594000.0,2603327000.0,
Diluted EPS,0.1181,0.0394,0.1043,0.1687,
Basic EPS,0.1181,0.0394,0.1043,0.1687,
Diluted NI Availto Com Stockholders,335709000.0,111036000.0,281656000.0,430802000.0,
Net Income Common Stockholders,335709000.0,111036000.0,281656000.0,430802000.0,
Otherunder Preferred Stock Dividend,9450000.0,9476000.0,9450000.0,8414000.0,
Preferred Stock Dividends,0.0,0.0,0.0,0.0,
Net Income,345159000.0,120512000.0,291106000.0,439216000.0,
Minority Interests,-282000.0,-116000.0,0.0,,
Net Income Including Noncontrolling Interests,345441000.0,120628000.0,291106000.0,439216000.0,
Net Income Extraordinary,,,-9450000.0,-8414000.0,0.0
Net Income Continuous Operations,345441000.0,120628000.0,291106000.0,439216000.0,
Tax Provision,29631000.0,16013000.0,23949000.0,30165000.0,
Pretax Income,375072000.0,136641000.0,315055000.0,469381000.0,
Other Non Operating Income Expenses,2628000.0,,,,
Special Income Charges,0.0,0.0,0.0,0.0,
Other Special Charges,,,,,15662000.0
Write Off,0.0,0.0,0.0,,
Net Non Operating Interest Income Expense,-160595000.0,-169645000.0,-116818000.0,-47692000.0,
Total Other Finance Cost,4135000.0,4819000.0,4527000.0,3510000.0,
Interest Expense Non Operating,158034000.0,169577000.0,112991000.0,44280000.0,
Interest Income Non Operating,1574000.0,4751000.0,700000.0,98000.0,
Operating Income,464968000.0,454633000.0,450576000.0,408576000.0,
Operating Expense,-25441000.0,-31993000.0,-66363000.0,-47451000.0,
Other Operating Expenses,2380000.0,2667000.0,5155000.0,6749000.0,
Selling General And Administration,2950000.0,2002000.0,2161000.0,2164000.0,
General And Administrative Expense,2950000.0,2002000.0,2161000.0,2164000.0,
Gross Profit,439527000.0,422640000.0,384213000.0,361125000.0,
Cost Of Revenue,241535000.0,238030000.0,226973000.0,192574000.0,
Total Revenue,681062000.0,660670000.0,611186000.0,553699000.0,
Operating Revenue,681062000.0,660670000.0,611186000.0,553699000.0,
