Date,Open,High,Low,Close,Adj,Volume
31 Dec 2024,2.2100,2.2400,2.2100,2.2100,2.1045,"3,742,000"
30 Dec 2024,2.2300,2.2300,2.2100,2.2200,2.1140,"2,382,100"
27 Dec 2024,2.2200,2.2500,2.2100,2.2200,2.1140,"2,760,900"
26 Dec 2024,2.2200,2.2300,2.2100,2.2100,2.1045,"951,500"
24 Dec 2024,2.2000,2.2300,2.1900,2.2200,2.1140,"1,493,900"
23 Dec 2024,2.1800,2.2200,2.1700,2.2000,2.0950,"4,338,900"
20 Dec 2024,2.1800,2.2000,2.1700,2.1800,2.0759,"8,956,800"
19 Dec 2024,2.2100,2.2100,2.1700,2.1800,2.0759,"9,870,400"
18 Dec 2024,2.2200,2.2300,2.2100,2.2200,2.1140,"2,723,300"
17 Dec 2024,2.2100,2.2300,2.2000,2.2200,2.1140,"3,210,900"
16 Dec 2024,2.2200,2.2200,2.2000,2.2100,2.1045,"3,773,200"
13 Dec 2024,2.2400,2.2400,2.2100,2.2100,2.1045,"4,135,900"
12 Dec 2024,2.2400,2.2600,2.2000,2.2200,2.1140,"7,026,700"
11 Dec 2024,2.2300,2.2400,2.2100,2.2200,2.1140,"5,903,800"
10 Dec 2024,2.2600,2.2600,2.2200,2.2300,2.1235,"6,854,300"
9 Dec 2024,2.2900,2.2900,2.2500,2.2600,2.1521,"7,041,500"
6 Dec 2024,2.2900,2.3000,2.2800,2.2800,2.1712,"3,800,100"
5 Dec 2024,2.2800,2.2900,2.2700,2.2900,2.1807,"3,645,300"
4 Dec 2024,2.3000,2.3100,2.2700,2.2800,2.1712,"5,944,200"
3 Dec 2024,2.3400,2.3500,2.3000,2.3000,2.1902,"5,126,200"
2 Dec 2024,2.3300,2.3500,2.3300,2.3300,2.2188,"3,840,900"
29 Nov 2024,2.3300,2.3400,2.3100,2.3200,2.2092,"4,451,700"
28 Nov 2024,2.3100,2.3400,2.3000,2.3300,2.2188,"4,157,300"
27 Nov 2024,2.3000,2.3200,2.2900,2.3100,2.1997,"5,525,400"
26 Nov 2024,2.2900,2.3400,2.2800,2.3000,2.1902,"10,552,700"
25 Nov 2024,2.2700,2.3200,2.2700,2.2900,2.1807,"6,370,600"
22 Nov 2024,2.2800,2.2900,2.2600,2.2700,2.1616,"3,719,100"
21 Nov 2024,2.2800,2.2900,2.2700,2.2800,2.1712,"4,630,000"
20 Nov 2024,2.2800,2.3000,2.2700,2.2800,2.1712,"5,365,000"
19 Nov 2024,2.3000,2.3100,2.2600,2.2700,2.1616,"7,244,900"
18 Nov 2024,2.2800,2.3200,2.2700,2.2900,2.1807,"6,857,700"
15 Nov 2024,2.2900,2.3000,2.2700,2.2700,2.1616,"2,725,100"
14 Nov 2024,2.2800,2.3000,2.2700,2.2900,2.1807,"2,227,600"
13 Nov 2024,2.3000,2.3100,2.2800,2.2800,2.1712,"1,947,000"
12 Nov 2024,2.3000,2.3200,2.2800,2.2900,2.1807,"3,056,900"
11 Nov 2024,2.2800,2.3000,2.2800,2.2900,2.1807,"4,845,700"
8 Nov 2024,2.2900,2.3200,2.2600,2.2700,2.1616,"7,660,500"
7 Nov 2024,2.3400,2.3400,2.2400,2.2600,2.1521,"12,189,900"
6 Nov 2024,0.0337 Dividend,,,,,
6 Nov 2024,2.4000,2.4200,2.3100,2.3400,2.2283,"12,808,100"
5 Nov 2024,2.4200,2.4400,2.4000,2.4200,2.2724,"6,270,700"
4 Nov 2024,2.4000,2.4400,2.3900,2.4300,2.2818,"5,097,500"
1 Nov 2024,2.4000,2.4300,2.3900,2.4000,2.2536,"6,687,600"
30 Oct 2024,2.4300,2.4500,2.4000,2.4000,2.2536,"9,687,000"
29 Oct 2024,2.4200,2.4200,2.3900,2.3900,2.2442,"3,060,100"
28 Oct 2024,2.3900,2.4400,2.3900,2.4300,2.2818,"9,194,400"
25 Oct 2024,2.4100,2.4100,2.3600,2.4000,2.2536,"11,434,400"
24 Oct 2024,2.4400,2.4500,2.4100,2.4200,2.2724,"5,373,900"
23 Oct 2024,2.4400,2.4500,2.4300,2.4400,2.2912,"3,420,900"
22 Oct 2024,2.4500,2.4600,2.4400,2.4400,2.2912,"2,707,200"
