,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Ordinary Shares Number,5267580260.0,5252984957.0,5239332000.0,3323514000.0,
Share Issued,5267580260.0,5252984957.0,5239332000.0,3323514000.0,
Net Debt,5825722000.0,6493108000.0,6567411000.0,2880164000.0,
Total Debt,5997159000.0,6650418000.0,6783700000.0,3004334000.0,
Tangible Book Value,9613267000.0,9458445000.0,9469694000.0,5793537000.0,
Invested Capital,15610384000.0,16108788000.0,16253252000.0,8797871000.0,
Working Capital,-481642000.0,-1051666000.0,-688691000.0,-434643000.0,
Net Tangible Assets,9613267000.0,9458445000.0,9469694000.0,5793537000.0,
Capital Lease Obligations,42000.0,75000.0,142000.0,0.0,
Common Stock Equity,9613267000.0,9458445000.0,9469694000.0,5793537000.0,
Total Capitalization,15163812000.0,15082536000.0,15498887000.0,8337324000.0,
Total Equity Gross Minority Interest,9624543000.0,9471202000.0,9482380000.0,5793537000.0,
Minority Interest,11276000.0,12757000.0,12686000.0,0.0,
Stockholders Equity,9613267000.0,9458445000.0,9469694000.0,5793537000.0,
Other Equity Interest,249270000.0,249282000.0,249437000.0,,
Retained Earnings,2031015000.0,1887593000.0,1776063000.0,1792513000.0,
Capital Stock,7673968000.0,7655248000.0,7633347000.0,3974425000.0,
Common Stock,7673968000.0,7655248000.0,7633347000.0,3974425000.0,
Total Liabilities Net Minority Interest,6517064000.0,7191089000.0,7346440000.0,3190986000.0,
Total Non Current Liabilities Net Minority Interest,5832529000.0,5938544000.0,6360882000.0,2622950000.0,
Derivative Product Liabilities,10400000.0,12805000.0,10158000.0,266000.0,
Tradeand Other Payables Non Current,122016000.0,124226000.0,139076000.0,53923000.0,
Non Current Deferred Taxes Liabilities,149560000.0,177380000.0,182379000.0,24974000.0,
Long Term Debt And Capital Lease Obligation,5550553000.0,5624133000.0,6029269000.0,2543787000.0,
Long Term Capital Lease Obligation,8000.0,42000.0,76000.0,0.0,
Long Term Debt,5550545000.0,5624091000.0,6029193000.0,2543787000.0,
Current Liabilities,684535000.0,1252545000.0,985558000.0,568036000.0,
Other Current Liabilities,,3000.0,,,
Current Debt And Capital Lease Obligation,446606000.0,1026285000.0,754431000.0,460547000.0,
Current Capital Lease Obligation,34000.0,33000.0,66000.0,0.0,
Current Debt,446572000.0,1026252000.0,754365000.0,460547000.0,
Payables,135340000.0,141337000.0,123088000.0,47895000.0,
Other Payable,97187000.0,109016000.0,93118000.0,39654000.0,
Total Tax Payable,21674000.0,13511000.0,15364000.0,6425000.0,
Accounts Payable,16479000.0,18810000.0,14606000.0,1816000.0,
Total Assets,16141607000.0,16662291000.0,16828820000.0,8984523000.0,
Total Non Current Assets,15938714000.0,16461412000.0,16531953000.0,8851130000.0,
Other Non Current Assets,,,,2227000.0,
Non Current Prepaid Assets,,,0.0,2227000.0,
Financial Assets,97340000.0,92562000.0,88372000.0,27741000.0,
Long Term Equity Investment,110874000.0,118590000.0,119943000.0,0.0,
Investmentsin Joint Venturesat Cost,110874000.0,118590000.0,119943000.0,0.0,
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0,
Investment Properties,15728702000.0,16248855000.0,16321443000.0,8821000000.0,
Net PPE,1798000.0,1405000.0,2195000.0,162000.0,
Accumulated Depreciation,-7536000.0,-8656000.0,-7929000.0,-504000.0,
Gross PPE,9334000.0,10061000.0,10124000.0,666000.0,
Other Properties,9334000.0,10061000.0,10124000.0,666000.0,
Machinery Furniture Equipment,,10061000.0,10124000.0,666000.0,622000.0
Current Assets,202893000.0,200879000.0,296867000.0,133393000.0,
Other Current Assets,4648000.0,,,,
Hedging Assets Current,5020000.0,19061000.0,57577000.0,0.0,
Prepaid Assets,4648000.0,5150000.0,3525000.0,649000.0,
Inventory,130000.0,110000.0,410000.0,0.0,
Other Receivables,12108000.0,12211000.0,11707000.0,2038000.0,
Taxes Receivable,5848000.0,5849000.0,5849000.0,5849000.0,
Accounts Receivable,3744000.0,1263000.0,1652000.0,687000.0,
Cash Cash Equivalents And Short Term Investments,171395000.0,157235000.0,216147000.0,124170000.0,
Cash And Cash Equivalents,171395000.0,157235000.0,216147000.0,124170000.0,
Cash Equivalents,54175000.0,57314000.0,97453000.0,88000000.0,
Cash Financial,117220000.0,99921000.0,118694000.0,36170000.0,
