,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,632975000.0,724714000.0,604849000.0,363581000.0,
Repayment Of Debt,-2634074000.0,-1458979000.0,-1814789000.0,-156800000.0,
Issuance Of Debt,1973072000.0,1433179000.0,2291485000.0,137900000.0,
Issuance Of Capital Stock,,0.0,2040737000.0,,0.0
Capital Expenditure,-1059000.0,-318000.0,-459000.0,-44000.0,
End Cash Position,158818000.0,135642000.0,195202000.0,124170000.0,
Beginning Cash Position,135642000.0,195202000.0,124170000.0,192543000.0,
Effect Of Exchange Rate Changes,-320000.0,-8419000.0,-7698000.0,0.0,
Changes In Cash,23496000.0,-51141000.0,78730000.0,-68373000.0,
Financing Cash Flow,-1321950000.0,-719878000.0,1766771000.0,-413158000.0,
Net Other Financing Charges,-1569000.0,-8406000.0,-35728000.0,,
Interest Paid Cff,-215077000.0,-215445000.0,-145790000.0,-71885000.0,
Cash Dividends Paid,-444268000.0,-470161000.0,-568461000.0,-322226000.0,
Common Stock Dividend Paid,,,,,-168289000.0
Net Preferred Stock Issuance,,0.0,2040737000.0,,
Preferred Stock Issuance,,0.0,2040737000.0,,
Net Common Stock Issuance,,,,,0.0
Common Stock Issuance,,,,,0.0
Net Issuance Payments Of Debt,-661002000.0,-25800000.0,476696000.0,-18900000.0,
Net Long Term Debt Issuance,-661002000.0,-25800000.0,476696000.0,-18900000.0,
Long Term Debt Payments,-2634074000.0,-1458979000.0,-1814789000.0,-156800000.0,
Long Term Debt Issuance,1973072000.0,1433179000.0,2291485000.0,137900000.0,
Investing Cash Flow,711412000.0,-56295000.0,-2293349000.0,-18840000.0,
Interest Received Cfi,1413000.0,3036000.0,1538000.0,339000.0,
Dividends Received Cfi,5353000.0,5785000.0,2838000.0,0.0,
Net Investment Properties Purchase And Sale,705705000.0,-64798000.0,-2297271000.0,-18682000.0,
Sale Of Investment Properties,762448000.0,0.0,,,
Purchase Of Investment Properties,-56743000.0,-64798000.0,-2297271000.0,-18682000.0,
Net Business Purchase And Sale,,,0.0,-453000.0,0.0
Purchase Of Business,,,0.0,-453000.0,0.0
Net PPE Purchase And Sale,-1059000.0,-318000.0,-454000.0,-44000.0,
Sale Of PPE,,0.0,5000.0,0.0,
Purchase Of PPE,-1059000.0,-318000.0,-459000.0,-44000.0,
Operating Cash Flow,634034000.0,725032000.0,605308000.0,363625000.0,
Taxes Refund Paid,-17740000.0,-22757000.0,-24456000.0,-5000.0,
Change In Working Capital,6983000.0,80000.0,28027000.0,-5355000.0,
Change In Other Current Assets,501000.0,-1625000.0,2866000.0,-121000.0,
Change In Payable,8333000.0,3899000.0,18610000.0,-9829000.0,
Change In Inventory,-20000.0,300000.0,134000.0,0.0,
Change In Receivables,-1831000.0,-2494000.0,6417000.0,4595000.0,
Other Non Cash Items,236254000.0,247267000.0,185244000.0,92383000.0,
Deferred Tax,-6113000.0,19482000.0,-1725000.0,5000.0,
Depreciation And Amortization,678000.0,1072000.0,831000.0,148000.0,
Depreciation,678000.0,1072000.0,831000.0,148000.0,
Gain Loss On Investment Securities,-156685000.0,-144402000.0,-62670000.0,-61900000.0,
Net Foreign Currency Exchange Gain Loss,-7792000.0,47418000.0,2708000.0,-8926000.0,
Net Income From Continuing Operations,587301000.0,583070000.0,486749000.0,347019000.0,
