Date,Open,High,Low,Close,Adj,Volume
31 Dec 2024,1.2300,1.2300,1.2000,1.2100,1.1531,"11,966,300"
30 Dec 2024,1.2200,1.2300,1.2200,1.2300,1.1722,"3,803,400"
27 Dec 2024,1.2200,1.2300,1.2200,1.2200,1.1627,"5,386,700"
26 Dec 2024,1.2200,1.2200,1.2100,1.2100,1.1531,"1,404,300"
24 Dec 2024,1.2000,1.2200,1.2000,1.2100,1.1531,"3,599,600"
23 Dec 2024,1.2100,1.2100,1.1900,1.2000,1.1436,"14,718,900"
20 Dec 2024,1.2000,1.2200,1.1800,1.2000,1.1436,"25,180,900"
19 Dec 2024,1.2000,1.2000,1.1900,1.1900,1.1341,"15,514,400"
18 Dec 2024,1.2200,1.2200,1.2000,1.2100,1.1531,"11,224,000"
17 Dec 2024,1.2100,1.2200,1.2000,1.2100,1.1531,"9,343,700"
16 Dec 2024,1.2100,1.2200,1.2000,1.2100,1.1531,"7,421,400"
13 Dec 2024,1.2200,1.2200,1.2000,1.2100,1.1531,"8,824,900"
12 Dec 2024,1.2200,1.2300,1.2100,1.2100,1.1531,"10,716,300"
11 Dec 2024,1.2300,1.2300,1.2100,1.2200,1.1627,"14,616,700"
10 Dec 2024,1.2300,1.2400,1.2200,1.2300,1.1722,"8,827,800"
9 Dec 2024,1.2200,1.2300,1.2200,1.2200,1.1627,"3,827,500"
6 Dec 2024,1.2300,1.2400,1.2200,1.2200,1.1627,"9,308,400"
5 Dec 2024,1.2300,1.2300,1.2200,1.2200,1.1627,"4,464,400"
4 Dec 2024,1.2300,1.2300,1.2200,1.2300,1.1722,"3,919,600"
3 Dec 2024,1.2200,1.2300,1.2200,1.2300,1.1722,"4,701,300"
2 Dec 2024,1.2300,1.2400,1.2200,1.2300,1.1722,"10,381,100"
29 Nov 2024,1.2300,1.2400,1.2200,1.2300,1.1722,"5,363,000"
28 Nov 2024,1.2300,1.2500,1.2300,1.2400,1.1817,"8,203,000"
27 Nov 2024,1.2300,1.2400,1.2200,1.2300,1.1722,"9,206,800"
26 Nov 2024,1.2300,1.2400,1.2100,1.2300,1.1722,"12,158,000"
25 Nov 2024,1.2200,1.2500,1.2200,1.2300,1.1722,"15,523,900"
22 Nov 2024,1.2300,1.2300,1.2100,1.2200,1.1627,"11,013,100"
21 Nov 2024,1.2300,1.2400,1.2100,1.2200,1.1627,"16,606,400"
20 Nov 2024,1.2300,1.2500,1.2300,1.2300,1.1722,"13,255,100"
19 Nov 2024,1.2400,1.2500,1.2300,1.2300,1.1722,"8,040,900"
18 Nov 2024,1.2400,1.2600,1.2300,1.2400,1.1817,"8,783,900"
15 Nov 2024,1.2400,1.2500,1.2200,1.2300,1.1722,"9,071,600"
14 Nov 2024,1.2400,1.2500,1.2200,1.2400,1.1817,"11,903,900"
13 Nov 2024,1.2400,1.2500,1.2300,1.2500,1.1913,"5,407,100"
12 Nov 2024,1.2500,1.2600,1.2400,1.2500,1.1913,"9,075,700"
11 Nov 2024,1.2400,1.2600,1.2400,1.2500,1.1913,"17,796,600"
8 Nov 2024,1.2600,1.2800,1.2400,1.2400,1.1817,"26,147,000"
7 Nov 2024,1.2700,1.2700,1.2200,1.2500,1.1913,"33,638,100"
6 Nov 2024,1.3000,1.3100,1.2600,1.2700,1.2103,"36,210,900"
5 Nov 2024,1.3000,1.3200,1.2800,1.2900,1.2294,"19,865,200"
4 Nov 2024,1.2900,1.3100,1.2800,1.3000,1.2389,"19,088,200"
1 Nov 2024,0.0198 Dividend,,,,,
1 Nov 2024,1.2900,1.3000,1.2800,1.2900,1.2294,"18,043,000"
30 Oct 2024,1.3200,1.3300,1.3000,1.3100,1.2296,"19,649,300"
29 Oct 2024,1.3300,1.3300,1.3100,1.3200,1.2390,"16,386,700"
28 Oct 2024,1.3400,1.3500,1.3200,1.3300,1.2484,"19,166,800"
25 Oct 2024,1.3600,1.3600,1.3200,1.3400,1.2577,"37,878,800"
24 Oct 2024,1.4200,1.4300,1.4000,1.4100,1.3234,"10,295,900"
23 Oct 2024,1.4200,1.4300,1.4200,1.4200,1.3328,"6,410,600"
22 Oct 2024,1.4400,1.4400,1.4200,1.4200,1.3328,"15,791,000"
21 Oct 2024,1.4400,1.4500,1.4200,1.4400,1.3516,"12,788,200"
18 Oct 2024,1.4400,1.4500,1.4300,1.4400,1.3516,"12,148,700"
17 Oct 2024,1.4300,1.4600,1.4300,1.4400,1.3516,"14,472,700"
16 Oct 2024,1.4300,1.4500,1.4200,1.4300,1.3422,"20,002,700"
15 Oct 2024,1.4500,1.4600,1.4200,1.4300,1.3422,"18,595,600"
14 Oct 2024,1.4500,1.4500,1.4200,1.4400,1.3516,"15,064,900"
11 Oct 2024,1.4500,1.4600,1.4400,1.4400,1.3516,"7,599,300"
10 Oct 2024,1.4700,1.4800,1.4400,1.4500,1.3610,"12,800,700"
9 Oct 2024,1.4700,1.4800,1.4500,1.4700,1.3798,"10,918,700"
8 Oct 2024,1.5000,1.5000,1.4600,1.4700,1.3798,"17,886,700"
7 Oct 2024,1.5000,1.5100,1.4700,1.5000,1.4079,"17,522,900"
4 Oct 2024,1.5300,1.5400,1.5000,1.5100,1.4173,"18,670,300"
3 Oct 2024,1.5200,1.5400,1.5100,1.5300,1.4361,"18,835,000"
2 Oct 2024,1.5100,1.5300,1.5000,1.5200,1.4267,"24,611,300"
1 Oct 2024,1.4900,1.5300,1.4800,1.5200,1.4267,"23,874,400"
30 Sept 2024,1.5100,1.5100,1.4600,1.4800,1.3891,"20,797,200"
27 Sept 2024,1.4700,1.5100,1.4600,1.5000,1.4079,"33,012,500"
26 Sept 2024,1.4700,1.5000,1.4600,1.4600,1.3704,"26,042,100"
25 Sept 2024,1.4700,1.4800,1.4600,1.4700,1.3798,"18,216,700"
24 Sept 2024,1.4600,1.4800,1.4600,1.4600,1.3704,"21,100,500"
23 Sept 2024,1.4600,1.4700,1.4400,1.4600,1.3704,"9,177,700"
20 Sept 2024,1.5100,1.5100,1.4500,1.4500,1.3610,"34,044,600"
19 Sept 2024,1.4900,1.5100,1.4800,1.5100,1.4173,"20,902,000"
18 Sept 2024,1.5000,1.5100,1.4600,1.4700,1.3798,"20,973,600"
17 Sept 2024,1.4900,1.5300,1.4900,1.5000,1.4079,"27,584,800"
16 Sept 2024,1.4600,1.5000,1.4600,1.4800,1.3891,"23,038,400"
13 Sept 2024,1.4600,1.4700,1.4500,1.4500,1.3610,"16,839,900"
12 Sept 2024,1.4400,1.4700,1.4200,1.4500,1.3610,"22,142,900"
11 Sept 2024,1.4200,1.4500,1.4200,1.4300,1.3422,"9,531,900"
10 Sept 2024,1.4300,1.4300,1.4000,1.4200,1.3328,"7,815,300"
9 Sept 2024,1.4100,1.4300,1.3900,1.4100,1.3234,"14,161,700"
6 Sept 2024,1.3800,1.4300,1.3800,1.4100,1.3234,"32,637,200"
5 Sept 2024,1.3400,1.3800,1.3400,1.3800,1.2953,"21,858,000"
4 Sept 2024,1.3400,1.3500,1.3200,1.3400,1.2577,"15,754,700"
3 Sept 2024,1.3700,1.3700,1.3400,1.3500,1.2671,"12,992,200"
2 Sept 2024,1.3700,1.3700,1.3600,1.3700,1.2859,"5,805,100"
30 Aug 2024,1.3600,1.3800,1.3500,1.3700,1.2859,"19,356,800"
29 Aug 2024,1.3600,1.3700,1.3400,1.3600,1.2765,"12,522,200"
28 Aug 2024,1.3600,1.3700,1.3500,1.3600,1.2765,"17,167,400"
27 Aug 2024,1.3600,1.3700,1.3400,1.3500,1.2671,"17,531,800"
26 Aug 2024,1.3300,1.3800,1.3300,1.3600,1.2765,"20,738,200"
23 Aug 2024,1.3200,1.3300,1.3000,1.3200,1.2390,"10,489,000"
22 Aug 2024,1.3000,1.3300,1.2900,1.3200,1.2390,"17,149,500"
21 Aug 2024,1.2900,1.3100,1.2900,1.3000,1.2202,"12,064,100"
20 Aug 2024,1.2900,1.3100,1.2800,1.2900,1.2108,"17,986,700"
19 Aug 2024,1.2700,1.2900,1.2600,1.2800,1.2014,"12,798,900"
16 Aug 2024,1.2500,1.2800,1.2400,1.2700,1.1920,"24,337,100"
15 Aug 2024,1.2500,1.2600,1.2300,1.2400,1.1639,"11,115,100"
14 Aug 2024,1.2600,1.2700,1.2300,1.2500,1.1733,"11,887,200"
13 Aug 2024,1.2300,1.2600,1.2200,1.2400,1.1639,"13,444,900"
12 Aug 2024,1.2300,1.2400,1.2100,1.2200,1.1451,"13,770,900"
8 Aug 2024,1.2300,1.2500,1.2200,1.2300,1.1545,"14,162,100"
7 Aug 2024,1.2400,1.2600,1.2300,1.2400,1.1639,"13,272,700"
6 Aug 2024,0.0209 Dividend,,,,,
6 Aug 2024,1.2500,1.2600,1.2300,1.2300,1.1545,"18,182,700"
5 Aug 2024,1.2800,1.2800,1.2400,1.2700,1.1724,"29,709,500"
2 Aug 2024,1.2900,1.3200,1.2800,1.3000,1.2001,"18,722,800"
1 Aug 2024,1.2900,1.3200,1.2800,1.3000,1.2001,"18,557,100"
31 Jul 2024,1.2900,1.3000,1.2800,1.2800,1.1817,"16,696,200"
30 Jul 2024,1.3000,1.3000,1.2800,1.2900,1.1909,"5,093,600"
29 Jul 2024,1.3000,1.3000,1.2900,1.2900,1.1909,"2,828,500"
26 Jul 2024,1.2800,1.2900,1.2600,1.2800,1.1817,"6,566,100"
25 Jul 2024,1.3000,1.3000,1.2500,1.2700,1.1724,"27,636,300"
24 Jul 2024,1.3100,1.3200,1.3000,1.3100,1.2093,"7,210,500"
23 Jul 2024,1.3100,1.3300,1.3000,1.3200,1.2186,"11,923,900"
22 Jul 2024,1.3000,1.3100,1.3000,1.3100,1.2093,"5,914,900"
19 Jul 2024,1.3200,1.3300,1.3000,1.3100,1.2093,"15,064,000"
18 Jul 2024,1.3100,1.3300,1.3000,1.3300,1.2278,"14,620,800"
17 Jul 2024,1.3300,1.3400,1.3100,1.3200,1.2186,"13,447,200"
16 Jul 2024,1.3200,1.3300,1.3000,1.3200,1.2186,"12,718,900"
15 Jul 2024,1.3500,1.3600,1.3100,1.3300,1.2278,"20,928,200"
12 Jul 2024,1.2800,1.3500,1.2800,1.3400,1.2370,"46,240,700"
11 Jul 2024,1.2400,1.2800,1.2400,1.2700,1.1724,"22,917,900"
10 Jul 2024,1.2200,1.2400,1.2200,1.2300,1.1355,"5,186,400"
9 Jul 2024,1.2200,1.2300,1.2200,1.2200,1.1263,"5,815,300"
8 Jul 2024,1.2300,1.2400,1.2200,1.2200,1.1263,"6,960,400"
5 Jul 2024,1.2300,1.2400,1.2200,1.2300,1.1355,"3,815,300"
4 Jul 2024,1.2300,1.2500,1.2200,1.2300,1.1355,"17,480,800"
3 Jul 2024,1.2300,1.2400,1.2100,1.2200,1.1263,"14,783,700"
2 Jul 2024,1.2400,1.2500,1.2200,1.2300,1.1355,"10,296,500"
1 Jul 2024,1.2200,1.2600,1.2200,1.2400,1.1447,"21,860,100"
28 Jun 2024,1.2200,1.2300,1.2100,1.2200,1.1263,"12,668,000"
27 Jun 2024,1.2300,1.2300,1.2100,1.2200,1.1263,"14,786,400"
26 Jun 2024,1.2300,1.2400,1.2200,1.2300,1.1355,"5,900,900"
25 Jun 2024,1.2300,1.2400,1.2200,1.2400,1.1447,"7,716,400"
24 Jun 2024,1.2200,1.2400,1.2100,1.2300,1.1355,"13,269,700"
21 Jun 2024,1.2200,1.2400,1.2100,1.2200,1.1263,"31,516,400"
20 Jun 2024,1.2300,1.2300,1.2100,1.2100,1.1170,"5,451,200"
19 Jun 2024,1.2200,1.2400,1.2200,1.2300,1.1355,"8,252,300"
18 Jun 2024,1.2200,1.2400,1.2200,1.2200,1.1263,"10,433,800"
14 Jun 2024,1.2300,1.2300,1.2100,1.2200,1.1263,"15,207,300"
13 Jun 2024,1.2400,1.2500,1.2200,1.2300,1.1355,"15,089,400"
12 Jun 2024,1.2300,1.2400,1.2100,1.2200,1.1263,"10,881,600"
11 Jun 2024,1.2400,1.2400,1.2200,1.2200,1.1263,"14,117,300"
10 Jun 2024,1.2600,1.2600,1.2300,1.2300,1.1355,"10,991,953"
7 Jun 2024,1.2500,1.2700,1.2400,1.2600,1.1632,"12,872,600"
6 Jun 2024,1.2800,1.2800,1.2400,1.2500,1.1540,"22,263,500"
5 Jun 2024,1.2700,1.3000,1.2600,1.2700,1.1724,"19,873,500"
4 Jun 2024,1.2500,1.2800,1.2300,1.2600,1.1632,"36,076,900"
3 Jun 2024,1.2400,1.2800,1.2400,1.2500,1.1540,"72,849,124"
31 May 2024,1.2300,1.2700,1.2200,1.2200,1.1263,"261,546,400"
30 May 2024,1.2100,1.2300,1.2100,1.2200,1.1263,"22,615,900"
29 May 2024,1.2200,1.2300,1.2100,1.2200,1.1263,"21,579,000"
28 May 2024,1.2200,1.2400,1.2100,1.2300,1.1355,"14,968,300"
27 May 2024,1.2400,1.2400,1.2100,1.2300,1.1355,"17,769,200"
24 May 2024,1.2200,1.2500,1.2100,1.2400,1.1447,"21,122,600"
23 May 2024,1.2500,1.2500,1.2300,1.2300,1.1355,"13,197,000"
21 May 2024,1.2400,1.2500,1.2200,1.2500,1.1540,"26,229,100"
20 May 2024,1.2400,1.2600,1.2200,1.2600,1.1632,"22,730,600"
17 May 2024,1.2600,1.2700,1.2300,1.2500,1.1540,"18,887,600"
16 May 2024,1.2300,1.2800,1.2200,1.2700,1.1724,"36,272,200"
15 May 2024,1.2200,1.2200,1.1800,1.2200,1.1263,"33,055,400"
14 May 2024,1.2400,1.2500,1.2200,1.2400,1.1447,"15,805,700"
13 May 2024,1.2300,1.2500,1.2200,1.2300,1.1355,"13,661,400"
10 May 2024,1.2300,1.2400,1.2300,1.2400,1.1447,"6,727,200"
9 May 2024,1.2200,1.2300,1.2000,1.2300,1.1355,"13,254,800"
8 May 2024,1.2400,1.2400,1.2000,1.2200,1.1263,"25,710,700"
7 May 2024,1.2500,1.2600,1.2300,1.2400,1.1447,"12,434,700"
6 May 2024,1.2400,1.2500,1.2200,1.2400,1.1447,"21,107,000"
3 May 2024,1.2600,1.2700,1.2200,1.2200,1.1263,"17,300,400"
2 May 2024,0.0229 Dividend,,,,,
2 May 2024,1.2300,1.2600,1.2200,1.2600,1.1632,"22,109,200"
30 Apr 2024,1.2700,1.2800,1.2400,1.2600,1.1420,"22,099,500"
29 Apr 2024,1.2600,1.2700,1.2500,1.2700,1.1511,"9,901,700"
26 Apr 2024,1.2500,1.2600,1.2300,1.2600,1.1420,"18,093,400"
25 Apr 2024,1.2700,1.2700,1.2400,1.2600,1.1420,"13,333,200"
24 Apr 2024,1.2700,1.2800,1.2600,1.2800,1.1602,"16,018,800"
23 Apr 2024,1.2400,1.2600,1.2200,1.2500,1.1330,"23,475,300"
22 Apr 2024,1.2200,1.2600,1.2200,1.2300,1.1149,"16,350,000"
19 Apr 2024,1.2100,1.2200,1.1800,1.2100,1.0967,"23,801,200"
18 Apr 2024,1.2200,1.2400,1.2000,1.2100,1.0967,"22,605,500"
17 Apr 2024,1.2300,1.2500,1.2100,1.2200,1.1058,"33,630,300"
16 Apr 2024,1.2600,1.2600,1.2200,1.2400,1.1239,"34,323,200"
15 Apr 2024,1.3000,1.3100,1.2500,1.2600,1.1420,"35,308,300"
12 Apr 2024,1.3300,1.3500,1.3200,1.3200,1.1964,"10,872,700"
11 Apr 2024,1.3300,1.3500,1.3200,1.3300,1.2055,"22,338,400"
9 Apr 2024,1.3500,1.3800,1.3400,1.3600,1.2327,"18,209,700"
8 Apr 2024,1.3300,1.3600,1.3200,1.3400,1.2146,"17,077,100"
5 Apr 2024,1.3300,1.3400,1.3100,1.3400,1.2146,"10,305,300"
4 Apr 2024,1.3300,1.3500,1.3100,1.3400,1.2146,"12,139,200"
3 Apr 2024,1.3200,1.3300,1.2900,1.3200,1.1964,"17,564,700"
2 Apr 2024,1.3100,1.3400,1.3000,1.3200,1.1964,"22,062,000"
1 Apr 2024,1.2800,1.3200,1.2800,1.3100,1.1874,"14,511,000"
28 Mar 2024,1.2900,1.3100,1.2800,1.2800,1.1602,"17,161,600"
27 Mar 2024,1.2900,1.3000,1.2700,1.2900,1.1692,"18,991,505"
26 Mar 2024,1.2700,1.2900,1.2600,1.2900,1.1692,"18,959,600"
25 Mar 2024,1.2700,1.2900,1.2600,1.2700,1.1511,"14,954,100"
22 Mar 2024,1.2900,1.2900,1.2500,1.2700,1.1511,"19,868,900"
21 Mar 2024,1.2400,1.3000,1.2300,1.2900,1.1692,"30,635,600"
20 Mar 2024,1.2200,1.2400,1.2000,1.2200,1.1058,"24,708,100"
19 Mar 2024,1.2500,1.2600,1.2100,1.2200,1.1058,"29,804,000"
18 Mar 2024,1.2900,1.2900,1.2400,1.2600,1.1420,"26,296,000"
15 Mar 2024,1.3000,1.3100,1.2800,1.2800,1.1602,"19,452,200"
14 Mar 2024,1.3100,1.3200,1.2900,1.3100,1.1874,"14,653,300"
13 Mar 2024,1.3200,1.3200,1.3000,1.3100,1.1874,"4,856,600"
12 Mar 2024,1.3100,1.3400,1.3000,1.3200,1.1964,"16,675,100"
11 Mar 2024,1.3200,1.3300,1.3000,1.3200,1.1964,"11,740,300"
8 Mar 2024,1.3200,1.3400,1.3100,1.3300,1.2055,"16,273,000"
7 Mar 2024,1.3000,1.3200,1.2900,1.3100,1.1874,"11,983,700"
6 Mar 2024,1.3000,1.3300,1.2800,1.3000,1.1783,"20,463,000"
5 Mar 2024,1.3200,1.3200,1.2800,1.2900,1.1692,"20,012,500"
4 Mar 2024,1.3300,1.3500,1.3000,1.3000,1.1783,"20,224,500"
1 Mar 2024,1.3600,1.3600,1.3100,1.3200,1.1964,"20,483,500"
29 Feb 2024,1.3700,1.3700,1.3400,1.3500,1.2236,"20,597,000"
28 Feb 2024,1.3600,1.3700,1.3500,1.3600,1.2327,"12,170,500"
27 Feb 2024,1.3800,1.3900,1.3500,1.3700,1.2417,"12,118,100"
26 Feb 2024,1.3900,1.3900,1.3700,1.3800,1.2508,"6,726,500"
23 Feb 2024,1.4200,1.4200,1.3800,1.3900,1.2599,"7,537,700"
22 Feb 2024,1.3900,1.4200,1.3800,1.4100,1.2780,"6,618,100"
21 Feb 2024,1.3900,1.4200,1.3800,1.3900,1.2599,"12,768,900"
20 Feb 2024,1.4000,1.4100,1.3700,1.3900,1.2599,"13,629,300"
19 Feb 2024,1.4100,1.4300,1.3800,1.4100,1.2780,"10,530,200"
16 Feb 2024,1.3700,1.4200,1.3600,1.4100,1.2780,"15,019,500"
15 Feb 2024,1.3600,1.3800,1.3500,1.3800,1.2508,"11,215,700"
14 Feb 2024,1.3500,1.3700,1.3300,1.3600,1.2327,"16,304,700"
13 Feb 2024,1.3900,1.3900,1.3500,1.3700,1.2417,"13,317,500"
9 Feb 2024,1.3800,1.3900,1.3700,1.3900,1.2599,"4,625,400"
8 Feb 2024,1.4000,1.4100,1.3800,1.3900,1.2599,"5,132,600"
7 Feb 2024,1.3900,1.4100,1.3800,1.3900,1.2599,"13,537,100"
6 Feb 2024,1.3800,1.3900,1.3600,1.3800,1.2508,"12,276,100"
5 Feb 2024,0.022 Dividend,,,,,
5 Feb 2024,1.4300,1.4300,1.3700,1.3800,1.2508,"16,104,400"
2 Feb 2024,1.4400,1.4700,1.4400,1.4600,1.3034,"15,395,400"
1 Feb 2024,1.4400,1.4400,1.4000,1.4300,1.2766,"10,893,800"
31 Jan 2024,1.4400,1.4800,1.4300,1.4600,1.3034,"17,597,900"
30 Jan 2024,1.4000,1.4600,1.4000,1.4400,1.2855,"14,159,700"
29 Jan 2024,1.4100,1.4200,1.3900,1.3900,1.2409,"10,022,100"
26 Jan 2024,1.4200,1.4300,1.4000,1.4100,1.2587,"15,115,100"
25 Jan 2024,1.4600,1.4600,1.4200,1.4300,1.2766,"9,711,100"
24 Jan 2024,1.4400,1.4700,1.4400,1.4700,1.3123,"7,523,900"
23 Jan 2024,1.4500,1.4600,1.4400,1.4500,1.2945,"6,097,900"
22 Jan 2024,1.4600,1.4700,1.4400,1.4500,1.2945,"10,821,200"
19 Jan 2024,1.4600,1.4700,1.4400,1.4500,1.2945,"7,547,800"
18 Jan 2024,1.4500,1.4600,1.4400,1.4500,1.2945,"13,499,300"
17 Jan 2024,1.4900,1.5000,1.4400,1.4500,1.2945,"17,348,700"
16 Jan 2024,1.5000,1.5100,1.4800,1.5000,1.3391,"8,970,500"
15 Jan 2024,1.4900,1.5200,1.4900,1.5000,1.3391,"9,146,500"
12 Jan 2024,1.5100,1.5100,1.4900,1.5000,1.3391,"7,692,000"
11 Jan 2024,1.5200,1.5300,1.5100,1.5200,1.3569,"6,231,100"
10 Jan 2024,1.5200,1.5200,1.4900,1.5100,1.3480,"8,842,500"
9 Jan 2024,1.5100,1.5200,1.5000,1.5100,1.3480,"6,089,300"
8 Jan 2024,1.5100,1.5300,1.5000,1.5000,1.3391,"5,151,800"
5 Jan 2024,1.5100,1.5200,1.5000,1.5100,1.3480,"2,905,500"
4 Jan 2024,1.5400,1.5500,1.5000,1.5200,1.3569,"13,411,000"
3 Jan 2024,1.5400,1.5500,1.5200,1.5400,1.3748,"4,365,600"
2 Jan 2024,1.5700,1.5800,1.5400,1.5400,1.3748,"7,679,100"
29 Dec 2023,1.5700,1.5800,1.5600,1.5700,1.4016,"11,266,500"
28 Dec 2023,1.5300,1.5800,1.5200,1.5500,1.3837,"17,498,800"
27 Dec 2023,1.5100,1.5300,1.5100,1.5300,1.3659,"5,284,800"
26 Dec 2023,1.5100,1.5200,1.5000,1.5000,1.3391,"2,598,200"
22 Dec 2023,1.5000,1.5200,1.4900,1.5100,1.3480,"7,100,300"
21 Dec 2023,1.4900,1.5000,1.4700,1.4900,1.3302,"4,457,100"
20 Dec 2023,1.5000,1.5100,1.4900,1.4900,1.3302,"6,959,400"
19 Dec 2023,1.5000,1.5200,1.5000,1.5000,1.3391,"12,834,000"
18 Dec 2023,1.5000,1.5300,1.4700,1.5000,1.3391,"21,259,823"
15 Dec 2023,1.5000,1.5300,1.4900,1.5200,1.3569,"26,195,300"
14 Dec 2023,1.4500,1.5100,1.4500,1.4900,1.3302,"20,808,300"
13 Dec 2023,1.4200,1.4300,1.4100,1.4200,1.2677,"5,193,700"
12 Dec 2023,1.4300,1.4300,1.4100,1.4200,1.2677,"6,782,200"
11 Dec 2023,1.4300,1.4300,1.4100,1.4200,1.2677,"4,017,200"
8 Dec 2023,1.4100,1.4300,1.4100,1.4200,1.2677,"6,476,700"
7 Dec 2023,1.3900,1.4100,1.3800,1.4100,1.2587,"8,984,500"
6 Dec 2023,1.3800,1.4000,1.3600,1.4000,1.2498,"5,043,300"
5 Dec 2023,1.3800,1.3900,1.3700,1.3700,1.2230,"5,370,600"
