,2025-06-30,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Free Cash Flow,115067000.0,121862000.0,105712000.0,104206000.0,
Repayment Of Debt,-396842000.0,-61500000.0,-247384000.0,-240000000.0,
Issuance Of Debt,382275000.0,59500000.0,232587000.0,235000000.0,
Issuance Of Capital Stock,,,,0.0,99450000.0
Capital Expenditure,-10559000.0,-14737000.0,-17830000.0,-20079000.0,
End Cash Position,84458000.0,60574000.0,68302000.0,85663000.0,
Beginning Cash Position,60574000.0,68302000.0,85663000.0,108323000.0,
Effect Of Exchange Rate Changes,-1484000.0,-735000.0,-5210000.0,-4079000.0,
Changes In Cash,25368000.0,-6993000.0,-12151000.0,-18581000.0,
Financing Cash Flow,-132431000.0,-130682000.0,-137978000.0,-123159000.0,
Net Other Financing Charges,-3850000.0,-3861000.0,-3850000.0,-3850000.0,
Cash Dividends Paid,-70424000.0,-82892000.0,-80818000.0,-77364000.0,
Common Stock Dividend Paid,,-82892000.0,-80818000.0,-77364000.0,-53184000.0
Net Common Stock Issuance,,,,0.0,99450000.0
Common Stock Issuance,,,,0.0,99450000.0
Net Issuance Payments Of Debt,-14567000.0,-2000000.0,-14797000.0,-5000000.0,
Net Long Term Debt Issuance,-14567000.0,-2000000.0,-14797000.0,-5000000.0,
Long Term Debt Payments,-396842000.0,-61500000.0,-247384000.0,-240000000.0,
Long Term Debt Issuance,382275000.0,59500000.0,232587000.0,235000000.0,
Investing Cash Flow,32173000.0,-12910000.0,2285000.0,-19707000.0,
Interest Received Cfi,1834000.0,1827000.0,1673000.0,372000.0,
Net Investment Properties Purchase And Sale,40898000.0,0.0,18442000.0,0.0,
Sale Of Investment Properties,40898000.0,0.0,18442000.0,0.0,
Net PPE Purchase And Sale,,,0.0,-6000.0,0.0
Purchase Of PPE,,,0.0,-6000.0,0.0
Capital Expenditure Reported,-10559000.0,-14737000.0,-17830000.0,-20073000.0,
Operating Cash Flow,125626000.0,136599000.0,123542000.0,124285000.0,
Taxes Refund Paid,-5367000.0,-5821000.0,-5668000.0,-3146000.0,
Change In Working Capital,-2139000.0,8589000.0,-3229000.0,-3757000.0,
Change In Payable,-333000.0,10515000.0,-551000.0,-2422000.0,
Change In Receivables,-1806000.0,-1926000.0,-2678000.0,-1335000.0,
Other Non Cash Items,43317000.0,44289000.0,40990000.0,43126000.0,
Depreciation And Amortization,0.0,2000.0,10000.0,22000.0,
Depreciation,,2000.0,10000.0,22000.0,22000.0
Gain Loss On Investment Securities,-28178000.0,17105000.0,54355000.0,29634000.0,
Net Foreign Currency Exchange Gain Loss,529000.0,-396000.0,1291000.0,2358000.0,
Net Income From Continuing Operations,117464000.0,72831000.0,35793000.0,56048000.0,
