,2025-06-30,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,14506.24021,-50162.98005,668199.92736,801352.465744,
Tax Rate For Calcs,0.040634,0.086488,0.105328,0.040162,
Normalized EBITDA,159202000.0,116457000.0,68960000.0,73966000.0,
Total Unusual Items,357000.0,-580000.0,6344000.0,19953000.0,
Total Unusual Items Excluding Goodwill,357000.0,-580000.0,6344000.0,19953000.0,
Net Income From Continuing Operation Net Minority Interest,112691000.0,66532000.0,32023000.0,53797000.0,
Reconciled Depreciation,0.0,2000.0,10000.0,22000.0,
Reconciled Cost Of Revenue,62027000.0,59081000.0,58539000.0,60932000.0,
EBITDA,159559000.0,115877000.0,75304000.0,93919000.0,
EBIT,159559000.0,115875000.0,75294000.0,93897000.0,
Net Interest Income,-40255000.0,-41198000.0,-37794000.0,-37462000.0,
Interest Expense,42095000.0,43044000.0,39501000.0,37849000.0,
Interest Income,1840000.0,1846000.0,1707000.0,387000.0,
Normalized Income,112348506.24021,67061837.01995,26347199.92736,34645352.465744,
Net Income From Continuing And Discontinued Operation,112691000.0,66532000.0,32023000.0,53797000.0,
Total Expenses,62027000.0,59081000.0,58539000.0,60932000.0,
Rent Expense Supplemental,9009000.0,9351000.0,9104000.0,9148000.0,
Diluted Average Shares,,2258781581.0,2247771382.0,2229003487.0,2201954047.0
Basic Average Shares,,2258781581.0,2247771382.0,2229003487.0,2201954047.0
Diluted EPS,,0.0277,0.0125,0.0224,0.0247
Basic EPS,,0.0277,0.0125,0.0224,0.0247
Diluted NI Availto Com Stockholders,108841000.0,62671000.0,28173000.0,49947000.0,
Net Income Common Stockholders,108841000.0,62671000.0,28173000.0,49947000.0,
Otherunder Preferred Stock Dividend,-21021000.0,22035000.0,60772000.0,39832000.0,
Net Income,87820000.0,84706000.0,88945000.0,89779000.0,
Net Income Including Noncontrolling Interests,87820000.0,84706000.0,88945000.0,89779000.0,
Net Income Extraordinary,-24871000.0,18174000.0,56922000.0,35982000.0,
Net Income Continuous Operations,112691000.0,66532000.0,32023000.0,53797000.0,
Tax Provision,4773000.0,6299000.0,3770000.0,2251000.0,
Pretax Income,117464000.0,72831000.0,35793000.0,56048000.0,
Special Income Charges,,,,0.0,0.0
Write Off,,,,0.0,0.0
Net Non Operating Interest Income Expense,-40255000.0,-41198000.0,-37794000.0,-37462000.0,
Total Other Finance Cost,,,1210000.0,1452000.0,1855000.0
Interest Expense Non Operating,42095000.0,43044000.0,39501000.0,37849000.0,
Interest Income Non Operating,1840000.0,1846000.0,1707000.0,387000.0,
Operating Income,130070000.0,130738000.0,129233000.0,125502000.0,
Operating Expense,,,3790000.0,3920000.0,3924000.0
Other Operating Expenses,,,3021000.0,3120000.0,3108000.0
Selling General And Administration,,,769000.0,800000.0,816000.0
General And Administrative Expense,,,769000.0,800000.0,816000.0
Gross Profit,130070000.0,130738000.0,129233000.0,125502000.0,
Cost Of Revenue,62027000.0,59081000.0,58539000.0,60932000.0,
Total Revenue,192097000.0,189819000.0,187772000.0,186434000.0,
Operating Revenue,192097000.0,189819000.0,187772000.0,186434000.0,
