Date,Open,High,Low,Close,Adj,Volume
31 Dec 2024,0.4950,0.5050,0.4950,0.5000,0.4824,"1,238,400"
30 Dec 2024,0.5000,0.5000,0.4950,0.5000,0.4824,"419,300"
27 Dec 2024,0.4900,0.5000,0.4900,0.5000,0.4824,"676,700"
26 Dec 2024,0.4950,0.4950,0.4850,0.4900,0.4727,"1,407,500"
24 Dec 2024,0.4850,0.4950,0.4850,0.4950,0.4775,"186,500"
23 Dec 2024,0.4900,0.4950,0.4850,0.4900,0.4727,"1,890,200"
20 Dec 2024,0.4900,0.4950,0.4850,0.4850,0.4679,"5,260,100"
19 Dec 2024,0.4900,0.4950,0.4850,0.4950,0.4775,"1,733,000"
18 Dec 2024,0.4900,0.4950,0.4900,0.4900,0.4727,"784,900"
17 Dec 2024,0.4900,0.4950,0.4900,0.4950,0.4775,"1,074,200"
16 Dec 2024,0.4950,0.4950,0.4900,0.4900,0.4727,"1,034,400"
13 Dec 2024,0.4950,0.5000,0.4900,0.4950,0.4775,"917,000"
12 Dec 2024,0.4950,0.5000,0.4900,0.4950,0.4775,"2,694,000"
11 Dec 2024,0.4950,0.5000,0.4950,0.4950,0.4775,"1,313,600"
10 Dec 2024,0.5000,0.5000,0.4950,0.5000,0.4824,"1,128,200"
9 Dec 2024,0.5000,0.5000,0.4950,0.5000,0.4824,"2,279,100"
6 Dec 2024,0.4950,0.5000,0.4950,0.4950,0.4775,"1,272,600"
5 Dec 2024,0.4950,0.5000,0.4950,0.4950,0.4775,"439,000"
4 Dec 2024,0.5000,0.5050,0.4950,0.4950,0.4775,"1,148,200"
3 Dec 2024,0.5000,0.5050,0.4950,0.5000,0.4824,"1,178,100"
2 Dec 2024,0.5000,0.5050,0.4950,0.5000,0.4824,"1,108,400"
29 Nov 2024,0.4950,0.5000,0.4950,0.5000,0.4824,"911,629"
28 Nov 2024,0.5000,0.5050,0.4950,0.4950,0.4775,"1,592,400"
27 Nov 2024,0.4950,0.5000,0.4950,0.5000,0.4824,"872,700"
26 Nov 2024,0.4950,0.4950,0.4900,0.4950,0.4775,"1,466,600"
25 Nov 2024,0.4950,0.5000,0.4900,0.4900,0.4727,"2,698,400"
22 Nov 2024,0.4950,0.5000,0.4950,0.4950,0.4775,"1,234,100"
21 Nov 2024,0.5000,0.5000,0.4950,0.5000,0.4824,"678,400"
20 Nov 2024,0.4950,0.5000,0.4950,0.4950,0.4775,"733,600"
19 Nov 2024,0.4950,0.5000,0.4950,0.4950,0.4775,"747,500"
18 Nov 2024,0.4950,0.5050,0.4950,0.5000,0.4824,"936,900"
15 Nov 2024,0.4950,0.5000,0.4950,0.4950,0.4775,"610,600"
14 Nov 2024,0.5000,0.5050,0.4950,0.5000,0.4824,"989,500"
13 Nov 2024,0.5050,0.5100,0.4950,0.5000,0.4824,"943,700"
12 Nov 2024,0.4950,0.5050,0.4950,0.5050,0.4872,"1,546,300"
11 Nov 2024,0.5000,0.5000,0.4950,0.4950,0.4775,"331,100"
8 Nov 2024,0.5000,0.5050,0.4950,0.4950,0.4775,"1,691,500"
7 Nov 2024,0.5050,0.5050,0.4900,0.5000,0.4824,"4,004,500"
6 Nov 2024,0.5050,0.5100,0.5000,0.5050,0.4872,"1,240,400"
5 Nov 2024,0.5100,0.5150,0.5050,0.5100,0.4920,"2,197,400"
4 Nov 2024,0.5050,0.5150,0.5050,0.5100,0.4920,"1,879,100"
1 Nov 2024,0.5100,0.5150,0.5050,0.5050,0.4872,"2,767,300"
30 Oct 2024,0.5050,0.5100,0.5050,0.5100,0.4920,"1,080,600"
29 Oct 2024,0.5050,0.5100,0.5000,0.5050,0.4872,"806,300"
28 Oct 2024,0.5050,0.5100,0.5000,0.5050,0.4872,"687,000"
25 Oct 2024,0.5200,0.5200,0.5000,0.5100,0.4920,"2,936,500"
24 Oct 2024,0.5200,0.5250,0.5150,0.5200,0.5016,"1,160,400"
23 Oct 2024,0.5250,0.5300,0.5200,0.5200,0.5016,"1,226,200"
22 Oct 2024,0.5250,0.5300,0.5200,0.5250,0.5065,"1,167,400"
21 Oct 2024,0.5300,0.5300,0.5250,0.5300,0.5113,"792,700"
