Date,Open,High,Low,Close,Adj,Volume
31 Dec 2024,0.6150,0.6200,0.6100,0.6100,0.5668,"953,700"
30 Dec 2024,0.6050,0.6150,0.6050,0.6150,0.5714,"485,200"
27 Dec 2024,0.6050,0.6100,0.6050,0.6050,0.5621,"410,900"
26 Dec 2024,0.6050,0.6100,0.6000,0.6050,0.5621,"811,500"
24 Dec 2024,0.6050,0.6100,0.6000,0.6000,0.5575,"496,000"
23 Dec 2024,0.6000,0.6050,0.6000,0.6000,0.5575,"947,000"
20 Dec 2024,0.6050,0.6100,0.5950,0.5950,0.5528,"4,993,600"
19 Dec 2024,0.6050,0.6100,0.6000,0.6100,0.5668,"1,500,500"
18 Dec 2024,0.6100,0.6100,0.6050,0.6050,0.5621,"1,893,400"
17 Dec 2024,0.6100,0.6150,0.6050,0.6100,0.5668,"822,300"
16 Dec 2024,0.6200,0.6250,0.6050,0.6050,0.5621,"2,527,400"
13 Dec 2024,0.6150,0.6200,0.6150,0.6150,0.5714,"68,500"
12 Dec 2024,0.6250,0.6250,0.6150,0.6150,0.5714,"557,100"
11 Dec 2024,0.6150,0.6250,0.6100,0.6200,0.5761,"2,638,400"
10 Dec 2024,0.6150,0.6200,0.6100,0.6150,0.5714,"931,500"
9 Dec 2024,0.6200,0.6200,0.6150,0.6150,0.5714,"645,500"
6 Dec 2024,0.6200,0.6200,0.6150,0.6200,0.5761,"713,900"
5 Dec 2024,0.6250,0.6250,0.6150,0.6200,0.5761,"641,500"
4 Dec 2024,0.6200,0.6250,0.6200,0.6250,0.5807,"406,100"
3 Dec 2024,0.6200,0.6200,0.6150,0.6200,0.5761,"260,700"
2 Dec 2024,0.6200,0.6200,0.6150,0.6150,0.5714,"422,600"
29 Nov 2024,0.6200,0.6200,0.6150,0.6150,0.5714,"370,700"
28 Nov 2024,0.6200,0.6200,0.6150,0.6200,0.5761,"216,000"
27 Nov 2024,0.6150,0.6200,0.6150,0.6200,0.5761,"268,900"
26 Nov 2024,0.6100,0.6200,0.6100,0.6200,0.5761,"885,200"
25 Nov 2024,0.6150,0.6200,0.6100,0.6100,0.5668,"1,041,900"
22 Nov 2024,0.6100,0.6150,0.6100,0.6100,0.5668,"564,500"
21 Nov 2024,0.6150,0.6200,0.6100,0.6100,0.5668,"392,500"
20 Nov 2024,0.6250,0.6250,0.6150,0.6150,0.5714,"938,200"
19 Nov 2024,0.6150,0.6250,0.6100,0.6150,0.5714,"1,234,000"
18 Nov 2024,0.6100,0.6150,0.6050,0.6150,0.5714,"1,207,900"
15 Nov 2024,0.6050,0.6100,0.6000,0.6100,0.5668,"869,700"
14 Nov 2024,0.6100,0.6100,0.6000,0.6050,0.5621,"1,077,700"
13 Nov 2024,0.6150,0.6150,0.6050,0.6100,0.5668,"1,662,100"
12 Nov 2024,0.6100,0.6200,0.6050,0.6100,0.5668,"1,076,200"
11 Nov 2024,0.6150,0.6150,0.6100,0.6100,0.5668,"713,500"
8 Nov 2024,0.6150,0.6200,0.6100,0.6100,0.5668,"1,092,300"
7 Nov 2024,0.6150,0.6150,0.6000,0.6100,0.5668,"1,694,500"
6 Nov 2024,0.6100,0.6150,0.6050,0.6100,0.5668,"1,253,200"
5 Nov 2024,0.6250,0.6250,0.6150,0.6150,0.5714,"1,248,600"
4 Nov 2024,0.6250,0.6250,0.6200,0.6250,0.5807,"369,600"
1 Nov 2024,0.6250,0.6250,0.6200,0.6250,0.5807,"644,600"
30 Oct 2024,0.6250,0.6300,0.6200,0.6200,0.5761,"1,365,600"
29 Oct 2024,0.6200,0.6300,0.6200,0.6250,0.5807,"856,400"
28 Oct 2024,0.6200,0.6250,0.6150,0.6250,0.5807,"440,300"
25 Oct 2024,0.6250,0.6250,0.6200,0.6250,0.5807,"429,300"
24 Oct 2024,0.6250,0.6250,0.6200,0.6250,0.5807,"558,900"
23 Oct 2024,0.6300,0.6350,0.6200,0.6200,0.5761,"2,184,700"
22 Oct 2024,0.6400,0.6400,0.6300,0.6300,0.5854,"822,400"
21 Oct 2024,0.6400,0.6400,0.6350,0.6350,0.5900,"717,000"
18 Oct 2024,0.6400,0.6400,0.6350,0.6400,0.5947,"322,300"
17 Oct 2024,0.6350,0.6400,0.6300,0.6400,0.5947,"764,700"
16 Oct 2024,0.6350,0.6350,0.6300,0.6350,0.5900,"621,200"
15 Oct 2024,0.6400,0.6400,0.6250,0.6350,0.5900,"1,022,500"
14 Oct 2024,0.6350,0.6400,0.6300,0.6350,0.5900,"700,200"
11 Oct 2024,0.6450,0.6450,0.6350,0.6350,0.5900,"620,800"
10 Oct 2024,0.6450,0.6500,0.6400,0.6400,0.5947,"298,100"
9 Oct 2024,0.6350,0.6500,0.6350,0.6450,0.5993,"526,400"
8 Oct 2024,0.6450,0.6450,0.6400,0.6400,0.5947,"1,206,700"
7 Oct 2024,0.6500,0.6500,0.6400,0.6450,0.5993,"411,800"
4 Oct 2024,0.6500,0.6500,0.6400,0.6500,0.6039,"1,109,900"
3 Oct 2024,0.6500,0.6500,0.6400,0.6450,0.5993,"752,300"
2 Oct 2024,0.6450,0.6500,0.6450,0.6500,0.6039,"599,800"
1 Oct 2024,0.6450,0.6500,0.6400,0.6500,0.6039,"742,300"
30 Sept 2024,0.6500,0.6500,0.6400,0.6400,0.5947,"2,446,900"
27 Sept 2024,0.6500,0.6500,0.6450,0.6450,0.5993,"564,700"
26 Sept 2024,0.6400,0.6500,0.6400,0.6500,0.6039,"884,400"
25 Sept 2024,0.6450,0.6450,0.6400,0.6400,0.5947,"302,900"
24 Sept 2024,0.6450,0.6500,0.6400,0.6400,0.5947,"857,000"
23 Sept 2024,0.6450,0.6450,0.6400,0.6400,0.5947,"1,001,100"
20 Sept 2024,0.6550,0.6550,0.6400,0.6400,0.5947,"2,426,600"
19 Sept 2024,0.6550,0.6550,0.6450,0.6500,0.6039,"862,500"
18 Sept 2024,0.6550,0.6550,0.6450,0.6500,0.6039,"1,288,900"
17 Sept 2024,0.6450,0.6550,0.6400,0.6550,0.6086,"2,162,100"
