Date,Open,High,Low,Close,Adj,Volume
31 Dec 2024,0.8800,0.8850,0.8750,0.8800,0.8594,"927,200"
30 Dec 2024,0.8700,0.8800,0.8700,0.8750,0.8545,"645,500"
27 Dec 2024,0.8700,0.8750,0.8650,0.8700,0.8496,"286,000"
26 Dec 2024,0.8650,0.8700,0.8650,0.8700,0.8496,"208,700"
24 Dec 2024,0.8650,0.8700,0.8650,0.8650,0.8447,"28,900"
23 Dec 2024,0.8650,0.8700,0.8600,0.8600,0.8399,"629,400"
20 Dec 2024,0.8700,0.8700,0.8600,0.8600,0.8399,"1,136,600"
19 Dec 2024,0.8600,0.8700,0.8600,0.8650,0.8447,"1,193,400"
18 Dec 2024,0.8700,0.8700,0.8650,0.8650,0.8447,"626,900"
17 Dec 2024,0.8650,0.8750,0.8650,0.8700,0.8496,"666,500"
16 Dec 2024,0.8750,0.8800,0.8650,0.8650,0.8447,"1,264,900"
13 Dec 2024,0.8800,0.8850,0.8700,0.8750,0.8545,"941,200"
12 Dec 2024,0.8950,0.8950,0.8750,0.8750,0.8545,"1,439,600"
11 Dec 2024,0.8750,0.8950,0.8750,0.8900,0.8692,"1,342,500"
10 Dec 2024,0.8950,0.8950,0.8750,0.8750,0.8545,"791,500"
9 Dec 2024,0.8750,0.9000,0.8700,0.8950,0.8740,"3,453,900"
6 Dec 2024,0.8750,0.8800,0.8700,0.8750,0.8545,"583,200"
5 Dec 2024,0.8700,0.8750,0.8700,0.8700,0.8496,"511,000"
4 Dec 2024,0.8700,0.8750,0.8700,0.8700,0.8496,"650,600"
3 Dec 2024,0.8700,0.8700,0.8650,0.8700,0.8496,"193,300"
2 Dec 2024,0.8600,0.8700,0.8600,0.8700,0.8496,"488,800"
29 Nov 2024,0.8650,0.8700,0.8600,0.8600,0.8399,"666,936"
28 Nov 2024,0.8700,0.8700,0.8650,0.8650,0.8447,"598,100"
27 Nov 2024,0.8750,0.8750,0.8700,0.8700,0.8496,"310,400"
26 Nov 2024,0.8750,0.8800,0.8700,0.8800,0.8594,"846,700"
25 Nov 2024,0.8700,0.8850,0.8700,0.8700,0.8496,"2,488,000"
22 Nov 2024,0.8650,0.8750,0.8650,0.8650,0.8447,"832,100"
21 Nov 2024,0.8650,0.8750,0.8650,0.8700,0.8496,"487,700"
20 Nov 2024,0.8750,0.8800,0.8650,0.8650,0.8447,"1,412,300"
19 Nov 2024,0.8650,0.8750,0.8650,0.8700,0.8496,"1,144,600"
18 Nov 2024,0.8750,0.8750,0.8650,0.8700,0.8496,"546,400"
15 Nov 2024,0.8600,0.8700,0.8600,0.8700,0.8496,"304,200"
14 Nov 2024,0.8750,0.8750,0.8600,0.8700,0.8496,"243,700"
13 Nov 2024,0.8650,0.8700,0.8600,0.8650,0.8447,"390,700"
12 Nov 2024,0.8650,0.8750,0.8650,0.8700,0.8496,"336,000"
11 Nov 2024,0.8600,0.8750,0.8600,0.8650,0.8447,"807,800"
8 Nov 2024,0.8600,0.8700,0.8550,0.8550,0.8350,"1,837,300"
7 Nov 2024,0.8650,0.8700,0.8500,0.8550,0.8350,"2,973,400"
6 Nov 2024,0.8700,0.8750,0.8600,0.8650,0.8447,"1,863,700"
5 Nov 2024,0.8700,0.8800,0.8650,0.8700,0.8496,"1,435,000"
4 Nov 2024,0.8800,0.8850,0.8700,0.8700,0.8496,"902,300"
1 Nov 2024,0.8700,0.8800,0.8700,0.8800,0.8594,"941,600"
30 Oct 2024,0.8800,0.8800,0.8700,0.8750,0.8545,"1,345,700"
29 Oct 2024,0.8750,0.8800,0.8700,0.8750,0.8545,"690,500"
28 Oct 2024,0.8850,0.8850,0.8750,0.8750,0.8545,"1,125,800"
25 Oct 2024,0.9000,0.9050,0.8850,0.8850,0.8643,"1,158,400"
24 Oct 2024,0.8950,0.9100,0.8950,0.9000,0.8789,"840,800"
23 Oct 2024,0.9000,0.9050,0.8950,0.8950,0.8740,"1,131,900"
22 Oct 2024,0.9050,0.9100,0.9000,0.9000,0.8789,"918,100"
21 Oct 2024,0.9100,0.9150,0.9050,0.9150,0.8936,"788,300"
18 Oct 2024,0.9050,0.9100,0.9050,0.9100,0.8887,"544,700"
17 Oct 2024,0.9100,0.9100,0.9050,0.9050,0.8838,"226,300"
16 Oct 2024,0.9000,0.9100,0.8950,0.9000,0.8789,"901,400"
15 Oct 2024,0.9050,0.9100,0.8950,0.8950,0.8740,"589,200"
14 Oct 2024,0.9000,0.9100,0.8950,0.9100,0.8887,"334,900"
11 Oct 2024,0.9050,0.9050,0.8950,0.8950,0.8740,"1,000,200"
10 Oct 2024,0.9050,0.9050,0.8950,0.9050,0.8838,"686,300"
9 Oct 2024,0.9000,0.9100,0.9000,0.9050,0.8838,"1,041,600"
8 Oct 2024,0.9200,0.9200,0.8950,0.8950,0.8740,"1,876,400"
7 Oct 2024,0.9150,0.9200,0.9050,0.9100,0.8887,"1,412,600"
4 Oct 2024,0.9250,0.9300,0.9150,0.9150,0.8936,"1,626,400"
3 Oct 2024,0.9350,0.9400,0.9250,0.9300,0.9082,"1,492,700"
2 Oct 2024,0.9200,0.9400,0.9200,0.9400,0.9180,"2,641,100"
1 Oct 2024,0.9200,0.9450,0.9100,0.9300,0.9082,"4,092,900"
30 Sept 2024,0.9050,0.9250,0.9000,0.9200,0.8985,"4,180,100"
27 Sept 2024,0.9000,0.9050,0.8950,0.9000,0.8789,"2,811,200"
26 Sept 2024,0.8800,0.8950,0.8750,0.8950,0.8740,"4,553,300"
25 Sept 2024,0.8750,0.8850,0.8700,0.8750,0.8545,"4,738,600"
24 Sept 2024,0.8650,0.8800,0.8650,0.8700,0.8496,"3,197,900"
23 Sept 2024,0.8650,0.8700,0.8600,0.8650,0.8447,"2,876,000"
20 Sept 2024,0.8750,0.8750,0.8600,0.8700,0.8496,"19,672,800"
19 Sept 2024,0.8700,0.8750,0.8650,0.8750,0.8545,"7,343,700"
18 Sept 2024,0.8750,0.8800,0.8650,0.8650,0.8447,"5,371,500"
17 Sept 2024,0.8650,0.8800,0.8600,0.8750,0.8545,"6,424,400"
16 Sept 2024,0.8650,0.8650,0.8600,0.8650,0.8447,"1,615,800"
