,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,28494.908513,-1420852.60731,2067213.92848,3769009.448327,
Tax Rate For Calcs,0.011794,0.039013,0.031605,0.048551,
Normalized EBITDA,302908000.0,402894000.0,585625000.0,547678000.0,
Total Unusual Items,2416000.0,-36420000.0,65407000.0,77630000.0,
Total Unusual Items Excluding Goodwill,2416000.0,-36420000.0,65407000.0,77630000.0,
Net Income From Continuing Operation Net Minority Interest,126778000.0,185384000.0,476811000.0,476439000.0,
Reconciled Depreciation,611000.0,621000.0,680000.0,786000.0,
Reconciled Cost Of Revenue,155157000.0,151351000.0,113632000.0,107750000.0,
EBITDA,305324000.0,366474000.0,651032000.0,625308000.0,
EBIT,365853000.0,304713000.0,650352000.0,624522000.0,
Net Interest Income,-156464000.0,-151941000.0,-104998000.0,-84346000.0,
Interest Expense,166934000.0,161562000.0,136484000.0,108981000.0,
Interest Income,19261000.0,21116000.0,39204000.0,33107000.0,
Normalized Income,124390494.908513,220383147.39269,413471213.92848,402578009.448327,
Net Income From Continuing And Discontinued Operation,126778000.0,185384000.0,476811000.0,476439000.0,
Total Expenses,221910000.0,220271000.0,178645000.0,167515000.0,
Diluted Average Shares,2928194000.0,2904017000.0,2882507000.0,2889930000.0,
Basic Average Shares,2915714000.0,2891890000.0,2871803000.0,2845341000.0,
Diluted EPS,0.03851,0.05902,0.16057,0.16142,
Basic EPS,0.03867,0.05927,0.16117,0.16355,
Diluted NI Availto Com Stockholders,112765000.0,171409000.0,462836000.0,466502000.0,
Average Dilution Earnings,,,0.0,1156000.0,0.0
Net Income Common Stockholders,112765000.0,171409000.0,462836000.0,465346000.0,
Otherunder Preferred Stock Dividend,14013000.0,13975000.0,13975000.0,11093000.0,
Net Income,126778000.0,185384000.0,476811000.0,476439000.0,
Minority Interests,-9376000.0,-10937000.0,-20816000.0,-14072000.0,
Net Income Including Noncontrolling Interests,136154000.0,196321000.0,497627000.0,490511000.0,
Net Income Continuous Operations,136154000.0,196321000.0,497627000.0,490511000.0,
Tax Provision,1625000.0,7970000.0,16241000.0,25030000.0,
Pretax Income,137779000.0,204291000.0,513868000.0,515541000.0,
Other Non Operating Income Expenses,1165000.0,5961000.0,8097000.0,14860000.0,
Special Income Charges,14992000.0,9800000.0,0.0,27816000.0,
Other Special Charges,-14992000.0,-9800000.0,,-27816000.0,
Write Off,,,-108000.0,-2347000.0,4253000.0
Restructuring And Mergern Acquisition,,,7718000.0,8472000.0,26589000.0
Net Non Operating Interest Income Expense,-156464000.0,-151941000.0,-104998000.0,-84346000.0,
Total Other Finance Cost,8791000.0,11495000.0,7718000.0,8472000.0,
Interest Expense Non Operating,166934000.0,161562000.0,136484000.0,108981000.0,
Interest Income Non Operating,19261000.0,21116000.0,39204000.0,33107000.0,
Operating Income,241646000.0,242468000.0,248624000.0,190554000.0,
Operating Expense,66753000.0,68920000.0,65013000.0,59765000.0,
Other Operating Expenses,2108000.0,2410000.0,1747000.0,-225000.0,
Selling General And Administration,64645000.0,66510000.0,63266000.0,59990000.0,
General And Administrative Expense,64645000.0,66510000.0,63266000.0,59990000.0,
Gross Profit,308399000.0,311388000.0,313637000.0,250319000.0,
Cost Of Revenue,155157000.0,151351000.0,113632000.0,107750000.0,
Total Revenue,463556000.0,462739000.0,427269000.0,358069000.0,
Operating Revenue,463556000.0,462739000.0,427269000.0,358069000.0,
