,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,172330000.0,202779000.0,135728000.0,109902000.0,
Repurchase Of Capital Stock,,,0.0,-155000000.0,
Repayment Of Debt,-1073250000.0,-444882000.0,-1320985000.0,-1630035000.0,
Issuance Of Debt,1119607000.0,446882000.0,1383000000.0,914973000.0,
Capital Expenditure,-25832000.0,-10608000.0,-47806000.0,-56899000.0,
End Cash Position,361670000.0,54225000.0,49482000.0,59549000.0,
Beginning Cash Position,54225000.0,49482000.0,59549000.0,88508000.0,
Effect Of Exchange Rate Changes,-491000.0,-1158000.0,-3633000.0,2368000.0,
Changes In Cash,307936000.0,5901000.0,-6434000.0,-31327000.0,
Financing Cash Flow,-175688000.0,-208944000.0,-159120000.0,-1100651000.0,
Interest Paid Cff,-93293000.0,-85296000.0,-65289000.0,-66487000.0,
Cash Dividends Paid,-110414000.0,-116632000.0,-135822000.0,-147866000.0,
Preferred Stock Dividend Paid,-2203000.0,-2200000.0,-2200000.0,-3358000.0,
Common Stock Dividend Paid,-108211000.0,-114432000.0,-133622000.0,-144508000.0,
Net Preferred Stock Issuance,,,0.0,-155000000.0,
Preferred Stock Payments,,,0.0,-155000000.0,
Net Issuance Payments Of Debt,46357000.0,2000000.0,62015000.0,-715062000.0,
Net Long Term Debt Issuance,46357000.0,2000000.0,62015000.0,-715062000.0,
Long Term Debt Payments,-1073250000.0,-444882000.0,-1320985000.0,-1630035000.0,
Long Term Debt Issuance,1119607000.0,446882000.0,1383000000.0,914973000.0,
Investing Cash Flow,285462000.0,1458000.0,-30848000.0,902523000.0,
Interest Received Cfi,2803000.0,3404000.0,1305000.0,729000.0,
Dividends Received Cfi,9031000.0,8662000.0,15653000.0,8058000.0,
Net Investment Properties Purchase And Sale,,,0.0,950634000.0,0.0
Sale Of Investment Properties,,,0.0,950634000.0,0.0
Net Business Purchase And Sale,299460000.0,0.0,,,
Sale Of Business,299460000.0,0.0,,,
Net PPE Purchase And Sale,-3000.0,-40000.0,-167000.0,-2000.0,
Sale Of PPE,,,0.0,1000.0,0.0
Purchase Of PPE,-3000.0,-40000.0,-167000.0,-3000.0,
Capital Expenditure Reported,-25829000.0,-10568000.0,-47639000.0,-56896000.0,
Operating Cash Flow,198162000.0,213387000.0,183534000.0,166801000.0,
Taxes Refund Paid,-11750000.0,-11253000.0,-11615000.0,-15749000.0,
Change In Working Capital,-5740000.0,2858000.0,1065000.0,-15588000.0,
Change In Payable,-7328000.0,3997000.0,124000.0,-12502000.0,
Change In Receivables,1588000.0,-1139000.0,941000.0,-3086000.0,
Other Non Cash Items,112682000.0,117980000.0,62695000.0,81147000.0,
Provisionand Write Offof Assets,412000.0,-162000.0,97000.0,-1118000.0,
Deferred Tax,11892000.0,2479000.0,11191000.0,14061000.0,
Depreciation And Amortization,61000.0,66000.0,3834000.0,5082000.0,
Amortization Cash Flow,,0.0,3750000.0,5000000.0,5000000.0
Depreciation,61000.0,66000.0,84000.0,82000.0,
Gain Loss On Investment Securities,153570000.0,-87474000.0,-139727000.0,56284000.0,
Gain Loss On Sale Of PPE,,-162000.0,2000.0,10000.0,0.0
Gain Loss On Sale Of Business,26427000.0,0.0,,,
Net Income From Continuing Operations,-58908000.0,205779000.0,287683000.0,55907000.0,
