,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,580102394.0,576861944.0,569199000.0,567342000.0,
Share Issued,580102394.0,576861944.0,569199000.0,567342000.0,
Net Debt,290175000.0,303628000.0,273729000.0,317156000.0,
Total Debt,323262000.0,325021000.0,325872000.0,338135000.0,
Tangible Book Value,423484000.0,427106000.0,459182000.0,399246000.0,
Invested Capital,745657000.0,751234000.0,784005000.0,336309000.0,
Working Capital,-52617000.0,13242000.0,36956000.0,-3413000.0,
Net Tangible Assets,423484000.0,427106000.0,459182000.0,399246000.0,
Capital Lease Obligations,1512000.0,1342000.0,1523000.0,1826000.0,
Common Stock Equity,423907000.0,427555000.0,459656000.0,399745000.0,
Total Capitalization,670657000.0,751234000.0,784005000.0,726054000.0,
Total Equity Gross Minority Interest,423907000.0,427555000.0,459656000.0,399745000.0,
Stockholders Equity,423907000.0,427555000.0,459656000.0,399745000.0,
Fixed Assets Revaluation Reserve,166189000.0,143350000.0,140003000.0,,
Capital Stock,446674000.0,451008000.0,468030000.0,,
Common Stock,446674000.0,451008000.0,468030000.0,,
Total Liabilities Net Minority Interest,357038000.0,364289000.0,366733000.0,364331000.0,
Total Non Current Liabilities Net Minority Interest,266290000.0,345031000.0,347145000.0,336209000.0,
Derivative Product Liabilities,0.0,1294000.0,0.0,7310000.0,
Tradeand Other Payables Non Current,125000.0,125000.0,125000.0,125000.0,
Non Current Deferred Taxes Liabilities,18161000.0,18786000.0,21405000.0,920000.0,
Long Term Debt And Capital Lease Obligation,248004000.0,324826000.0,325615000.0,327854000.0,
Long Term Capital Lease Obligation,1254000.0,1147000.0,1266000.0,1545000.0,
Long Term Debt,246750000.0,323679000.0,324349000.0,326309000.0,
Current Liabilities,90748000.0,19258000.0,19588000.0,28122000.0,
Current Debt And Capital Lease Obligation,75258000.0,195000.0,257000.0,10281000.0,
Current Capital Lease Obligation,258000.0,195000.0,257000.0,281000.0,
Current Debt,75000000.0,0.0,0.0,10000000.0,
Payables,15490000.0,19063000.0,19331000.0,17841000.0,
Other Payable,,,,,373000.0
Total Tax Payable,622000.0,522000.0,322000.0,172000.0,
Accounts Payable,14868000.0,18541000.0,19009000.0,17669000.0,
Total Assets,780945000.0,791844000.0,826389000.0,764076000.0,
Total Non Current Assets,742814000.0,759344000.0,769845000.0,739367000.0,
Non Current Deferred Taxes Assets,12380000.0,13868000.0,12751000.0,14396000.0,
Financial Assets,585000.0,0.0,7349000.0,0.0,
Investment Properties,0.0,0.0,0.0,0.0,
Goodwill And Other Intangible Assets,423000.0,449000.0,474000.0,499000.0,
Other Intangible Assets,423000.0,449000.0,474000.0,499000.0,
Net PPE,729426000.0,745027000.0,749271000.0,724472000.0,
Accumulated Depreciation,-41265000.0,-33850000.0,-26144000.0,-19944000.0,
Gross PPE,770691000.0,778877000.0,775415000.0,744416000.0,
Construction In Progress,2097000.0,11281000.0,956000.0,95000.0,
Machinery Furniture Equipment,79665000.0,58323000.0,53532000.0,53734000.0,
Buildings And Improvements,612538000.0,629560000.0,641352000.0,606221000.0,
Land And Improvements,76391000.0,79713000.0,79575000.0,84366000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,38131000.0,32500000.0,56544000.0,24709000.0,
Hedging Assets Current,0.0,1360000.0,0.0,,
Assets Held For Sale Current,0.0,7201000.0,295000.0,405000.0,
Prepaid Assets,2375000.0,2192000.0,974000.0,971000.0,
Inventory,406000.0,440000.0,391000.0,405000.0,
Other Receivables,1328000.0,1056000.0,1261000.0,446000.0,
Accounts Receivable,2447000.0,200000.0,3003000.0,3329000.0,
Allowance For Doubtful Accounts Receivable,-22000.0,-32000.0,-93000.0,-187000.0,
Gross Accounts Receivable,2469000.0,232000.0,3096000.0,3516000.0,
Cash Cash Equivalents And Short Term Investments,31575000.0,20051000.0,50620000.0,19153000.0,
Cash And Cash Equivalents,31575000.0,20051000.0,50620000.0,19153000.0,
Cash Equivalents,8026000.0,0.0,32189000.0,0.0,
Cash Financial,23549000.0,20051000.0,18431000.0,19153000.0,
