,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,14773000.0,-3653000.0,27547000.0,14622000.0,
Repurchase Of Capital Stock,,,,,0.0
Repayment Of Debt,-26500000.0,-270588000.0,-99000000.0,-11030000.0,
Issuance Of Debt,23000000.0,273800000.0,87000000.0,1030000.0,
Issuance Of Capital Stock,,,,,0.0
Capital Expenditure,-20462000.0,-48766000.0,-10109000.0,-9258000.0,
End Cash Position,31575000.0,20051000.0,50620000.0,19153000.0,
Other Cash Adjustment Outside Changein Cash,-200000.0,,,,
Beginning Cash Position,20051000.0,50620000.0,19153000.0,26750000.0,
Changes In Cash,11524000.0,-30569000.0,31467000.0,-7597000.0,
Financing Cash Flow,-40654000.0,-35133000.0,-35072000.0,-22219000.0,
Interest Paid Cff,-21360000.0,-15409000.0,-12187000.0,-11665000.0,
Cash Dividends Paid,-15490000.0,-18065000.0,-10140000.0,,-23862000.0
Net Common Stock Issuance,,,,,0.0
Common Stock Payments,,,,,0.0
Common Stock Issuance,,,,,0.0
Net Issuance Payments Of Debt,-3500000.0,3212000.0,-12000000.0,-10000000.0,
Net Long Term Debt Issuance,-3500000.0,3212000.0,-12000000.0,-10000000.0,
Long Term Debt Payments,-26500000.0,-270588000.0,-99000000.0,-11030000.0,
Long Term Debt Issuance,23000000.0,273800000.0,87000000.0,1030000.0,
Investing Cash Flow,16943000.0,-40549000.0,28883000.0,-9258000.0,
Net Other Investing Changes,37361000.0,7880000.0,38770000.0,,
Interest Received Cfi,44000.0,337000.0,222000.0,0.0,
Net Intangibles Purchase And Sale,,,,0.0,-548000.0
Purchase Of Intangibles,,,,0.0,-548000.0
Net PPE Purchase And Sale,0.0,-29725000.0,0.0,0.0,
Purchase Of PPE,0.0,-29725000.0,0.0,0.0,
Capital Expenditure Reported,-20462000.0,-19041000.0,-10109000.0,-9258000.0,
Operating Cash Flow,35235000.0,45113000.0,37656000.0,23880000.0,
Taxes Refund Paid,,,0.0,797000.0,-22000.0
Change In Working Capital,-4772000.0,1219000.0,1217000.0,-1292000.0,
Change In Payable,-2050000.0,-515000.0,1578000.0,1347000.0,
Change In Inventory,34000.0,-49000.0,14000.0,-75000.0,
Change In Receivables,-2756000.0,1783000.0,-375000.0,-2564000.0,
Other Non Cash Items,34686000.0,28016000.0,-1542000.0,18170000.0,
Provisionand Write Offof Assets,58000.0,8000.0,-51000.0,220000.0,
Depreciation And Amortization,29241000.0,28858000.0,25292000.0,24141000.0,
Amortization Cash Flow,26000.0,25000.0,25000.0,25000.0,
Depreciation,29215000.0,28833000.0,25267000.0,24116000.0,
Gain Loss On Investment Securities,,1374000.0,752000.0,,
Gain Loss On Sale Of PPE,0.0,0.0,-2000.0,0.0,
Net Income From Continuing Operations,-23978000.0,-14362000.0,11990000.0,-18156000.0,
