Date,Open,High,Low,Close,Adj,Volume
31 Dec 2024,0.2000,0.2000,0.1970,0.2000,0.1897,"97,000"
30 Dec 2024,0.1940,0.2200,0.1940,0.2000,0.1897,"1,601,300"
27 Dec 2024,0.1940,0.1980,0.1930,0.1930,0.1831,"319,300"
26 Dec 2024,0.1940,0.1990,0.1930,0.1960,0.1859,"73,200"
24 Dec 2024,0.2000,0.2000,0.1970,0.1970,0.1869,"4,500"
23 Dec 2024,0.2050,0.2050,0.2050,0.2050,0.1944,-
20 Dec 2024,0.1950,0.2050,0.1910,0.2050,0.1944,"430,100"
19 Dec 2024,0.1950,0.2100,0.1950,0.1960,0.1859,"640,800"
18 Dec 2024,0.2000,0.2050,0.1950,0.2000,0.1897,"66,200"
17 Dec 2024,0.2000,0.2000,0.2000,0.2000,0.1897,"10,000"
16 Dec 2024,0.2050,0.2050,0.2000,0.2000,0.1897,"1,105,500"
13 Dec 2024,0.2050,0.2200,0.2050,0.2100,0.1992,"800,200"
12 Dec 2024,0.2050,0.2100,0.2000,0.2100,0.1992,"1,137,000"
11 Dec 2024,0.2100,0.2100,0.2100,0.2100,0.1992,-
10 Dec 2024,0.2150,0.2150,0.2050,0.2100,0.1992,"11,100"
9 Dec 2024,0.2150,0.2200,0.2150,0.2200,0.2087,"75,800"
6 Dec 2024,0.1950,0.2150,0.1950,0.2150,0.2039,"274,800"
5 Dec 2024,0.1970,0.1990,0.1970,0.1980,0.1878,"116,400"
4 Dec 2024,0.1960,0.1970,0.1950,0.1970,0.1869,"463,400"
3 Dec 2024,0.1900,0.1990,0.1900,0.1990,0.1887,"306,400"
2 Dec 2024,0.1860,0.1890,0.1850,0.1890,0.1793,"415,500"
29 Nov 2024,0.1860,0.1860,0.1850,0.1860,0.1764,"395,000"
28 Nov 2024,0.1850,0.1880,0.1850,0.1860,0.1764,"57,000"
27 Nov 2024,0.1830,0.1860,0.1830,0.1850,0.1755,"618,200"
26 Nov 2024,0.1840,0.1860,0.1840,0.1860,0.1764,"120,200"
25 Nov 2024,0.1850,0.1860,0.1840,0.1840,0.1745,"304,600"
22 Nov 2024,0.1860,0.1870,0.1860,0.1860,0.1764,"296,000"
21 Nov 2024,0.1890,0.1900,0.1850,0.1890,0.1793,"367,100"
20 Nov 2024,0.1830,0.1880,0.1830,0.1880,0.1783,"261,700"
19 Nov 2024,0.1890,0.1900,0.1810,0.1850,0.1755,"1,083,300"
18 Nov 2024,0.1930,0.1930,0.1840,0.1900,0.1802,"266,400"
15 Nov 2024,0.1910,0.1940,0.1900,0.1940,0.1840,"424,200"
14 Nov 2024,0.1980,0.1980,0.1930,0.1960,0.1859,"155,800"
13 Nov 2024,0.2050,0.2050,0.1910,0.1970,0.1869,"520,600"
12 Nov 2024,0.2100,0.2100,0.1980,0.2050,0.1944,"800,000"
11 Nov 2024,0.2100,0.2100,0.2050,0.2100,0.1992,"223,700"
8 Nov 2024,0.2150,0.2150,0.2100,0.2150,0.2039,"51,300"
