Stock Code,Company Name,Year,Current Price,31 Dec 2024 Price,Market Cap,NAV,NAV (Per Unit),Price-to-NAV Ratio (Share Price / NAV Per Unit),Price-to-NAV Ratio (31 Dec 2024 Price),BVPS,Published P/B Ratio,Calculated P/B Ratio (Share Price / Book Value Per Share),Calculated P/B Ratio (31 Dec 2024 Price),Gearing Ratio (Total Debt/ Total Assets),D/E Ratio (Debt / Shareholder Equity),DPU,Dividend Yield,Dividend Yield (31 Dec 2024 Price),Net Property Income,Interest Expense,Interest Coverage Ratio (EBITDA / Interest Expense)
C38U,CapitaLand Integrated Commercial Trust,2024-12-31,2.4,1.93,18079211520,15722171000.0,2.1541736159139036,1.1141163285401232,0.8959352142010159,2.1541736159139036,1.1278195,1.1141163285401232,0.8959352142010159,0.35167472647867937,0.5706767850317873,0.130118,5.421583333333333,6.741865284974094,933683000.0,355853000.0,3.565059167690029
C38U,CapitaLand Integrated Commercial Trust,2023-12-31,2.4,1.93,18079211520,14401720000.0,2.1575601404128846,1.1123676022030702,0.8945289467716356,2.1575601404128846,1.1278195,1.1123676022030702,0.8945289467716356,0.3841387929387643,0.6598696544579398,0.106324,4.430166666666667,5.509015544041452,862570000.0,345632000.0,3.457903203407092
C38U,CapitaLand Integrated Commercial Trust,2022-12-31,2.4,1.93,18079211520,14279393000.0,2.146520837382514,1.1180883773420902,0.8991294034459308,2.146520837382514,1.1278195,1.1180883773420902,0.8991294034459308,0.389646446536277,0.6730861739010895,0.055755,2.323125,2.8888601036269432,723369000.0,233915000.0,4.1300857148964365
C38U,CapitaLand Integrated Commercial Trust,2021-12-31,2.4,1.93,18079211520,13695700000.0,2.067035115606849,1.1610833226195083,0.9337045052731879,2.067035115606849,1.1278195,1.1610833226195083,0.9337045052731879,0.35993118413849357,0.5976694144877589,0.117395,4.8914583333333335,6.082642487046632,1083086000.0,182043000.0,7.081815834720368
C38U,CapitaLand Integrated Commercial Trust,2020-12-31,2.4,1.93,18079211520,,,,,,1.1278195,,,,,0.10033900000000001,4.180791666666668,5.198911917098446,,,
C2PU,Parkway Life REIT,2024-12-31,4.15,3.75,2707680256,1569952000.0,2.406531055302907,1.7244739023231286,1.5582595502919834,2.406531055302907,1.6980361,1.7244739023231286,1.5582595502919834,0.34733749172431067,0.5644178930311246,0.2002,4.824096385542168,5.338666666666667,95041000.0,13237000.0,8.294553146483342
C2PU,Parkway Life REIT,2023-12-31,4.15,3.75,2707680256,1414557000.0,2.3381015227930027,1.7749443125303541,1.6038653426479104,2.3381015227930027,1.6980361,1.7749443125303541,1.6038653426479104,0.35493720583308414,0.5856752325993226,0.1461,3.520481927710843,3.8960000000000004,100465000.0,12931000.0,9.282035418761117
C2PU,Parkway Life REIT,2022-12-31,4.15,3.75,2707680256,1410486000.0,2.3313741111599633,1.7800660906949803,1.6084934554472712,2.3313741111599633,1.6980361,1.7800660906949803,1.6084934554472712,0.3637206684971793,0.6039677104203799,0.1063,2.56144578313253,2.834666666666667,41136000.0,6104000.0,8.053899082568808
C2PU,Parkway Life REIT,2021-12-31,4.15,3.75,2707680256,1434707000.0,2.371408689558051,1.7500146719852907,1.5813385590228528,2.371408689558051,1.6980361,1.7500146719852907,1.5813385590228528,0.35307419271206447,0.5771262006806964,0.13369999999999999,3.2216867469879515,3.565333333333333,331878000.0,4170000.0,80.49112709832134
C2PU,Parkway Life REIT,2020-12-31,4.15,3.75,2707680256,,,,,,1.6980361,,,,,0.1356,3.2674698795180723,3.6159999999999997,,,
