Date,Open,High,Low,Close,Adj,Volume
31 Dec 2024,1.9400,1.9500,1.9300,1.9300,1.8398,"11,270,900"
30 Dec 2024,1.9400,1.9500,1.9300,1.9500,1.8589,"10,687,300"
27 Dec 2024,1.9400,1.9500,1.9400,1.9400,1.8493,"5,147,700"
26 Dec 2024,1.9400,1.9500,1.9300,1.9300,1.8398,"4,164,500"
24 Dec 2024,1.9300,1.9500,1.9300,1.9400,1.8493,"10,181,300"
23 Dec 2024,1.9200,1.9400,1.9100,1.9300,1.8398,"19,614,800"
20 Dec 2024,1.9200,1.9200,1.9000,1.9100,1.8207,"47,770,300"
19 Dec 2024,1.9200,1.9300,1.9200,1.9200,1.8303,"28,595,200"
18 Dec 2024,1.9300,1.9400,1.9300,1.9300,1.8398,"10,562,600"
17 Dec 2024,1.9200,1.9400,1.9200,1.9300,1.8398,"21,437,000"
16 Dec 2024,1.9300,1.9400,1.9200,1.9300,1.8398,"18,953,200"
13 Dec 2024,1.9300,1.9400,1.9200,1.9300,1.8398,"12,856,000"
12 Dec 2024,1.9300,1.9400,1.9200,1.9300,1.8398,"15,218,700"
11 Dec 2024,1.9200,1.9400,1.9200,1.9300,1.8398,"20,189,900"
10 Dec 2024,1.9300,1.9500,1.9200,1.9200,1.8303,"16,194,900"
9 Dec 2024,1.9500,1.9500,1.9200,1.9400,1.8493,"19,356,300"
6 Dec 2024,1.9600,1.9700,1.9400,1.9400,1.8493,"13,676,400"
5 Dec 2024,1.9600,1.9700,1.9400,1.9500,1.8589,"22,209,700"
4 Dec 2024,1.9700,1.9800,1.9500,1.9600,1.8684,"16,714,500"
3 Dec 2024,1.9800,1.9800,1.9600,1.9600,1.8684,"28,361,800"
2 Dec 2024,1.9800,1.9900,1.9600,1.9700,1.8779,"19,276,200"
29 Nov 2024,1.9700,1.9800,1.9500,1.9600,1.8684,"19,710,200"
28 Nov 2024,1.9600,1.9900,1.9600,1.9800,1.8875,"27,571,200"
